snap_dt,srce,region,province,property_type,property_state,size_group,count,mt_util_min,mt_util_max,mt_util_avg,mt_tot_min,mt_tot_max,mt_tot_avg,price_min,price_max,price_avg,etl_uf_x_mt2_min,etl_uf_x_mt2_max,etl_uf_x_mt2_avg,etl_value_min,etl_value_max,etl_value_avg,etl_score_min,etl_score_max,etl_score_avg
20200725,portal inmobiliario,rm,buin,aparment,usada,120TO130,2,123,123,123,142,142,142,5100,5290,5195,41,43,42,1665,1861,1763,314,364,339
20200724,portal inmobiliario,rm,buin,aparment,usada,120TO130,2,123,123,123,142,142,142,5100,5290,5195,41,43,42,1665,1861,1763,314,364,339
20200725,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
20200721,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
20200723,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
20200724,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
20200721,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
20200718,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
20200725,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
20200723,portal inmobiliario,rm,buin,house,usada,120TO130,1,127,127,127,238,238,238,5590,5590,5590,44,44,44,2116,2116,2116,378,378,378
20200721,portal inmobiliario,rm,buin,house,usada,120TO130,3,126,130,128,180,260,226,3550,6921,5354,28,53,42,1592,3053,2254,378,448,423
20200725,portal inmobiliario,rm,buin,house,usada,120TO130,2,128,128,128,218,260,239,5676,6277,5977,44,49,47,2008,2484,2246,353,395,374
20200718,portal inmobiliario,rm,buin,house,usada,120TO130,1,127,127,127,238,238,238,5590,5590,5590,44,44,44,2116,2116,2116,378,378,378
20200724,portal inmobiliario,rm,buin,house,usada,120TO130,1,128,128,128,218,218,218,5676,5676,5676,44,44,44,2008,2008,2008,353,353,353
20200723,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,180,180,180,7900,7900,7900,56,56,56,2321,2321,2321,293,293,293
20200718,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,180,180,180,7900,7900,7900,56,56,56,2321,2321,2321,293,293,293
20200721,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,180,180,180,7900,7900,7900,56,56,56,2321,2321,2321,293,293,293
20200725,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
20200721,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
20200724,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
20200723,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
20200721,portal inmobiliario,rm,buin,house,usada,190TO2H,1,200,200,200,600,600,600,16097,16097,16097,80,80,80,4779,4779,4779,296,296,296
20200725,portal inmobiliario,rm,buin,house,usada,250TO3H,1,273,273,273,6200,6200,6200,9548,9548,9548,35,35,35,48649,48649,48649,5095,5095,5095
20200718,portal inmobiliario,rm,buin,house,usada,250TO3H,1,270,270,270,2000,2000,2000,10000,10000,10000,37,37,37,13929,13929,13929,1392,1392,1392
20200723,portal inmobiliario,rm,buin,house,usada,2HTO250,1,240,240,240,5000,5000,5000,11458,11458,11458,48,48,48,48843,48843,48843,4262,4262,4262
20200725,portal inmobiliario,rm,buin,house,usada,2HTO250,1,240,240,240,5000,5000,5000,11458,11458,11458,48,48,48,48843,48843,48843,4262,4262,4262
20200724,portal inmobiliario,rm,buin,house,usada,2HTO250,1,240,240,240,5000,5000,5000,11458,11458,11458,48,48,48,48843,48843,48843,4262,4262,4262
20200724,portal inmobiliario,rm,buin,house,usada,4HTO5H,1,500,500,500,830,830,830,14082,14082,14082,28,28,28,7723,7723,7723,548,548,548
20200721,portal inmobiliario,rm,buin,house,usada,4HTO5H,1,500,500,500,830,830,830,14082,14082,14082,28,28,28,7723,7723,7723,548,548,548
20200723,portal inmobiliario,rm,buin,house,usada,4HTO5H,1,500,500,500,830,830,830,14082,14082,14082,28,28,28,7723,7723,7723,548,548,548
20200725,portal inmobiliario,rm,buin,house,usada,4HTO5H,1,500,500,500,830,830,830,14082,14082,14082,28,28,28,7723,7723,7723,548,548,548
20200723,portal inmobiliario,rm,buin,house,usada,80TO90,8,42,90,69,42,220,128,1107,3750,2488,25,44,35,232,2107,1048,196,561,407
