snap_dt_time,srce,region,province,property_type,property_state,size_group,count,mt_util_min,mt_util_max,mt_util_avg,mt_tot_min,mt_tot_max,mt_tot_avg,price_min,price_max,price_avg,etl_uf_x_mt2_min,etl_uf_x_mt2_max,etl_uf_x_mt2_avg,etl_value_min,etl_value_max,etl_value_avg,etl_score_min,etl_score_max,etl_score_avg
2020-07-30 00:00:00,portal inmobiliario,rm,-16,house,nueva,80TO90,1,45,45,45,213,213,213,1701,1701,1701,38,38,38,-468,-468,-468,-275,-275,-275
2020-07-31 00:00:00,portal inmobiliario,rm,-16,house,nueva,80TO90,1,45,45,45,213,213,213,1701,1701,1701,38,38,38,-468,-468,-468,-275,-275,-275
2020-07-30 00:00:00,portal inmobiliario,rm,buin,aparment,usada,110TO120,1,112,112,112,2084,2084,2084,5160,5160,5160,46,46,46,12836,12836,12836,2487,2487,2487
2020-07-31 00:00:00,portal inmobiliario,rm,buin,aparment,usada,110TO120,1,112,112,112,2084,2084,2084,5160,5160,5160,46,46,46,12836,12836,12836,2487,2487,2487
2020-07-31 00:00:00,portal inmobiliario,rm,buin,aparment,usada,120TO130,1,123,123,123,123,123,123,5200,5200,5200,42,42,42,1506,1506,1506,289,289,289
2020-07-30 00:00:00,portal inmobiliario,rm,buin,aparment,usada,120TO130,1,123,123,123,123,123,123,5200,5200,5200,42,42,42,1506,1506,1506,289,289,289
2020-07-27 00:00:00,portal inmobiliario,rm,buin,aparment,usada,120TO130,2,123,123,123,142,142,142,5100,5290,5195,41,43,42,1665,1861,1763,314,364,339
2020-07-28 00:00:00,portal inmobiliario,rm,buin,aparment,usada,120TO130,2,123,123,123,142,142,142,5100,5290,5195,41,43,42,1665,1861,1763,314,364,339
2020-07-24 00:00:00,portal inmobiliario,rm,buin,aparment,usada,120TO130,2,123,123,123,142,142,142,5100,5290,5195,41,43,42,1665,1861,1763,314,364,339
2020-07-25 00:00:00,portal inmobiliario,rm,buin,aparment,usada,120TO130,2,123,123,123,142,142,142,5100,5290,5195,41,43,42,1665,1861,1763,314,364,339
2020-07-31 00:00:00,portal inmobiliario,rm,buin,aparment,usada,GT10K,1,10015,10015,10015,11378,11378,11378,4400,4400,4400,0,0,0,150482,150482,150482,34200,34200,34200
2020-07-30 00:00:00,portal inmobiliario,rm,buin,aparment,usada,GT10K,1,10015,10015,10015,11378,11378,11378,4400,4400,4400,0,0,0,150482,150482,150482,34200,34200,34200
2020-07-24 00:00:00,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
2020-07-21 00:00:00,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
2020-07-23 00:00:00,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
2020-07-25 00:00:00,portal inmobiliario,rm,buin,house,usada,100TO110,1,109,109,109,132,132,132,4078,4078,4078,37,37,37,1897,1897,1897,465,465,465
2020-07-21 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
2020-07-25 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
2020-07-28 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
2020-07-18 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
2020-07-30 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,1,120,120,120,175,175,175,3750,3750,3750,31,31,31,1655,1655,1655,441,441,441
2020-07-31 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,2,114,120,117,175,272,224,3750,5700,4725,31,50,41,1655,2154,1905,377,441,409
2020-07-29 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,2,114,120,117,175,272,224,3750,5700,4725,31,50,41,1655,2154,1905,377,441,409
2020-07-27 00:00:00,portal inmobiliario,rm,buin,house,usada,110TO120,1,114,114,114,272,272,272,5700,5700,5700,50,50,50,2154,2154,2154,377,377,377
2020-07-30 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,3,125,130,128,200,750,396,4861,8100,6184,37,65,49,1716,5551,3128,353,685,472
2020-07-29 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,1,128,128,128,260,260,260,6277,6277,6277,49,49,49,2484,2484,2484,395,395,395
2020-07-28 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,2,128,128,128,218,260,239,5676,6277,5977,44,49,47,2008,2484,2246,353,395,374
2020-07-25 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,2,128,128,128,218,260,239,5676,6277,5977,44,49,47,2008,2484,2246,353,395,374
2020-07-23 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,1,127,127,127,238,238,238,5590,5590,5590,44,44,44,2116,2116,2116,378,378,378
2020-07-27 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,2,128,128,128,218,260,239,5676,6277,5977,44,49,47,2008,2484,2246,353,395,374
2020-07-31 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,3,125,130,128,200,750,396,4861,8100,6184,37,65,49,1716,5551,3128,353,685,472
2020-07-24 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,1,128,128,128,218,218,218,5676,5676,5676,44,44,44,2008,2008,2008,353,353,353
2020-07-21 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,3,126,130,128,180,260,226,3550,6921,5354,28,53,42,1592,3053,2254,378,448,423
2020-07-18 00:00:00,portal inmobiliario,rm,buin,house,usada,120TO130,1,127,127,127,238,238,238,5590,5590,5590,44,44,44,2116,2116,2116,378,378,378
2020-07-30 00:00:00,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,600,600,600,7990,7990,7990,57,57,57,6648,6648,6648,832,832,832
2020-07-21 00:00:00,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,180,180,180,7900,7900,7900,56,56,56,2321,2321,2321,293,293,293
2020-07-18 00:00:00,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,180,180,180,7900,7900,7900,56,56,56,2321,2321,2321,293,293,293
2020-07-23 00:00:00,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,180,180,180,7900,7900,7900,56,56,56,2321,2321,2321,293,293,293
2020-07-29 00:00:00,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,600,600,600,7990,7990,7990,57,57,57,6648,6648,6648,832,832,832
2020-07-28 00:00:00,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,600,600,600,7990,7990,7990,57,57,57,6648,6648,6648,832,832,832
2020-07-27 00:00:00,portal inmobiliario,rm,buin,house,usada,130TO140,1,140,140,140,600,600,600,7990,7990,7990,57,57,57,6648,6648,6648,832,832,832
2020-07-25 00:00:00,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
2020-07-21 00:00:00,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
2020-07-23 00:00:00,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
2020-07-24 00:00:00,portal inmobiliario,rm,buin,house,usada,180TO190,1,190,190,190,646,646,646,4706,4706,4706,25,25,25,5495,5495,5495,1167,1167,1167
2020-07-21 00:00:00,portal inmobiliario,rm,buin,house,usada,190TO2H,1,200,200,200,600,600,600,16097,16097,16097,80,80,80,4779,4779,4779,296,296,296
2020-07-25 00:00:00,portal inmobiliario,rm,buin,house,usada,250TO3H,1,273,273,273,6200,6200,6200,9548,9548,9548,35,35,35,48649,48649,48649,5095,5095,5095
