SrceId,WebName,Province,PropertyType,Link
1,portal inmobiliario,Santiago,Aparment,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
2,portal inmobiliario,Santiago,House,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
3,portal inmobiliario,Huechuraba,Aparment,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
4,portal inmobiliario,Huechuraba,House,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
5,portal inmobiliario,Nunoa,Aparment,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
6,portal inmobiliario,Nunoa,House,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
7,portal inmobiliario,Providencia,Aparment,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
8,portal inmobiliario,Providencia,House,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
9,portal inmobiliario,Las Condes,Aparment,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
10,portal inmobiliario,Las Condes,House,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
11,portal inmobiliario,Vitacura,Aparment,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/vitacura-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
12,portal inmobiliario,Vitacura,House,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/vitacura-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
13,toctoc,Santiago,Aparment,https://www.toctoc.com/Venta/departamento/metropolitana/santiago?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1
14,toctoc,Santiago,House,https://www.toctoc.com/Venta/casa/metropolitana/santiago?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1
15,toctoc,Huechuraba,Aparment,https://www.toctoc.com/Venta/departamento/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1
16,toctoc,Huechuraba,House,https://www.toctoc.com/Venta/casa/metropolitana/huechuraba?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1
17,toctoc,Nunoa,Aparment,https://www.toctoc.com/Venta/departamento/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1
