web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,Bdroom,Bath,Description,WebDesc
"1594176833-1106","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Santiago, Santiago","https://www.icasas.cl/propiedad/428906","UF 5.850,26","120m2","3 Dormitorios","2 Baños","Se vende amplio dpto 120 mts 
 ideal para oficinas, edificio histórico 
 san antonio 418, santiago 
  
 amplio departamento 120 mts, ideal para remodelar y acondicionar como oficina 
 3 dormitorios 2 baños, piso parquet 
 piso 6, con vista a la calle, año edificio 1952 
 actualmente destino habitacional, factible para comercial 
 edificio de 10 pisos, departamentos, oficinas, laboratorios y locales comerciales en el primer piso. 3 ascensores 
 ubicación comercial, alta afluencia de público, locomoción 
 a 1 cuadra de plaza de armas y a 3del metro bellas artes, mall vivo imperio, teatro municipal, cerro santa lucía, notarias, entre otros. Edificio histórico (originalmente era la caja de empleados públicos y periodistas / caja de ee. Pp y pp), con una hermosa arquitectura y detalles en sus, paredes, escaleras y ascensores. Más información con soledad al 
 valor venta $168. 000. 000 conversable 
  comisión corredora de propiedades (2% iva) 
 gasto común $70. 000 
 opción de arriendo $700. 000 mensual con gasto común incluido","Departamento en Venta Santiago"
"1594176815-1101","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Lira / Santa Isabel
, Santiago, Santiago","https://www.icasas.cl/propiedad/325797","UF 5.049,34","100m2","3 Dormitorios","2 Baños","Amplio departamento, 3 dormitorios 2 baños principal en suite. Living comedor con terraza, cocina amoblada y gran loggia. Excelente conectividad, supermercado, colegios, streep center, farmacias y clínica a pasos.","Departamento en Venta Lira / Santa Isabel
, Santiago"
"1594176818-1102","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Santo Domingo Con Amunategui
, Santiago, Santiago","https://www.icasas.cl/propiedad/339402","UF 6.163,67","107m2","3 Dormitorios","3 Baños","En venta espectacular departamento!! 
  
 amplio y cómodo departamento. Ubicado en muy buena zona de santiago centro 3 dormitorios (principal en suite con walking closet), 3 baños, home office, living comedor con salida a terraza. Cocina separada, full equipada, logia, estacionamiento, bodega, cercano a metro santa ana seguridad las 24 hrs, condominio cerrado.","Departamento en Venta Santo Domingo Con Amunategui
, Santiago"
"1594176844-1109","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Plaza De Armas - Morande
, Santiago, Santiago","https://www.icasas.cl/propiedad/314517","UF 4.875,22","100m2","3 Dormitorios","2 Baños","Metro bellas artes, cerca de la plaza de armas, consta de hall de acceso, living comedor con lindo piso de parquet, 3 amplios dormitorios, dos baños, mas servicios completos, no tiene terraza ni bodega, si tiene estacionamiento. . Lila bussenius tel.","Departamento en Venta Plaza De Armas - Morande
, Santiago"
"1594176837-1107","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Santiago, Santiago","https://www.icasas.cl/propiedad/427862","UF 6.570","133m2","5 Dormitorios","3 Baños","Se vende amplio dpto de 133 mts 
 vicuña mackenna 836 esq. Irarrázaval 
  
 133 mts, incluye terraza frontis de 11 mts aprox. Y terraza trasera de similares características 
 5 dormitorios: principal con piso parquet e incluye baño, 4 dormitorios con piso flotante 
 todos los dormitorios incluyen closet y ventilación natural 
 3 baños en total 
 living comedor piso cerámica 
 cocina amoblada incluye espacio lavadora 
  
 edificio de 4 pisos, 3 departamentos por piso 
 construcción año 1950 
 ubicación espectacular! en plena avenida vicuña mackenna esquina irarrázaval, a menos de 5 minutos de estación de metro irarrázaval, cercano a bancos, supermercados, comercio en general, áreas verdes, locomoción, entre otros. Gtos comunes $32. 000 app incluye consumo de agua 
 contribuciones $100. 000 app x cuota 
 valor venta 6. 570 uf ($185. 000. 000 app) conversable! 
  comisión corredora (2% sobre el valor de venta final iva) 
  
 coordine sus visitas con ana maría al o al","Departamento en Venta Santiago"
"1594176825-1104","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Tucapel Jimenez, Antiguo
, Santiago, Santiago","https://www.icasas.cl/propiedad/413567","UF 6.268,14","140m2","3 Dormitorios","2 Baños","Amplio y elegante departamento, silencioso, y en una de las mejores ubicaciones de santiago. A pasos de metro moneda. Y los héroes. Hall de distribución, living con pequeña terraza, comedor separado por puerta de madera y vidrio. Tres dormitorios grandes, dos baños, principal con ventana. Más dormitorio y baño de servicio. Baño principal con conexión a lavadora. Edificio de la década del cincuenta, con ascensores, conserjería las 24 horas, patio central interior, amplios corredores con terminaciones de la época, opción de arrendar estacionamiento y bodega con la administración. Gastos comunes: $70. 000 (inlcuye agua)","Departamento en Venta Tucapel Jimenez, Antiguo
, Santiago"
"1594176852-1111","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Santiago, Santiago","https://www.icasas.cl/propiedad/338283","UF 5.495,21","104m2","4 Dormitorios","2 Baños","Procasa centro santiago (am): vende espacioso dpto, metro o´higgins, con gran terraza, cocina tradicional, piso flotante, dormitorio en suite. Cercano a colegios, universidades, farmacias, mini market. Hermosa vista. Ubicado a sólo una cuadra de la av. Viel. Cuenta con estacionamiento. Sin bodega.","Departamento en Venta Santiago"
"1594176848-1110","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Metro Parque O´higgins - Metro Avenida Matta
, Santiago, Santiago","https://www.icasas.cl/propiedad/402204","UF 6.616,37","150m2","3 Dormitorios","2 Baños","Venta de departamento en santiago centro. Amplio living comedor, 3 dormitorios, 2 baños, terraza, loggia, cocina tradicional. Todo el piso del departamento de madera vitrificado, ventanas de aluminio. Excelente conectividad, cercano a estaciones de metro parque o'higgins y avenida matta y también a supermercados, servicios, colegios. @¬código fuenzalida fsb723. Ljubica andarcia tel.","Departamento en Venta Metro Parque O´higgins - Metro Avenida Matta
, Santiago"
"1594176822-1103","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Metro Bellas Artes, Gran Terraza
, Santiago, Santiago","https://www.icasas.cl/propiedad/411851","UF 6.929,78","111m2","4 Dormitorios","3 Baños","Amplio departamento ubicado a pasos de metro y barrio bellas artes. Ideal para remodelar. Departamento antiguo de década del 60, cuenta con 3 dormitorios, 2 baños, mas pieza y baño de servicios, cocina cerrada, además de gran terraza. Además cuenta con espacio para estacionamiento sujeto a disponibilidad de la comunidad. Todo con orientación oriente y poniente. Gastos comunes de tan solo $60. 000.","Departamento en Venta Metro Bellas Artes, Gran Terraza
, Santiago"
"1594176829-1105","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Metro P. Almagro, Antiguo
, Santiago, Santiago","https://www.icasas.cl/propiedad/429926","UF 4.352,88","124m2","3 Dormitorios","2 Baños","Oportunidad en estratégica ubicación. A pasos del parque almagro, de la estación de metro, supermercados, universidades. Ideal para su uso habitacional u oficina. Amplio living comedor, cocina tradicional, amoblada. Tres dormitorios, dos baños completos, con ventana. Gastos comunes aprox: $25. 000.","Departamento en Venta Metro P. Almagro, Antiguo
, Santiago"
"1594176840-1108","https://www.icasas.cl/venta/departamentos/santiago/santiago/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Metro Santa Ana - Calle Santo Domingo
, Santiago, Santiago","https://www.icasas.cl/propiedad/321450","UF 6.390","115m2","3 Dormitorios","3 Baños","Luminoso y amplio departamento inmejorable sector de santiago centro cerca metro santa ana 3 dormitorios (principal en suite con walking closet) 3 baños home office living comedor con salida a cómoda terraza cocina separada full equipamiento comedor de diario logia estacionamiento bodega condominio cerrado seguridad 24 hrs. María eugenia ojeda tel.","Departamento en Venta Metro Santa Ana - Calle Santo Domingo
, Santiago"
