web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href
1594170462-549,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.930,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5707112-el-sauce-pedro-fontova-4d3b-mas-servicios-140220-m2-uda#position=3&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,"Casas en Venta en Huechuraba, 3 dormitorios o más",6.93,220 m²,140 m²,5,4,2,"Descripción
			
			
			
	

	

	
	
		EXCELENTE CASA DE 2 PISOS SÓLIDA CON AISLACIÓN TERMICA NO PERIMETRAL EN CONDOMNIO MUY SEGURO

condominio cerrado con seguridad controlada las 24 horas, con juego infantiles, estacionamiento de visitas y Áreas verdes, a pasos de Américo Vespucio norte, cercana a colegios, strip center y supermercados

DISTRIBUCIÓN:

Entrada de autos con adoquines con espacio para 2 o 3 autos.


PRIMER PISO

Hall de acceso
Baño de visitas
Living comedor semi separados con salida, terraza con techo y Quincho.
Amplia cocina con piso de porcelanato, muebles con cubierta de granito y comedor de diario
Gran Escritorio o 4 dormitorio
Dormitorio y baño de servicio
Amplia logia con salida al exterior
Piso Flotante


Segundo Piso

Dormitorio principal en suite walking closet
Baño con porcelanato en piso y muros y luz natural
Sala de estar
2 dormitorios de similar tamaño con amplios closets
sala de estar con salida a terraza
Segundo baño completo con luz natural
Alfombra

Gastos comunes $80.000

Características propiedad
comedor de diario, despensa, escritorio, lavadero interior, pieza de servicio, riego automático, sala de estar, cocina amoblada, cocina equipada, terraza con techo

Características comunidad
accesos controlados, áreas verdes, circuito cerrado de tv, citófono, estacionamiento de visitas, juegos infantiles",UF,Huechuraba,Casas,Propiedades usadas,7/7/2020,,
1594170386-515,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 5.200,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5612165-calle-berta-correa-1961-uda#position=37&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,"Casas en Venta en Huechuraba, 3 dormitorios o más",5.2,180 m²,130 m²,4,3,3,"Descripción
			
			
			
	

	

	
	
		Hermosa y amplia casa de 3 pisos, con gran patio en barrio residencial tranquilo, seguro y consolidado, de antigüedad de 9 años, rodeado de áreas verdes y juegos para los niños. El Condominio está a 10 minutos del Mall Plaza Norte, Supermercados, Bancos, Colegios y con muy buena conectividad por Autopista Vespucio Norte y Autopista Los Libertadores.
La casa no se encuentra dentro del Condominio
Se entrega con la cocina equipada y amoblada con encimera a gas, horno y campana eléctrica.
El sector cuenta con gas de cañería

Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante
Techos: teja

Suministros 
Agua caliente: calefón
Calefacción: otro

Características propiedad 
antejardín, comedor de diario, despensa, hidromasaje, living comedor separado, pieza de servicio, portón eléctrico, sala de estar, terraza con techo, cocina amoblada, cocina equipada, hall, persianas, portón automático

Características comunidad 
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, multicancha, piscina, quincho, sala de eventos

Gastos 
Contribuciones: $ 100.000
Gastos comunes: $ 33.000

Otros suministros 
internet, señal satelital, teléfono, tv cable, wi-fi",UF,Huechuraba,Casas,Propiedades usadas,14-05-2020,,
1594170368-507,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.500,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5609134-frente-a-saint-joseph-y-lider-express-uda#position=45&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,"Casas en Venta en Huechuraba, 3 dormitorios o más",6.5,200 m²,120 m²,4,4,2,"Descripción
			
			
			
	

	

	
	
		Amplia casa, recién pintada y remodelada...llegar y disfrutar!!!
Piso 1: Accesos, Living comedor separados, baño visitas, cocina remodelada completa y muy iluminada, amplia logia, quincho, terraza y jardín formado hermoso.
Piso 2: Dormitorio principal en suite y waking closet, 2 amplios dormitorios más un baño completo.
Piso 3: Segunda y enorme suite con closet, una acogedora y grande sala de estar.
Espacios muy amplios, cómodos y con ganas de quedarse con ella.
Condominio bien cuidado, seguridad 7/24. y lo mejor es el colegio al frente.

Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante
Techos: teja

Suministros 
Agua caliente: calefón
Calefacción: otro

Características propiedad 
antejardín, comedor de diario, despensa, escritorio, lavadero exterior, living comedor separado, patio de servicio, quincho, riego automático, sala de estar, cocina amoblada, cocina equipada, hall

Características comunidad 
accesos controlados, áreas verdes, circuito cerrado de tv, citófono, estacionamiento de visitas, juegos infantiles

Otros suministros 
internet, señal satelital, teléfono, tv cable, wi-fi",UF,Huechuraba,Casas,Propiedades usadas,12/5/2020,,
1594170304-477,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.000,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5567579-torreon-del-carmen-ii-uda#position=25&type=item&tracking_id=0a1c54e0-b7c7-415b-a722-cdf45f6aa394,"Casas en Venta en Huechuraba, 3 dormitorios o más",6,160 m²,140 m²,4,3,2,"Descripción
			
			
			
	

	

	
	
		Casa dentro de barrio con accesos controlados , áreas verdes , juegos infantiles, urbanización subterránea , a pasos de comercio y supermercados. Excelente ubicación y conectividad.

PRIMER PISO
Hall de acceso , living comedor, pieza y baño de servicio , loggia , bodega.

SEGUNDO PISO
Dormitorio principal con balño en suite , sala de estar.-

TERCER PISO
Dos dormitorios y baño completo.

EXTERIORES
Estacionamiento , patio , terraza y pérgola.-.

* metros aproximados

Características propiedad 
comedor de diario, sala de estar, terraza con techo, cocina amoblada, hall

Características comunidad 
accesos controlados, áreas verdes, juegos infantiles

Gastos 
Contribuciones: $ 67.000
Gastos comunes: $ 30.000",UF,Huechuraba,Casas,Propiedades usadas,20-04-2020,2,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_Desde_51_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
1594170375-510,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 4.700,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5609224-torreon-del-carmen-huechuraba-uda#position=42&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,"Casas en Venta en Huechuraba, 3 dormitorios o más",4.7,150 m²,104 m²,4,2,2,"Descripción
			
			
			
	

	

	
	
		Se vende linda casa en conjunto residencial Torreón del Carmen, Huechuraba.

4 dormitorios (principal en suite) 
2 baños
Living
Comedor
Logia
Sala de estar 
Estacionamientos
104 m2 construidos 
149 m2 totales

Casa ubicada muy cerca de Av. Pedro Fontova norte, cercana a supermercados, farmacias, locales comerciales, paraderos, colegios, entre otros.
Cuenta con acceso restringido, en micro barrio cerrado, seguro y tranquilo.

Valor: UF 4.700 conversable

Interesados comunicarse al:
+56945369471
Patricia Toro
Corredora de propiedades",UF,Huechuraba,Casas,Propiedades usadas,12/5/2020,,
1594170444-540,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.190,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5683804-av-santa-marta-alberto-undurraga-pedro-fontova-uda#position=12&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,"Casas en Venta en Huechuraba, 3 dormitorios o más",6.19,200 m²,150 m²,5,3,2,"Descripción
			
			
			
	

	

	
	
		SE VENDE EXCELENTE CASA AISLADA, DENTRO DE CONDOMINIO Y EN EXCELENTES CONDICIONES.

Consta de 5 Dormitorios (dormitorio principal en suite con walking closet), 3 Baños, gran Cocina ampliada, Comedor y Living separados, Terraza equipada con cierre perimetral a control remoto, tipo roller (incluye pergola con cielo cerrado, barbecue, horno a leña, etc.), jardín formado con riego automático y una pequeña piscina.

Estacionamiento para 2 vehículos + sector de bodega exterior para el guardado de bicicletas, cúpula de viaje, etc.   

Aire acondicionado en Living y Dormitorio Principal. 

Ventanales de Comedor, Living y Dormitorios con Termopanel.

Condominio cuenta con Piscina, Sala de eventos, Plazas con juegos infantiles, Estacionamiento de visitas y Cancha de Baby Footbal.

Seguridad las 24 horas con acceso controlado y con sistema de cámaras de vigilancia con monitoreo desde la guardia. 

Coordina tu visita con anticipación.

CALL Gestión
Asesorías Inmobiliarias.

Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante
Techos: teja

Suministros 
Agua caliente: calefón
Calefacción: aire caliente

 
Antigüedad: 14

Características propiedad 
antejardín, comedor de diario, escritorio, living comedor separado, mansarda, piscina, reja en ventanas, riego automático, sala de estar, terraza con techo, cocina amoblada, cocina equipada, hall

Características comunidad 
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, juegos infantiles, multicancha, piscina, quincho, sala de eventos

Gastos 
Contribuciones: $ 135.000
Gastos comunes: $ 65.000

Otros suministros 
internet, señal satelital, teléfono, tv cable, wi-fi",UF,Huechuraba,Casas,Propiedades usadas,25-06-2020,,
1594170429-533,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 4.700,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5658141-excelente-oportunidad-dentro-de-microbarrio--uda#position=19&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,"Casas en Venta en Huechuraba, 3 dormitorios o más",4.7,148 m²,103 m²,3,2,1,"Descripción
			
			
			
	

	

	
	
		DEL VALLE PROPIEDADES VENDE!!!!!
EXCELENTE OPORTUNIDAD DENTRO DE MICROBARRIO!! PEDRO FONTOVA
ACCESO CONTROLADO

Cercano a colegios, supermercados, locomoción colectiva, comercio en general

Primer piso: Hall de entrada, living comedor juntos con piso de cerámica, dormitorio principal en suite con walk in closet, cocina amoblada en bases y muro, closet bajo escala, logia cerrada y techada.

Segundo piso: Gran sala de estar, tres dormitorios , estufa mural, un baño completo.

AntejardÍn y jardín formado, terraza con pérgola.

Orientación Norte!!!!!

Gastos comunes: $ 35.000
Contribuciones: $ 50.000

NO DEJES DE VISITAR!!!

CONTACTO:
EXEQUIEL GONZÁLEZ
+56 9 94489338
egonzalez@delvallepropiedades.cl",UF,Huechuraba,Casas,Propiedades usadas,10/6/2020,,
1594170279-465,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 160.000.000,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5548901-avenida-el-guanaco-norte-2000-uda#position=37&type=item&tracking_id=0a1c54e0-b7c7-415b-a722-cdf45f6aa394,"Casas en Venta en Huechuraba, 3 dormitorios o más",160.000.000,181 m²,120 m²,5,3,3,"Descripción
			
			
			
	

	

	
	
		Hermosa Casa en condominio, de tres pisos, en excelente estado y mantención.

Primer piso: living comedor separado con piso cerámica, cocina independiente equipada y amoblada con Logia/lavadero.

Lindo patio con césped con riego automático y cobertizo con piso cerámica
Antejardín, con 3 estacionamientos.

Condominio cuenta con guardia y vigilancia las 24 hrs. con acceso controlado. Además, tiene piscina, multicancha, quincho, áreas verdes y salón de eventos. 
Valor gastos comunes $60.000 aproximados
Segundo piso: 3 dormitorio, 2 baños, (la habitación principal con baño en suite y wolking close), piso flotante.

Tercer piso: 1 habitación amplia con clóset y sala de estar, con piso alfombrado.

Orientación Poniente.

Superficie
181 m² terreno
120 m² construcción aprox.

Situado en un tranquilo barrio residencial con una increíble ubicación, destaca por su excelente conectividad y accesibilidad a Vespucio Norte y Autopista Central. A 5 minutos de la línea 3 del metro Los Libertadores y Mall Palza Norte.

VALOR VENTA $160.000.000

Contacto interesados
Francia Saavedra
Asesora Inmobiliaria
Celular/Whatsaap: +56 9 95440993


Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante
Techos: teja

Suministros 
Agua caliente: otro
Calefacción: otro

Características propiedad 
antejardín, comedor de diario, lavadero interior, living comedor separado, pieza de planchado, pieza de servicio, piscina, portón eléctrico, terraza con techo, cocina amoblada, cocina equipada, portón automático

Características comunidad 
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, juegos infantiles, multicancha, piscina, quincho, sala de eventos

Gastos 
Contribuciones: $ 112.000
Gastos comunes: $ 60.000",$,Huechuraba,Casas,Propiedades usadas,8/4/2020,2,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_Desde_51_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
1594170273-462,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 187.000.000,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5546368-moderna-casa-remodelada-completamente-uda#position=40&type=item&tracking_id=0a1c54e0-b7c7-415b-a722-cdf45f6aa394,"Casas en Venta en Huechuraba, 3 dormitorios o más",187.000.000,210 m²,139 m²,4,3,3,"Descripción
			
			
			
	

	

	
	
		Moderna casa completamente equipada y remodelada de 3 pisos,

1 piso: 
Hall de entrada, comedor con acceso a patio con gran ventanal y conectado a una hermosa cocina estilo americana con logia, living separado y baño de visita.

2 piso:
3 habitaciones , 1 dormitorio principal en suite con baño remodelado con jacuzzi, aire acondicionado, dos dormitorios amplios con closet que comparten un segundo baño.

3 piso: 
Cuenta con un gran cuarto dormitorio con walking closet o sala de juegos multi propósito.

Exteriores
Estacionamiento para 3 vehículos.
Patio trasero con gran piscina, terraza y quincho.

Emplazada en condominio con seguridad y guardias 24 hrs. acceso controlado. Cercano a Colegios, supermercados, restaurantes, áreas verde

Interesados coordinar visita con Tatiana Vergara a tatiana.vergara@aicn.cl ó al +56994990865",$,Huechuraba,Casas,Propiedades usadas,7/4/2020,2,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_Desde_51_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*
1594170414-526,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 4.850,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5630386-vende-fontova-norte-dentro-de-condominio-uda#position=26&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,"Casas en Venta en Huechuraba, 3 dormitorios o más",4.85,150 m²,95 m²,3,3,2,"Descripción
			
			
			
	

	

	
	
		NUEVA EXCELENTE ESTADO....DOS PISOS, AISLADA
HALL, BAÑO DE VISITAS, PUERTA MAMPARA ACCESO LIVING COMEDOR, DORMITORIO PRINCIPAL EN SUITE, COCINA AMOBLADA Y EQUIPADA CON ENCIMERA. HORNO Y CAMPANA, COMEDOR DE DIARIO. LOGIA CERRADA Y TECHADA.
2DO. PISO AMPLIA SALA DE ESTAR, MAS DOS DORMITORIOS, UN BAÑO COMPLETO.
TERRAZA, JARDIN Y ANTEJARDIN FORMADO CON RIEGO AUTOMÁTICO.
CONDOMINIO CUNTA CON SEGURIDAD 24/7, SALA MULTIUSO, PISCINA, ESTACIONAMIENTO VISITAS.
NO DEJAR DE VISITAR¡¡¡¡¡¡¡


Características propiedad 
antejardín, comedor de diario, riego automático, sala de estar, cocina amoblada, cocina equipada, hall

Características comunidad 
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, juegos infantiles, piscina, sala de eventos

Gastos 
Contribuciones: $ 50.000
Gastos comunes: $ 80.000",UF,Huechuraba,Casas,Propiedades usadas,25-05-2020,,
