web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href,Province_aux
1594170739-564,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 194.000.000,https://www.portalinmobiliario.com/MLC-522930863-departamento-en-venta-villa-frei-_JM#position=10&type=item&tracking_id=501fd201-9464-4868-8101-a7a15fe58404,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",194.000.000,100 m²,93 m²,3,3,2,"Descripción
			
			
			
	

	

	
	
		Luminoso departamento, tres dormitorios, dos baños, dos terrazas, estacionamiento y bodega, a pasos de metro linea 3, cercano a Mall Plaza Egaña, en un sexto piso, cuenta con piscina, qincho, sala de eventos, mesas de Pool, SPA. Gimnasio, conserje las 24 horas,",$,null,Departamentos,Propiedades usadas,30-03-2020,2,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_Desde_51_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,Ñuñoa
1594170767-577,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 185.000.000,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5613469-jorge-washington-plaza-nunoa-uda#position=47&type=item&tracking_id=f95550d7-ca10-404e-afc6-1e784adc04ee,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",185.000.000,105 m²,100 m²,3,2,1,"Descripción
			
			
			
	

	

	
	
		Excelente Departamento  con Orientación Nor – Poniente en 2 º Piso. 
 
Estacionamiento y Bodega. Gastos Comunes $ 130.000 / Contribuciones $ 120.000 
 
Dormitorio Principal en Suite. Piso Flotante en Living-Comedor y Dormitorios. Cocina y Baños Cerámica. Todos los Dormitorios muy Amplios con Closet

Cocina Full Amoblada y Equipada .Amplia Logia para Lavadora y Secadora.  Sin Calefacción.  

Áreas Comunes: , Quincho, Sala de Eventos, Gimnasio, Lavandería . Estacionamiento de Visitas. Seguridad 24 / 7 con Conserjería. Cámaras de Seguridad.


Características propiedad 
alarma, loggia, cocina amoblada, cocina equipada, portón automático

Características comunidad 
accesos controlados, circuito cerrado de tv, citófono, estacionamiento de visitas, gimnasio, portón eléctrico, quincho, sala de eventos

Gastos 
Contribuciones: $ 120.000
Gastos comunes: $ 180.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1",$,null,Departamentos,Propiedades usadas,15-05-2020,,,Ñuñoa
1594170774-579,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.490,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5615344-jorge-washington-gerona-uda#position=45&type=item&tracking_id=f95550d7-ca10-404e-afc6-1e784adc04ee,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",6.49,105 m²,100 m²,3,2,1,"Descripción
			
			
			
	

	

	
	
		Excelente Departamento  con Orientación Nor – Poniente en 2 º Piso. Edificio de 13 º Pisos. Edificio Año 2010
 
Estacionamiento . SIN BODEGA Gastos Comunes $ 110.000 / Contribuciones $ 112.000 
 
Dormitorio Principal en Suite. Piso Flotante en Living-Comedor. Alfombra en Dormitorios. Cocina y Baños Cerámica. 

Cocina Amoblada y Equipada Logia. Calefacción por Radiadores. 
 
Áreas Comunes: Piscina, Quincho, Sala de Eventos, Gimnasio, Lavandería. Estacionamiento de Visitas. Seguridad 24 / 7 con Conserjería. Cámaras de Seguridad.


Terminaciones 
Piso baños: cerámica
Piso dormitorios: alfombra

Características propiedad 
alarma, loggia, cocina amoblada, cocina equipada, portón automático

Características comunidad 
accesos controlados, circuito cerrado de tv, citófono, estacionamiento de visitas, gimnasio, piscina, portón eléctrico, quincho, sala de eventos

Gastos 
Gastos comunes: $ 110.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1",UF,null,Departamentos,Propiedades usadas,17-05-2020,,,Ñuñoa
1594170808-595,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 190.000.000,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5658517-ubicacion-chile-espana-con-simon-bolivar-3-dormitorios-2-banos-muy-bien-cuidado-uda#position=29&type=item&tracking_id=f95550d7-ca10-404e-afc6-1e784adc04ee,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",190.000.000,110 m²,95 m²,3,2,1,"Descripción
			
			
			
	

	

	
	
		Año construcción: 2009
Edificio cuenta con: Piscina, Quincho, Sala de Cine, Salón de eventos 
Depto: Modelo mas grande del edificio 
Ubicación: Cercano a metro Chile España (a un costado del supermercado) 
Orientación: 

- 1 estacionamiento
- 1 bodega (amplia y cuenta con repisas) 

Gastos Comunes: $ 120.000 a $ 160.000 (Verano-Invierno) 
Contribuciones $ 130.000 (Trimestral)

DCG PROPIEDADES

Características propiedad 
comedor de diario, hall, loggia, cocina amoblada, cocina equipada

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1",$,null,Departamentos,Propiedades usadas,10/6/2020,,,Ñuñoa
1594170772-578,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 195.000.000,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5614262-enrique-richard-3344-uda#position=46&type=item&tracking_id=f95550d7-ca10-404e-afc6-1e784adc04ee,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",195.000.000,106 m²,95 m²,3,3,2,"Descripción
			
			
			
	

	

	
	
		Maravilloso Depto en Ñuñoa
Consta de hall de acceso, 3 Dormitorios , 3 baños,gran cocina con loggia , living comedor con 
salida a terraza, dos estacionamientos y bodega.
A pasos del centro comercial y cultural de la comuna de Nuñoa, cercano a colegios , servicios y 
principales vias de circulacion peatonal y vial, gran conectividad.
Departamento se encuentra desocupado
Entrega inmediata
Zona de alta demanda y plusvalía.
Se recibe ofertas
Contacto whatsap: +569 930670403 Francisco Osés Follmer

Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso flotante

Suministros 
Agua caliente: caldera

Características propiedad 
comedor de diario, hall, loggia, cocina amoblada, portón automático

Características comunidad 
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, sala de eventos

Gastos 
Gastos comunes: $ 180.000

Estacionamientos y bodegas 
 Estacionamientos: 2
Bodegas: 1",$,null,Departamentos,Propiedades usadas,15-05-2020,,,Ñuñoa
1594170736-563,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.700,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5534098-duble-almeyda-con-campo-de-deporte-uda#position=11&type=item&tracking_id=501fd201-9464-4868-8101-a7a15fe58404,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",6.7,115 m²,115 m²,4,2,1,"Descripción
			
			
			
	

	

	
	
		Se vende... OFERTA UNICA, espectacular, execlenet ubicacion a 2 cuadras del metro, supermercados, comercio, en el corazon de Ñuñoa, muy buena conectividad.
Dpto. en 2do piso, orientacion sur Oriente, recibos juntos iluminados, 2 terrazas, 4 dormitios, piso alfombra, 2 baños, con cerámica de muro a muro, cocina americana, amoblada y equipada con logia para incorporar lavadora y secadora, año 2009.
El edificio cuenta con 12 pisos, acceso controlado, 24/7, cámaras, estacionamientos de visitas, lavanderia, gimnasio, piscina, quincho, salon de eventos excelente , area de juegos infantiles, gastos comunes $140.000 aprox.-

Terminaciones 
Piso baños: cerámica
Piso dormitorios: alfombra

Características propiedad 
cocina americana, comedor de diario, loggia, cocina amoblada, cocina equipada

Características comunidad 
accesos controlados, áreas verdes, circuito cerrado de tv, citófono, estacionamiento de visitas, gimnasio, juegos infantiles, piscina, portón eléctrico, quincho, sala de eventos

Gastos 
Gastos comunes: $ 140.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1",UF,null,Departamentos,Propiedades usadas,30-03-2020,2,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_Desde_51_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,Ñuñoa
1594170852-614,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.000,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5697426-montenegro-189-uda#position=10&type=item&tracking_id=f95550d7-ca10-404e-afc6-1e784adc04ee,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",6,112 m²,81 m²,3,2,1,"Descripción
			
			
			
	

	

	
	
		EXCELENTE departamento en primer piso con patio, finas terminaciones, vista asegurada, orientación Oriente, 3 dormitorios, principal en suite y walking closet, logia, 1 estacionamientos y 1 bodega, ubicación privilegiada, sector residencial y consolidado a pasos de Irarrázabal, departamento silencioso y cálido, buena distribución de espacios, cercano a centros educacionales, comerciales, supermercados, áreas verdes y a todo lo necesario para una buena calidad de vida. Excelente conectividad. Seguridad 24hrs., acceso controlado (Conserjería), ascensores.

Características propiedad 
comedor de diario

Características comunidad 
estacionamiento de visitas, piscina, sala de eventos

Gastos 
Contribuciones: $ 87.133
Gastos comunes: $ 95.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1",UF,null,Departamentos,Propiedades usadas,3/7/2020,,,Ñuñoa
1594170765-576,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 120.000.000,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5612338-villa-olimpica-uda#position=48&type=item&tracking_id=f95550d7-ca10-404e-afc6-1e784adc04ee,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",120.000.000,106 m²,104 m²,4,2,1,"Descripción
			
			
			
	

	

	
	
		SE VENDE Estupendo Departamento Duplex, recién Remodelado, Orientación Oriente Dormitorios. 
Excelente ubicación y conectividad a tan sólo pasos del metro ñuble, frente a supermercado, y comercio en general

Distribución:
1 Nivel. Living Comedor con salida a terraza, cocina americana, 1 dormitorio, 1 baño
2 Nivel: 3 dormitorios, 1 baño
Estacionamiento de uso y goce

GGCC $25.000 app incluye agua


Terminaciones 
Piso baños: cerámica
Piso dormitorios: cerámica

Características propiedad 
reja en ventanas

Gastos 
Gastos comunes: $ 25.000

Estacionamientos y bodegas 
 Estacionamientos: 1",$,null,Departamentos,Propiedades usadas,14-05-2020,,,Ñuñoa
1594170741-565,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 169.000.000,https://www.portalinmobiliario.com/MLC-522930916-departamento-en-venta-portal-nunoa-_JM#position=9&type=item&tracking_id=501fd201-9464-4868-8101-a7a15fe58404,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",169.000.000,110 m²,99 m²,3,3,2,"Descripción
			
			
			
	

	

	
	
		Amplio Departamento ubicado en zona residencial de Ñuñoa con 3 dormitorios, prinicpal en suite, 2 baños completos más pieza y baño de servicio. Tiene una terraza de buen tamaño con salida al living-comedor y dormitorio principal, lindos jardines y el departamento cuenta con 1 estacionamiento subterráneo, una bodega que es la más grande del edificio y estacionamientos de visita. Verónica Guzmán 942329307",$,null,Departamentos,Propiedades usadas,30-03-2020,2,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_Desde_51_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,Ñuñoa
1594170815-598,https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 175.000.000,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5663302-holanda-3235-uda#position=26&type=item&tracking_id=f95550d7-ca10-404e-afc6-1e784adc04ee,"Departamentos en Venta en Ñuñoa, 3 dormitorios o más",175.000.000,100 m²,90 m²,3,2,1,"Descripción
			
			
			
	

	

	
	
		IMPECABLE DEPARTAMENTO EN CUARTO PISO 
LA MEJOR ORIENTACIÒN ORIENTE.,
CERCANO CAMPUS UNIVERSIDAD CATÒLICA , SUPERMERCADO , LOCOMOCIÒN .
GASTOS COMUNES $150.000 APROX.
CONSTRIBUCIONES $120.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1",$,null,Departamentos,Propiedades usadas,14-06-2020,,,Ñuñoa
