web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href,Province_aux,Province_aux2
"1594171247-661","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/MLC-529809431-departamento-en-venta-bosque-norte-_JM#position=18&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","130 m²","120 m²","3","3","2","Descripción
			
			
			
	

	

	
	
		Amplio y luminoso departamento. Living comedor con salida a terraza y con vista a Av. El Bosque. Cocina amoblada con comedor de diario, loggia. 3 dormitorios, 2 baños, 2 con salida a terraza. Estacionamiento, bodega. Cerca locomoción, comercio, colegios, plazas, iglesia, restaurantes. No dejar de ver. Metros son aproximados. FPE1865","UF","null","Departamentos","Propiedades usadas","01-06-2020","","","null","null"
"1594171211-644","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.980","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5439379-suecia-carlos-antunez-uda#position=35&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.980","113.41 m²","90 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		INMEJORABLE UBICACION Y ORIENTACION!
Nor Oriente, Suecia con Carlos Antunez, caminable a Metro. Recién remodelado, piso flotante nuevo.
Dormitorio principal con baño en suite, closet y terraza. Otros 2 dormitorios de muy buen tamaño que comparten un baño. Dormitorio y baño de servicio.
Hall, living-comedor con terraza, cocina y loggia. 
1 estacionamiento bajo el edificio y 1 bodega de muy buen tamaño en subterráneo.


Terminaciones 
Piso baños: cerámica
Piso dormitorios: piso fotolaminado

Suministros 
Agua caliente: calefón

Características propiedad 
hall, loggia, cocina amoblada, portón automático

Características comunidad 
accesos controlados, citófono, estacionamiento de visitas, portón eléctrico

Gastos 
Contribuciones: $ 177.458
Gastos comunes: $ 120.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","06-03-2020","","","null","null"
"1594171215-646","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.500","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5513692-metro-pedro-de-valdivia-providencia-uda#position=33&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.500","102 m²","102 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Departamento excelente ubicación, a pasos del metro Pedro de Valdivia, en pleno providencia, NO tiene terraza, 3 dormitorios , principal en suite, walk in closet, 2 baños, 1 estacionamiento subterráneo, sin bodega. 
Gastos comunes aprox. 148.000 incluye cuenta de agua potable. 
Contribuciones trimestrales $118.000.- Puede ser usado como oficina para profesionales.
No dejar de visitar.

Terminaciones 
Piso baños: baldosa
Piso dormitorios: piso flotante

Suministros 
Agua caliente: termo
Calefacción: otro

Características propiedad 
alarma, cocina americana, comedor de diario, hall, cocina amoblada, cocina equipada, persianas, portón automático

Características comunidad 
accesos controlados, citófono, portón eléctrico

Gastos 
Contribuciones: $ 118.000
Gastos comunes: $ 148.000

Estacionamientos y bodegas 
 Estacionamientos: 1","UF","null","Departamentos","Propiedades usadas","17-03-2020","","","null","null"
"1594171256-665","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.990","https://www.portalinmobiliario.com/MLC-530683961-propiedad-en-av-manuel-montt-av-francisco-bilbao-_JM#position=14&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.990","127 m²","127 m²","4","5","3","Descripción
			
			
			
	

	

	
	
		Cómodo departamento de 127 metros totales a sólo 4 cuadras del Metro Inés de Suárez.

Cuenta con 3 dormitorios, 2 baños completos, más dormitorio y baño de servicio que puede ser usado como escritorio o cuarto dormitorio. Hall de entrada, cocina tradicional amoblada con logia, living comedor juntos con salida a terraza con orientación norte. Dormitorio principal también con salida a terraza. Todos los dormitorios con closets. Pisos de cerámica en todo el departamento. 

Superficie útil: 106 metros cuadrados más 21 metros de terrazas aproximados.

Incluye 1 estacionamiento de uso y goce exclusivo en superficie y techado, y 1 bodega de 4 metros cuadrados aproximados en subterráneo.

Edificio de 4 pisos, construido en el año 1981, con 4 departamentos por piso, sin ascensor. Cuenta con conserjería diurna, citófonos y portón eléctrico. Accesos, pasillos y escaleras amplias y cómodas.

Gastos comunes: $80.000.- aproximados.
Contribuciones: $125.000.- aproximados. 

Excelente oportunidad para vivir en un barrio seguro, cerca de todo tipo de comercio, servicios, restaurantes, cafés, parques, colegios, Metro y con gran conectividad con toda la ciudad.

Más información: contacto@hrcorredores.com  /  +562 2233 2482  /  +569 4586 8578","UF","null","Departamentos","Propiedades usadas","05-06-2020","","","null","null"
"1594171207-642","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","$ 180.000.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5349177-excelente-departamento-a-pasos-de-providencia-uda#position=37&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","180.000.000","102 m²","92 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Excelente departamento a pasos de Providencia, amplio espacio con cocina americana y estar, 3 amplios dormitorios y 2 baños.Gastos comunes incluyen agua. A dos cuadras de estación de metro , comercio, bancos, restaurantes etc.

Estacionamientos y bodegas 
 Estacionamientos: 1","$","null","Departamentos","Propiedades usadas","13-01-2020","","","null","null"
"1594171230-653","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5598526-amplio-departamento-con-jardin-metro-tobalaba-uda#position=26&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","150 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Amplio departamento en primer piso con jardín, con excelente ubicación, a pasos de Metro Tobalaba y Los Leones, Mall Costanera Center, comercio, restaurantes, supermercados, bancos.
Orientación Oriente - Poniente. 
PROGRAMACIÓN: Hall, living comedor con salida a terraza y amplio jardín, cocina, logia, 2 dormitorios, 1 baño con luz natural, pieza y baño de servicio. 
El departamento cuenta con acceso de vehículo independiente del edificio y estacionamiento techado.
Todo el departamento tiene piso de parquet en excelente estado y calefacción central.



Estacionamientos y bodegas 
 Estacionamientos: 1","UF","null","Departamentos","Propiedades usadas","07-05-2020","","","null","null"
"1594171232-654","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.500","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5602387-amapolas-2081-uda#position=25&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.500","110 m²","100 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		Características propiedad 
comedor de diario, loggia, pieza de planchado, cocina amoblada, persianas

Características comunidad 
citófono, portón eléctrico

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","08-05-2020","","","null","null"
"1594171243-659","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5586614-francisco-bilbao-3775-uda#position=20&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","126 m²","120 m²","4","3","1","Descripción
			
			
			
	

	

	
	
		Visitas Incluso Fines de Semana, previa coordinación.

En venta amplio departamento, con 3 dormitorios más un cuarto de servicio. 3 baños, 1 terraza con imponente vista.
1 Estacionamiento + 1 Bodega.

Baños y cocina antiguos,

GC: 120.000
Contribuciones : $130.000
Piso 25
Orientación: Suroriente
Edificio construido en 1983
Piso Flotante en todo el departamento.



Gastos 
Contribuciones: $ 130.000
Gastos comunes: $ 120.000

Estacionamientos y bodegas 
 Estacionamientos: 1
Bodegas: 1","UF","null","Departamentos","Propiedades usadas","25-05-2020","","","null","null"
"1594171219-648","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 6.523","https://www.portalinmobiliario.com/MLC-522359238-propiedad-en-arturo-claro-parque-ines-de-suarez-_JM#position=31&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","6.523","104 m²","97 m²","3","3","3","Descripción
			
			
			
	

	

	
	
		Excelente departamento en uno de los mejores sectores de Providencia. Calle tranquila a pasos del Parque Inés de Suárez y de la estación de Metro del mismo nombre.

Muy amplio living comedor, luminoso. Terraza con linda vista. Cocina tradicional con log","UF","null","Departamentos","Propiedades usadas","18-03-2020","","","null","null"
"1594171202-640","https://www.portalinmobiliario.com/venta/departamento/mas-de-3-dormitorios/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*","UF 7.000","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5610359-carlos-antunez-avenida-el-bosque-providencia-uda#position=39&type=item&tracking_id=f973b25a-3cb2-42df-90e6-e838c3557883","Departamentos en Venta en Providencia, 3 dormitorios o más","7.000","120 m²","95 m²","3","2","1","Descripción
			
			
			
	

	

	
	
		¡¡¡DISPONIBILIDAD INMEDIATA!!!

SE VENDE O ARRIENDA amplio y luminoso departamento en la comuna de providencia , con excelente distribución, 3 amplios dormitorios, 2 baños completos, 1 estacionamiento y 1 bodega.
Excelente ubicación cercano a estaciones de metro y avenida principal.

Características

- 140 mts cuadrados
- 3er piso; orientación sur oriente
- Hall de entrada
- 2 terrazas
- conexión para lavadora en la cocina
- gastos comunes: $ 120.000
- Conserjería 24/7

TAMBIÉN DISPONIBLE PARA ARRIENDO
$750.000 MIL (25 UF)","UF","null","Departamentos","Propiedades usadas","13-05-2020","","","null","null"
