web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,Bdroom,Bath,Description,Province,PropertyType,PublishedDate
"1594174776-986","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 170.000.000 Casa en Venta en Santiago 3 dormitorios 2 baños / Procasa La Gloria","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-3-dormitorios-2-banos-codR76269273-2L0-46154.html","$170.000.000","M2 construidos: 125","Dormitorios: 3","Baños: 2","46154. Cómoda Casa pareada de 1 piso con doble entrada por calle y pasaje cerrado. Cuenta con living comedor con salida a patio de luz, cocina amoblada, 3 dormitorios principal en suite. 2 baños. Pisos flotante y cerámicos, 2 calefont, alcantarillado propio. 1 estacionamiento en garaje.  Contribuciones $ 100.000 cuota trimestral.    Ubicada en tranquilo y consolidado sector de Santiago, con accesos en su entorno inmediato a comercio, centros de salud, supermercados, restaurantes, colegios, locomoción pública y metro Av.Matta.    Metraje de la propiedad entregado por propietario (sujeto a confirmación).","null","null","Fecha publicación:  
														2020-07-07"
"1594174790-991","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 120.000.000 Casa en Venta en Santiago 4 dormitorios 2 baños / CKR Propiedades","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-4-dormitorios-2-banos-codR12262647-4L0-57363.html","$120.000.000","M2 construidos: 133","Dormitorios: 4","Baños: 2","CASA APTA INVERSIÓN PARA ARRIENDO POR PIEZAS!! pareada por ambos costados. Excelente ubicación en pleno Barrio Victoria entre Santa Rosa y San Francisco, a pasos de METRO AV. MATTA. Living-comedor separados, 4 dormitorios, 2 baños, cocina con comedor de diario, patio de luz, pieza de servicio, patio. Terreno: 163 m2 (6,42 m. de frente x 25,42 m. de fondo) Construidos: 133,63 m2 (110 m2 vivienda original + 23,46 m2 ampliación). Patio: 29,57 m2 COORDINE SU VISITA AL 975396423","null","null","Fecha publicación:  
														2020-07-07"
"1594174779-987","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.555 Casa en Venta en Santiago 3 dormitorios 1 baño / Nexxos","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-3-dormitorios-1-bano-codR76888194-4L0-101027316.html","5.555 UF","M2 construidos: 132","Dormitorios: 3","Baños: 1","AMPLIA CASA ANTIGUA CON LOCAL Y DESTINO COMERCIAL, con accesos independientes. Fachada Continua, ventanas externas con termopanel, Living y Comedor separados, Pasillo/Galería para Remodelar, Cocina aparte, 3 dormitorios, 1 baño, patio interior con parrón y bodega.  Sup. de terreno: 213 Sup. construida: 132 Metros de fondo: 17 Metros de frente: 12,50 Piso de los dormitorios: Madera Piso de los baños: Cerámica Piso de la cocina: Baldosas Piso del comedor: Madera Piso del living: Madera Piso hall de entrada y Pasillo/Galería: Baldosas Tipo de local: A la calle Recepción final: Total Orientación: Norte Nº de pisos: 1  Tipo de gas: Cañeria Tipo de agua caliente: Calefont Tipo de construcción: Albañilería tradicional Tipo de energía: Monofásica  Agenda tu Visita!","null","null","Fecha publicación:  
														2020-07-07"
"1594174761-982","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 180.000.000 Casa en Venta en Santiago 9 dormitorios 4 baños / Italprop","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-9-dormitorios-4-banos-codR76088255-0L0-121.html","$180.000.000","M2 construidos: 200","Dormitorios: 9","Baños: 4","Casa antigua de dos pisos con fachada continua. Para refaccionar. Consta de recibos, 9 amplios dormitorios, 4 baños, cocina tradicional, dos patios de luz, piso de madera.
Opción comercial. Cercana al Metro Toesca.","null","null","Fecha publicación:  
														2020-07-07"
"1594174782-988","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 140.000.000 Casa en Venta en Santiago 5 dormitorios 1 baño / Easy Prop","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-5-dormitorios-1-bano-codR24095969-0L0-101009702.html","$140.000.000","M2 construidos: 112","Dormitorios: 5","Baños: 1","Ideal para oficina, arriendo de piezas, jardín infantil, amplio uso comercial ya que cuenta con 5 amplios dormitorios, 1 baño, cocina, 112 mts2, factibilidad para un 2do piso y esta en condominio. Así como una ubicación excepcional Marcoleta entre Carmen y Lira.   La casa esta recién remodelada (6 meses a la fecha) por el arquitecto Don Augusto Zarricueta.   Número de Contacto +56951392767","null","null","Fecha publicación:  
														2020-07-07"
"1594174772-985","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 170.000.000 Casa en Venta en Santiago 13 dormitorios 2 baños / Fuenzalida Centro","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-13-dormitorios-2-banos-codR76671290-8L0-FSC4604.html","$170.000.000","M2 construidos: 255","Dormitorios: 13","Baños: 2","Pedro León Ugalde/Santa Elvira, Casa habitación de 2 pisos para remodelación , 213/255 mtr2,  cuenta con 13 dormitorios, 2 baños, Ideal para inversionista,  excelente conectividad, cuenta con informes previos.
Actualmente arrendada por piezas.. Marcela  Arce  Tel. +56994332729","null","null","Fecha publicación:  
														2020-07-07"
"1594174786-989","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 4.629 Casa en Venta en Santiago 6 dormitorios 1 baño / Vivaqui.com","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-6-dormitorios-1-bano-codR96912310-kL0-101028245.html","4.629 UF","M2 construidos: 130","Dormitorios: 6","Baños: 1","OPORTUNIDAD: CASA ANTIGUA, DESOCUPADA, PARA REMODELAR, CON RECEPCIÓN FINAL, DESTINO USO COMERCIAL, en barrio industrial, comercial y profesional, apta para Oficinas, Bodegas, Empresa y/o Taller, a 2 cuadras de Avda. Matta y Vicuña Mackenna . Próxima a Bancos, Colegios, Comercio, Proyectos inmobiliarios y a 15 Minutos centro de Santiago. Metro Lineas 5 y 6. Contactar a email eugeniab@vivaqui.com +56 9 73371285/ 222175555,   DESCRIPCIÓN:: 6 privados buen tamaño, 1 baño, cocina, bodegas, alarma. Habilitada para corriente trifásica, conexiones instaladas para hacer un segundo baño. Superficie 130 metros aprox. construidos. en 2 pisos. Exenta de Contribuciones. NO tiene estacionamiento. ID28245","null","null","Fecha publicación:  
														2020-07-07"
"1594174755-980","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.460 Casa en Venta en Santiago 3 dormitorios 2 baños / Schumacher Propiedades","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-3-dormitorios-2-banos-codR76079463-5L0-101069706.html","6.460 UF","M2 construidos: 200","Dormitorios: 3","Baños: 2","Excelente propiedad, en una zona de gran plusvalía.     CARACTERÍSTICAS  - 200 /340 m2 - 3 Dormitorios - 2 Baños - Living comedor separados - Escritorio - Cocina amoblada, logia y comedor de diario","null","null","Fecha publicación:  
														2020-07-07"
"1594174757-981","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.450 Casa en Venta en Santiago 6 dormitorios 3 baños / Valenzuela Faez Propiedades y Cìa Ltda","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-6-dormitorios-3-banos-codR7970479-2L0-5548923.html","6.450 UF","M2 construidos: 120","Dormitorios: 6","Baños: 3","Ideal inversionistas !! VALOR TASACIÓN 8600 UF , VALOR LIQUIDEZ 6450 UF En el centro del barrio Yungay  Vecina a la Famosa Peluquería Francesa frente a Centro Cultural Nave, cercana al museo de la música y futura estación de metro Libertad (50 metros) Al frente del nuevo Museo taller (Inauguración Septiembre 2020)  Dos Casas con numeración municipal  Casa Libertad 423 Ubicada en el primer piso actualmente oficinas consta de 5 habitaciones distintos tamaños 2 baños y patio interior.  Casa Libertad 425 Ubicada en el segundo piso existen 6 habitaciones 1 baño y cocina americana. Actualmente se ocupa como departamento en arriendo con una renta de $ 500.000. Se venden arrendadas o desocupadas.  La renta entre ambas podría llegar a ser fácilmente entre $1.300.000 y $1.500.000  Las casas se pueden unir en una actividad comercial o bien mantenerlas en renta en forma independiente. La casa tiene un solo ROL  Su mayor atributo sin duda es su excelente ubicación","null","null","Fecha publicación:  
														2020-07-07"
"1594174788-990","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Santiago&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 130.000.001 Casa en Venta en Santiago 5 dormitorios 1 baño / LPM Gestión - Las Condes","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-5-dormitorios-1-bano-codR99524100-5L0-101002972.html","$130.000.001","M2 construidos: 175","Dormitorios: 5","Baños: 1","CASA APTA PARA OFICINA, BODEGA , EMPRESA Y/O TALLER, CON RECEPCIÓN FINAL, ESTA EXENTA DE CONTRIBUCIONES Y CERCANA A METROS LINEA 5-6. CUENTA CON LIVING-COMEDOR SEPARADOS, 3 DORMITORIOS Y UN BAÑO  COMPLETO Y  COCINA. PARA VISITAS LLAMAR A LPM GESTIÓN AL 22 22 00 412 ID 2972","null","null","Fecha publicación:  
														2020-07-07"
