web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,Bdroom,Bath,Description,Province,PropertyType,PublishedDate,page,page-href
"1594175138-1021","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.289 Casa en Venta en Huechuraba 4 dormitorios 3 baños / Easy Prop","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR24095969-0L0-101010079.html","6.289 UF","M2 construidos: 124","Dormitorios: 4","Baños: 3","Hermosa casa Familiar 4 dormitorios 3 baños Sala de Estar Principal en suite con walking closet y baño con tina y ventilación natural en primera planta 3 amplios dormitorios y baño secundario con ventilación y luz natural y una amplia sala de estar en segunda planta
 Baño de visita Cocina amoblada y equipada con Encimera a gas, Campana y Horno eléctrico, lavaplatos doble
 Gran Quincho con campana, Terraza y Pergola y bodega Piscina de 3 x 6 mts con orientación Norte Calefacion por radiadores a gas  2 calefonts  Logia Techada  Condominio cerrado con seguridad las 24 hrs ubicación privilegiada por la variedad de comercio que se encuentra en el cercano inmediato : Supermercados, gimnasios, veterinarias, centros de estéticas, centros de Yoga, estaciones de servicios 5 min del mall Plaza Norte, Variedad de centros educacionales Lincoln College, Colegio Pumahue y Institutos Nivel superior Aiep y Duoc.  No deje de Visitar   Coordinar visita con corredor de Propiedades Cristian Valenzuela  Comision 1,5 % del valor de venta","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175171-1037","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.500 Casa en Venta en Huechuraba 3 dormitorios 3 baños / Nexxos","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR76888194-4L0-101032808.html","5.500 UF","M2 construidos: 110","Dormitorios: 3","Baños: 3","Ubicación. En un tranquilo sector de Huechuraba, a solo minutos de importantes ejes viales como Vespucio Norte y Autopista Central, que conectan hacia cualquier punto de la ciudad.  Vida de Barrio: Tranquilo Condominio con ambiente de barrio, que cuenta con multicancha, piscina, salón multiuso, quincho y áreas verdes. Sector alejado del ruido y tráfico, cercano a Supermercados, centros comerciales como el Mall Plaza Vespucio y reconocidos colegios.  Excelentes terminaciones, hall y living comedor con piso de cerámica y dormitorios y sala de estar con piso flotante. Cocina amoblada y equipada con horno empotrado, campana y encimera. Cocina con cubierta de granito y baños con cubierta de marmol.  Distribución:  Piso 1.....Hall de acceso, amplio living comedor, gran cocina equipada, baño de visitas y dormitorio principal en suite con walk in closet.  Piso 2.....Dos amplios dormitorios, un baño grande, escritorio y una sala de estar por separado  Ante Jardín con estacionamiento tres vehículos, Jardín con terraza y amplia logia. Entre techo: Amplia Bodega con acceso escalera telescópica","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175144-1024","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.000 Casa en Venta en Huechuraba 4 dormitorios 3 baños / Avsa Huechuraba","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR96677950-0L2-101012555.html","6.000 UF","M2 construidos: 128","Dormitorios: 4","Baños: 3","Estupenda casa dentro de Condominio, 128/190 ms aproximados, seguridad 24 horas,tres pisos, muy cómoda y acogedora, tres dormitorios, tres baños.  Segundo y tercer piso con flotante, principal en suite, walk in closet, sala de estar. Tercer piso otro dormitorio, en el segundo piso deben ser tres dormitorios, pero en la casa botaron la pared de uno dejando un gran dormitorio de niños, logia techada, aprovechando los espacios con una rica salita de estar, ideal para zona de juegos de los niños, cocina equipada, amoblada, terraza techada, jardín formado, estacionamiento descubierto para dos autos, estacionamientos de visitas, linda plaza y áreas verdes, cerca de supermercados, locomoción, colegios, excelente ubicación¡¡¡  Agenda tu visita: ventashuechuraba@avsa.cl","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175158-1031","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.600 Casa en Venta en Huechuraba 4 dormitorios 3 baños / Vivax Propiedades","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR76039513-7L0-101658984.html","5.600 UF","M2 construidos: 122","Dormitorios: 4","Baños: 3","Acogedora casa aislada de 2 pisos, en condominio con frente independiente y orientación Oriente-Poniente. En primer piso: Hall de entrada con closet, living y comedor separados, ambos con salida a terraza, 1 dormitorio con baño en suite y walk in closet, cocina equipada y comedor de diario, pieza y baño de servicio. En segundo piso: Sala de estar, 2 dormitorios, 1 baño. En exterior: Terraza con pérgola de madera, jardín formado, patio de servicio techado, antejardín y estacionamiento para 2 vehículos. Estacionamientos de visita al interior del condominio. Gastos comunes aproximados $ 30.000. Buena conectividad, cercana a Colegios, Supermercados y Centros Comerciales. Contactar a Adriana Mahnke, 97835789, amahnke@corredoresasociados.cl","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175142-1023","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.000 Casa en Venta en Huechuraba 4 dormitorios 3 baños / Fuenzalida Centro","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR76671290-8L0-FSC3656.html","6.000 UF","M2 construidos: 128","Dormitorios: 4","Baños: 3","Guanaco Norte/ del Manantial, amplia casa 3 pisos, aislada y en condominio 128 / 220 m2, 4 dormitorios, walk in closet, 2 baños completos, principal en suite, cocina amoblada, living comedor separados con salida a terraza, mansarda acondicionada para dormitorio, sala de juegos, pieza de lavado, estacionamiento para 2 vehículos, juegos infantiles, conserjería 24 horas, excelente conectividad, próximo a comercio y servicios.
 . Marcela  Arce  Tel. +56994332729","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175148-1026","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.000 Casa en Venta en Huechuraba 3 dormitorios 3 baños / Fuenzalida Vitacura","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR78115880-1L5-FPV3803.html","6.000 UF","M2 construidos: 130","Dormitorios: 3","Baños: 3","FPV3803  DISTRIBUCIÓN: PRIMER PISO:Hall de entrada, living - comedor juntos, escritorio o sala de estar en primer piso, baño de visita, cocina amoblada y equipada  con espacio para comedor de diario, amplia logia. 
SEGUNDO PISO: 3 dormitorios principal en suite, 2  baños completos. 
TERMINACIONES: Living - comedor con piso flotante, alfombra en dormitorios y sala de estar, cubierta muebles de cocina granito, ventanas termopanel.
EXTERIOR: Estacionamiento descubierto para 2 autos, terraza techada.

. Catalina Ríos Tel. +56992379147","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175175-1039","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 4.500 Casa en Venta en Huechuraba 5 dormitorios 2 baños / Century 21 Andes","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-5-dormitorios-2-banos-codR76877714-4L0-8814.html","4.500 UF","M2 construidos: 108","Dormitorios: 5","Baños: 2","Acogedora y segura casa en condominio en Huechuraba.
Living comedor, amplia cocina, 2 baños, 5 dormitorios,
baño visita,
5 dormitorios.
A pasos del metro e intermodal, colegios, supermercados. Para mayor información, contacta a Mauricio Lijavetzky (+56229935755 - mauricio.lijavetzky@century21andes.cl)","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175167-1035","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.500 Casa en Venta en Huechuraba 6 dormitorios 4 baños / Avsa Huechuraba","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-6-dormitorios-4-banos-codR96677950-0L2-101015097.html","5.500 UF","M2 construidos: 180","Dormitorios: 6","Baños: 4","Estupenda casa en Condominio, 3 pisos, 180 /190 mts aproximados,  6 dormitorios,4 baños, ampliada, original de 139 mts , principal en suite, piso flotante, cocina equipada, amoblada con comedor de diario, dormitorio de servicio completo (parte de la ampliación), dormitorios de tercer piso muy grandes y cómodos.  Areas verdes, juegos y piscina.  Exterior: terraza techada, jardinera, quincho, estacionamiento descubierto para dos autos. Cerca de todo, locomoción, colegios y supermercados.  Agenda tu visital:ventashuechuraba@avsa.cl","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175173-1038","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.400 Casa en Venta en Huechuraba 3 dormitorios 3 baños / Hausy Gestión Inmobiliaria","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR76987575-1L0-101005309.html","5.400 UF","M2 construidos: 128","Dormitorios: 3","Baños: 3","Hausy Low Cost Inmobiliario No pagues el 2% + Iva. Ahorra con la tarifa fija de hausy.cl de $2.090.000 iva incluido.  Visita esta propiedad con nuestro Tour Virtual 360° en el siguiente link: http://www.hausy.cl/5309  Casa de 3 pisos en condominio cerrado.  Primer piso: - Living y comedor separado con piso de porcelanato. - Cocina con cubierta de granito y comedor de diario. - Baño de visitas. - Jardín trasero próximamente con pasto. Segundo piso: - Dormitorio principal en suite con walk in closet. - 2 dormitorios del mismo tamaño. - Baño con luz natural. Tercer piso: - Amplia sala de estar. - Bodega.  Estacionamiento para 2 autos. Seguridad en el condominio 24 hrs. Juegos para niños. Gastos comunes $60.000.- Contribuciones $118.000.-  Para mayor información contacto@hausy.cl o llama al 569 3139 3122 https://www.instagram.com/hausy.cl/","null","null","Fecha publicación:  
														2020-07-07","",""
"1594175162-1033","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Casa&c=Huechuraba&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.590 Casa en Venta en Huechuraba 4 dormitorios 3 baños / Nexxos","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR76888194-4L0-101032784.html","5.590 UF","M2 construidos: 130","Dormitorios: 4","Baños: 3","Casa ubicada en Condominio La Liguria, en un tranquilo sector de Huechuraba, a solo minutos de importantes ejes viales como Vespucio Norte y Autopista Central, que conectan con cualquier punto de la ciudad. Cercano a supermercados, centros comerciales como Mall Plaza Norte y reconocidos colegios.  Vida de Barrio: Cuenta con un completo equipamiento: Multicancha, piscina, salón multiuso, quincho y áreas verdes.  La Seguridad: Accesos controlados, estacionamientos de visitas, cámaras de vigilancia y portón eléctrico.  Primer Piso: Hall de Acceso, amplio living, comedor separado. cocina equipada con encimera y horno, baño de visitas. Ante jardín, Estacionamiento (para 2 autos), Logia y amplio Patio con terraza y jardín  Segundo Piso: Dormitorio Principal en suite con walk in closet, más 2 dormitorios y un baño  Tercer Piso: 4° Dormitorio con closet, y Sala de estar","null","null","Fecha publicación:  
														2020-07-07","",""
