web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,Description,PriceUnit,WebDesc,PublishedDate
"1594173687-896","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaAv Seminario/Providencia 29 437, ProvidenciaDepartamento - Usado en venta 5  2  140 m² 3 m²","https://www.toctoc.com/propiedades/compraparticularsr/departamento/providencia/av-seminario-providencia-29-437-providencia/1463212?o=resultado_lista_seo_info","$  170.000.000","0 m²","140 m²","5","2","Lindo y amplio departamento en condondominio muy tranquilo, cuenta con cámaras de seguridad y guardia 24/7.  Departamento muy amplio y luminoso, duplex,  ubicado en el 4° piso y 5° piso, el edificio tiene 5 pisos, 5 dormitorios, 2 baños, terraza, living, comedor, piso de parquet original, cerca de supermercados, colegios, parques, bibliotecas, restoranes, bancos, barrios emblemáticos, a una cuadra aprox de Av Providencia, excelente ubicación.","$  170.000.000","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","21-04-2020"
"1594173765-923","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaLotaDepartamento - Usado en venta 3  2  140 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/lota/1492670?o=resultado_lista_seo_info","UF  6.970","140 m²","140 m²","3","2","Cariola Kroneberg Propiedades
Departamento emplazado en el corazón de Providencia, rodeado de comercio, cerca del metro y con excelente conectividad, consta de 3 amplios dormitorios, 2 baños, dormitorio de servicio , loggia con closet, living comedor juntos con acceso a terraza. Todo el departamento con piso parquet . La cocina fue remodelada el año 2006 y cuenta con horno empotrado y encimera. Orientación norte. Un estacionamiento en superficie. El edificio no cuenta con ascensor. Metrajes informados por el dueño. BF
Para mayor información durante la contingencia sanitaria, contactar 24/7 a ejecutiva Beatriz Ferrada, +569 9227 3140, (bferrada.ckp@gmail.com) .CI 5.419
Visitenos en www.cariolakroneberg.cl","UF  6.970","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","03-07-2020"
"1594173709-903","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaLyon / Carlos AntúnezDepartamento - Usado en venta 3  3  117 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/lyon-carlos-antunez/831386?o=resultado_lista_seo_info","$  200.000.000","117 m²","107 m²","3","3","Lyon / Carlos Antúnez, Excelente ubicación. Depto. en primer piso. Hall de entrada, Living-comedor con salida a Terraza, Cocina remodelada con comedor de diario, conexión a lavadora en la cocina, 3 Dormitorios ( segundo dormitorio cabe cama de 2 plazas) 2º dormitorios con salida a terraza, 3 Baños completos. Edificio de los años 60, tiene un parque en el interior. 1 Estacionamiento primer nivel techado. No tiene bodega. Orientación Nor-poniente.","$  200.000.000","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","05-05-2020"
"1594173759-921","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaMetro Santa Isabel - Vicuña MackennaDepartamento - Usado en venta 3  2  103 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/metro-santa-isabel-vicuna-mackenna/1508379?o=resultado_lista_seo_info","$  170.000.000","103 m²","103 m²","3","2","Departamento venta Providencia remodelado en 2° piso, en edificio de 4 pisos de los años 40, espacios generosos, buena conectividad, movilización, cercano a Metro Santa Isabel y próximo a Parque Bustamante. Coordinar visitas con Marisol +569 94892762 marisol@catabrochet.cl
Amplios y cómodos recibos de concepto abierto con una cocina exquisita con estupenda península de madera, muy equipada, microondas con gril, lavaplatos con secador, encimera y campana, nicho para refrigerador o lavadora o secadora.
3 dormitorios grandes con buenos closets y 2 baños completos con ventilación natural, uno de ellos con espacio para lavadora o secadora.
No tiene estacionamiento ni bodega. Gastos comunues de $ 17.000 para aseo y mantención de espacios comunes.
Orientación sur, igualmente recibe sol norte y poniente en diferentes áreas.
Edificio con portero eléctrico, solo 8 departamentos

Caracteristicas del departamento:
Altura de 2,70 mts. de piso a cielo
Piso de parquet restaurado y vitrificado
Porcelanato en cocina y baños
Equipamiento nuevo
Calefont nuevo
Instalaciones de gas, electricidad y de agua, nuevas y en norma
Citófono","$  170.000.000","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","02-07-2020"
"1594173727-910","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaRamón Carnicer Santa IsabelDepartamento - Usado en venta 3  3  110 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/ramon-carnicer-santa-isabel/1291428?o=resultado_lista_seo_info","$  195.000.000","110 m²","110 m²","3","3","Departamento de 110 mtrs NO TIENE ESTACIONAMIENTO NI BODEGA Primer piso, Contactar a Yany Duarte 997756169 yany@vivaqui.com. Metro Parque Bustamante. Living comedor juntos, cocina remodelada, 3 dormitorios 3 baños, Logia.
Gastos Comunes $ 35.000 aprox","$  195.000.000","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","11-05-2020"
"1594173692-898","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaLLewellyn Jones 1567, ProvidenciaDepartamento - Usado en venta 3  3  100 m² 6 m²","https://www.toctoc.com/propiedades/compraparticularsr/departamento/providencia/llewellyn-jones-1567-providencia/1466802?o=resultado_lista_seo_info","$  195.000.000","0 m²","100 m²","3","3","Calle Tranquila, Residencial, Excelente Departamento en quinto piso, living comedor juntos con piso flotante, cocina, logia, pieza y baño de servicio, 2 dormitorios, 2 baños (Principal en suite), 1 estacionamiento, 1 bodega.Gastos Comunes $140.000.- aprox.coordinar Visita 22 206 51 91 - 22 206 51 41

        

        
            
        Distribución:Baños VisitaTerrazaLavadero InteriorServicios:Porton AutomaticoCocina:Cocina AmobladaOtros:Es a la Calle","$  195.000.000","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","27-04-2020"
"1594173699-900","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaFRANCISCO BILBAO CON RICARDO LYONDepartamento - Usado en venta 3  2  104 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/francisco-bilbao-con-ricardo-lyon/1469800?o=resultado_lista_seo_info","UF  6.580","104 m²","100 m²","3","2","3 dormitorios, 2 baños, estacionamiento y bodega.
Uno de los dormitorios usado como servicio.
A dos cuadras de Metro Ines de Suarez, Plaza Pedro de Valdivia y supermercados.
Los mejores colegios de la comuna a pocas cuadras.
104 mt2 totales, 4 mt2 de terraza.
Construido año 1968
Gastos Comunes $95.000
Contribuciones $120.000
En primer piso, muy silencioso.","UF  6.580","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","30-04-2020"
"1594173740-915","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaProvidencia / Carlos AntunezDepartamento - Usado en venta 3  2  114 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/providencia-carlos-antunez/1469694?o=resultado_lista_seo_info","$  120.000.000","114 m²","114 m²","3","2","Amplio departamento años 70, Torres Carlos Antúnez, 100 m2, ubicado en un 6to piso, consta de hall de entrada, 4 dormitorios, 2 baños, living comedor, clóset de pasillos y en dormitorios, cocina independiente, calefont nuevo, piso flexit de la época, buena luz natura.
La mejor ubicación en Providencia, cercano a todo lo necesario, a pasos metro Pedro de Valdivia.
Departamento en regulares condiciones de terminaciones, (para remodelar).
No tiene estacionamiento ni bodega.
El edificio cuenta con conserjería 24 hrs, acceso controlado y cámaras de vigilancia, además de locales comerciales en todo su planta baja. Superficies aproximadas, deben corroborarse.","$  120.000.000","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","10-06-2020"
"1594173720-907","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaParque BustamanteDepartamento - Usado en venta 3  3  110 m²","https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/parque-bustamante/1244590?o=resultado_lista_seo_info","$  198.000.000","110 m²","110 m²","3","3","Departamento de 110 mtrs Primer piso, Contactar a Yany Duarte 997756169 yany@vivaqui.com. Metro Parque Bustamante. Living comedor juntos, cocina remodelada, 3 dormitorios 3 baños, Logia.
NO TIENE ESTACIONAMIENTO NI BODEGA Gastos Comunes $ 35.000 aprox","$  198.000.000","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","11-05-2020"
"1594173717-906","https://www.toctoc.com/Venta/departamento/metropolitana/providencia?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ProvidenciaDepartamento Metro SalvadorDepartamento - Usado en venta 3  2  100 m² 4 m²","https://www.toctoc.com/propiedades/compraparticularsr/departamento/providencia/departamento-metro-salvador/1476601?o=resultado_lista_seo_info","UF  5.900","0 m²","100 m²","3","2","Excelente departamento antiguo, de 100 metros cuadrados con piso de parquet, cielo alto, e inmejorable vista al cerro San Cristobal consta de 3 dormitorios, 2 baños, cocina independiente, terraza incorporada al departamento la cual se puede abrir. Con un alto potencial de remodelación con una baja inversiónSector de alta plusvalía de aproximadamente 7% anual e inmejorable conectividad con salida a pasos de la estación Salvador, cercano a colegios y clínicas en calle salvador y Clínica Santa MaríaCuenta con amplia bodega, posee estacionamiento con opción de compra. La propiedad es de bajas contribuciones e inmersa en un edificio en actual proceso de renovación.Gastos comunes incluye agua fría y caliente, conserjería 24 horas.FP Propiedades","UF  5.900","Departamento en Venta Usado Providencia - Metropolitana Ver ubicación","10-05-2020"
