SrceId,Srce,Region,Province,PropertyType,Link
1,portal inmobiliario,RM,santiago,Aparment,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,santiago,House,https://www.portalinmobiliario.com/venta/casa/santiago-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,nunoa,Aparment,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,nunoa,House,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,providencia,Aparment,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,providencia,House,https://www.portalinmobiliario.com/venta/casa/providencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,vitacura,Aparment,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,vitacura,House,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,huechuraba,Aparment,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,huechuraba,House,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,las condes,Aparment,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,las condes,House,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,estacion central,Aparment,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,estacion central,House,https://www.portalinmobiliario.com/venta/casa/estacion-central-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,independencia,Aparment,https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,independencia,House,https://www.portalinmobiliario.com/venta/casa/independencia-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,lo barnechea,Aparment,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,lo barnechea,House,https://www.portalinmobiliario.com/venta/casa/lo-barnechea-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,la cisterna,Aparment,https://www.portalinmobiliario.com/venta/departamento/la-cisterna-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,la cisterna,House,https://www.portalinmobiliario.com/venta/casa/la-cisterna-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,la florida,Aparment,https://www.portalinmobiliario.com/venta/departamento/la-florida-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,la florida,House,https://www.portalinmobiliario.com/venta/casa/la-florida-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,macul,Aparment,https://www.portalinmobiliario.com/venta/departamento/macul-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,macul,House,https://www.portalinmobiliario.com/venta/casa/macul-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,recoleta,Aparment,https://www.portalinmobiliario.com/venta/departamento/recoleta-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
1,portal inmobiliario,RM,recoleta,House,https://www.portalinmobiliario.com/venta/casa/recoleta-metropolitana/_OrderId_BEGINS*DESC_PriceRange_1000CLF-25000CLF
