Unnamed: 0,PriceUnit,Price,item,link,fld0,fld1,fld2,fld3,fld4,fld5,Description,PropertyState,PublishedDate,Title,Section,Models
4997,UF,5.500,UF 5.500,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5629263-del-manantial-0-uda#position=28&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
220 m²","Superficie útil
110 m²","Dormitorios
4","Baños
2","Estacionamientos
2",,"Descripción
Amplia Casa
vendo
Disponible

Entrada de autos
casa de 2 pisos
Solida / construcción de concreto completa

Hall de entrada, Living Comedor. Salidas a terraza Techada y cerrada a Jardín formado
Todo en Buen estado de conservación
Cocina completa equipada, comedor de diario, Logia
En segundo Piso 3 dormitorios y 1 baños, y Sala de Estar

Disponible!!

Contacto para Visitas y mas Detalles!!",...,25-05-2020,"Del Manantial 0, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
4998,UF,7.000,UF 7.000,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5629203-del-molino-7000-uda#position=29&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
240 m²","Superficie útil
140 m²","Dormitorios
5","Baños
4","Estacionamientos
2",,"Descripción
Amplia Casa en Condominio
vendo
Disponible

Condominio Cerrada con plazas
Entrada de autos
casa de 3 pisos
Solida / construcción de concreto completa

Hall de entrada, Living Comedor separado. Salidas a Jardín formado Con piscina / Terraza con techo Madera
Todo en Buen estado de conservación
Cocina completa equipada, comedor de diario, Logia, Baño de Visitas
En segundo Piso 3 dormitorios y 2 baños, principal en suite con Wolking Closets
Tercer Piso 2 dormitorios y sala de estar con 2 baño
Gasto Comunes $40.000 promedio
Disponible!!

Contacto para Visitas y mas Detalles!!



Características propiedad
antejardín, comedor de diario, despensa, lavadero exterior, piscina, quincho

Características comunidad
accesos controlados, áreas verdes, estacionamiento de visitas, juegos infantiles",...,25-05-2020,"Del Molino 7000, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
4999,UF,17.900,UF 17.900,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5628199-huechuraba-umayor-uda#position=30&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
2001 m²","Superficie útil
360 m²","Dormitorios
6","Baños
5",,,"Descripción
Moderna casa de tres pisos con una superficie total de 360 m2, con estructura principal de hormigón armado y estilo mediterranea. Se emplaza en un terreno de 2002 m2 en el sector “El Almendral”, ubicado en pie de cerro en la Comuna de Huechuraba por camino la Pirámide.

Cuenta con 4 domitorios, 2 en suite, 4 baños, escritorio, salas de estar, servicios completos, gran cocina full equipada concepto abierto, comedor y living separados, terrazas, quincho, terraza en azotea con jacuzzi, servicios completos, sala de lavado, jardín con riego automático, piscina y múltiples espacios de estacionamientos.

La casa cuenta con ventanas termopanel, calefacción central con radiadores, piso de piedra pizarra, maderas y porcelanato, finas terminaciones en baños y cocina y sistema integral de seguridad.

La propiedad asocia derechos de aprovechamiento de aguas para riego, en 0,125 acciones, de la Asociacio´n de canalistas, Canal Conchali´ unificado.

OPORTUNIDAD: El valor de tasación es de más de UF21.000

No dudes en visitarla. Contáctanos.",...,25-05-2020,"Huechuraba / U.mayor, Bosques De La Pirámide, Huechuraba","Volver al listado
...
...
...
...
Huechuraba
Bosques de la Pirámide
Compartir
Imprimir PDF",
5000,UF,11.400,UF 11.400,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5623609-pedro-fontovapedro-fontova-uda#position=31&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
430 m²","Superficie útil
180 m²","Dormitorios
4","Baños
4",,,"Descripción
PROCASA Jorge Pablo Caro: VENDE Acogedora Casa de Dos Pisos con Estacionamiento para 2 autos y Subterraneo, con 4 dormitorios y 4 baños más 1 D+B de servicio. 1 Piso : Amplio hall doble altura, baño de visitas, sala de negocios pequeña, dormitorio principal con baño en suite, amplio living comedor con puertas francesas, Cocina Integrada , Muebles de Granito, isla , y Family Room. Alacena y dormitorio con baño de servicio, Lavadero , Logia , Patio trasero. 2 Piso: 3 amplios dormitorios , baño, gran sala de estar. habilitacion para 2 baños. Subterraneo: Gran sala de estar con bodega. Mansarda: habilitada como bodega . Piscina con bomba de calor Grandes arboles Quincho con barra y Parrilla remodelado Persianas Eléctricas en SANTIAGO comuna Huechuraba en Seguro Condominio ubicado a minutos de Autopista Vespucio Norte, muy cercano a Supermercados Tottus, Líder, Unimarc y Santa Isabel, Restaurantes, Pizzerias, SushI, Bencineras, Farmacias Ahumada, Parapente Center, Colegios y Jardines Y Bike Park. A 5 minutos del Mall Plaza Norte (Sodimac, Cine Hoyts, Karting race, Paintball, Jumping Park, Integramedica, Centros deportivos, etc).",...,21-05-2020,"Pedro Fontova / Pedro Fontova, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
5001,UF,8.800,UF 8.800,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5520540-condominio-la-capilla-uda#position=32&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
400 m²","Superficie útil
152 m²","Dormitorios
4","Baños
4","Gastos comunes
65000 CLP",,"Descripción
DISPONIBILIDAD INMEDIATA
Cocina amoblada con comedor de diario y linda vista a la piscina
Amplio hall de entrada
Living y Comedor con amplios ventanales, que dan paso a la Terraza Techada y jardín con piscina.
4 dormitorios mas servicios completos.
Estacionamiento para 2 autos

Condominio cerrado con seguridad 24/7


Características propiedad
antejardín, comedor de diario, despensa, lavadero interior, living comedor separado, pieza de servicio, piscina, riego automático, terraza con techo, cocina amoblada, hall

Características comunidad
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, juegos infantiles

Gastos
Gastos comunes: $ 65.000",...,21-05-2020,"Condominio La Capilla, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
5002,UF,8.498,UF 8.498,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5109303-condominio-el-carmen-uda#position=33&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
400 m²","Superficie útil
140 m²","Dormitorios
4","Baños
4",,,"Descripción
4 dormitorios
4 baños

Cocina independiente amoblada, equipada con horno, cocina y campana.
Cuarto de servicio con baño
Living y comedor con amplios ventanales, dando paso al jardín y piscina.
Dormitorio principal en suite.
Sala de estar / oficina
Amplio antejardin
Condominio muy bien ubicado, con accesos controlados, cercano a colegios, supermercados ( lider express) y salidas a avenidas principales

Características propiedad
alarma, antejardín, despensa, escritorio, lavadero interior, living comedor separado, mansarda, pieza de servicio, piscina, riego automático, sala de estar, terraza con techo, cocina amoblada, cocina equipada, hall

Características comunidad
accesos controlados, áreas verdes, citófono, estacionamiento de visitas, juegos infantiles",...,21-05-2020,"Condominio El Carmen, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
5003,UF,6.000,UF 6.000,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5369054-pedro-fontova-alberto-undurraga-uda#position=34&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
300 m²","Superficie útil
120 m²","Dormitorios
3","Baños
3",,,"Descripción
Linda casa dentro de condominio
Paralelo a Avenida Pedro Fontova
Excelente Conectividad, sector consolidado, cercano a Colegios, Supermercados, a 5 minutos de Mall Plaza Norte.

Casa de dos pisos
3 dormitorios
3 baños
Pieza de servicio
120 mts2 construidos
300 mts2 de terreno

Características propiedad
antejardín, comedor de diario, lavadero interior, living comedor separado, pieza de servicio, terraza con techo, cocina amoblada

Características comunidad
accesos controlados, citófono",...,21-05-2020,"Pedro Fontova / Alberto Undurraga, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
5004,UF,8.850,UF 8.850,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5623123-amplia-casa-con-gran-terreno-en-condominio-8850-uf-uda#position=35&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
350 m²","Superficie útil
150 m²","Dormitorios
6","Baños
4","Estacionamientos
2","Gastos comunes
45000 CLP","Descripción
Amplia casa con gran terreno, recién remodelada, emplazada en uno de los Condominios mas seguros del sector.
Cercana a áreas verdes y juegos infantiles.
Convenio con Cías de Gas y Electricidad con tarifas reducida y diferenciada respectivamente.
Dormitorio principal en piso 1, calefacción por caldera, posibilidad de ampliación en piso 2.

Terminaciones
Piso baños: cerámica
Piso dormitorios: piso flotante
Techos: teja

Suministros
Agua caliente: calefón
Calefacción: caldera

Características propiedad
alarma, antejardín, comedor de diario, escritorio, lavadero interior, living comedor separado, patio de servicio, pieza de planchado, pieza de servicio, piscina, riego automático, terraza con techo, cocina amoblada, cocina equipada, hall

Características comunidad
accesos controlados, áreas verdes, circuito cerrado de tv, estacionamiento de visitas, juegos infantiles

Gastos
Contribuciones: $ 90.000
Gastos comunes: $ 45.000",...,20-05-2020,"Amplia Casa Con Gran Terreno, En Condominio!! 8.850 Uf, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
5005,UF,7.700,UF 7.700,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5623027-pedro-fontova-7050-uda#position=36&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
250 m²","Superficie útil
140 m²","Dormitorios
5","Baños
3","Estacionamientos
2",,"Descripción
Preciosa y amplia casa en seguro condominio en Pedro Fontova.
La casa cuenta con:
Estacionamiento techado para 2 autos, gran Bodega (cabe un auto en su interior), hall de entrada, cocina amoblada y equipada con horno, cocina encimera, campana y comedor de diario, dormitorio de servicio con baño completo, living comedor, amplio dormitorios principal en suite con walking closet, bodega bajo escalera, logia amplia, Segundo piso, 3 amplios dormitorios, un baño completo, sala de estar amplia, calefacción central.
Jardin formado con riego automático, piscina, terraza techada y con ventanales, los que se pueden sacar en verano, Quincho, horno, bar.

**METRAJES APROXIMADOS DADOS POR EL DUEÑO**
**VEALA EXCLUVAMENTE CON OL PROPIEDADES**",...,20-05-2020,"Pedro Fontova 7050, Pedro Fontova, Huechuraba","Volver al listado
...
...
...
RM (Metropolitana)
Huechuraba
Pedro Fontova
Compartir
Imprimir PDF",
5006,UF,19.000,UF 19.000,https://www.portalinmobiliario.com/MLC-528598635-casa-en-venta-en-huechuraba-_JM#position=37&type=item&tracking_id=c352d244-1afb-459e-b355-153bec4f30e2,"Superficie total
2600 m²","Superficie útil
200 m²",,,,,"Descripción de la publicación
El vendedor no incluyó una descripción del inmueble",...,20-05-2020,"Camino Antiguo La Piramide, La Pincoya - El Barrero, Huechuraba","Volver al listado
...
...
...
...
Huechuraba
La Pincoya - El Barrero
Compartir
Imprimir PDF",
