,PriceUnit,Price,item,link
1,UF,23.500,UF 23.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5763359-los-andea-9666-uda#position=2&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
2,UF,11.900,UF 11.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5763167-sector-las-tranqueras-av-vitacura-uda#position=3&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
3,UF,19.800,UF 19.800,https://www.portalinmobiliario.com/MLC-540431268-general-eugenio-garzon-vitacura-chile-_JM#position=4&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
4,UF,11.500,UF 11.500,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5762410-las-hualtatas-las-tranqueras-uda#position=5&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
5,UF,25.000,UF 25.000,https://www.portalinmobiliario.com/MLC-540424163-casa-en-venta-de-4-dorm-en-vitacura-_JM#position=6&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
6,UF,9.900,UF 9.900,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5762236-apolo-cinco-uda#position=7&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
7,$,370.000.000,$ 370.000.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5762084-montana-kentucky-uda#position=8&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
8,UF,15.950,UF 15.950,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5762040-la-llaveria-escriba-c_263795-uda#position=9&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
9,UF,21.000,UF 21.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5762027-las-fresas-5131-uda#position=10&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
10,UF,14.500,UF 14.500,https://www.portalinmobiliario.com/MLC-540302337-patio-el-manio-remodelada-espoz-_JM#position=11&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
11,UF,23.800,UF 23.800,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5761830-sector-manuela-canas-uda#position=12&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
12,UF,19.000,UF 19.000,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5666765-lindisima-casa-en-condominio-ideal-familias-con-ninos-luis-pasteur-colegio-bradford-uda#position=13&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
13,UF,24.000,UF 24.000,https://www.portalinmobiliario.com/MLC-540279443-santa-teresa-_JM#position=14&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
14,UF,17.900,UF 17.900,https://www.portalinmobiliario.com/MLC-540273104-joaquin-cerda-_JM#position=15&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
15,UF,14.300,UF 14.300,https://www.portalinmobiliario.com/venta/casa/vitacura-metropolitana/5761633-la-llaveria-vitacura-uda#position=16&type=item&tracking_id=24df94fd-4315-4fd7-9dba-d8523d10d4a9
