web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,PublishedDate,Parking,Description
"1594179577-1494","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.792,10
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/ramon-carnicer-santa-isabel/3508103","Providencia, Ramón Carnicer Santa Isabel","110 m²","195.000.000 CLP","3","3","28/06/2020","No","Departamento de 110 mtrs NO TIENE ESTACIONAMIENTO NI BODEGA Primer piso, Contactar a Yany Duarte 997756169 yany@vivaqui.com. Metro Parque Bustamante. Living comedor juntos, cocina remodelada, 3 dormitorios 3 baños, Logia.

Gastos Comunes $ 35.000 aprox"
"1594179570-1491","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","5.921,32
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/metro-santa-isabel-vicuna-mackenna/3922210","Providencia, Metro Santa Isabel - Vicuña Mackenna","103 m²","170.000.000 CLP","3","2","02/07/2020","No","Departamento venta Providencia remodelado en 2 piso, en edificio de 4 pisos de los años 40, espacios generosos, buena conectividad, movilización, cercano a Metro Santa Isabel y próximo a Parque Bustamante. Coordinar visitas con Marisol +569 94892762 marisol@catabrochet.cl

Amplios y cómodos recibos de concepto abierto con una cocina exquisita con estupenda península de madera, muy equipada, microondas con gril, lavaplatos con secador, encimera y campana, nicho para refrigerador o lavadora o secadora.

3 dormitorios grandes con buenos closets y 2 baños completos con ventilación natural, uno de ellos con espacio para lavadora o secadora.

No tiene estacionamiento ni bodega. Gastos comunues de $ 17.000 para aseo y mantención de espacios comunes.

Orientación sur, igualmente recibe sol norte y poniente en diferentes áreas.

Edificio con portero eléctrico, solo 8 departamentos



Caracteristicas del departamento:

Altura de 2,70 mts. de piso a cielo

Piso de parquet restaurado y vitrificado

Porcelanato en cocina y baños

Equipamiento nuevo

Calefont nuevo

Instalaciones de gas, electricidad y de agua, nuevas y en norma

Citófono"
"1594179590-1499","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.975,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/providencia-metro-los-leones/2342527","6.975,00 UF","135 m²","135 m²","4","3","31/05/2020","1","Excelente ubicación estrategica en Providencia, cercano a metro Los Leones, bancos, colegios, centros comerciales, restaurant, A pasos de Mall Panoramico, con excelente conectividad a autopistas.

Hermoso departamento clásico, muy silencioso e iluminado, vista norte, poniente y sur, la propiedad cuenta con 135 metros cuadrados totales, ubicada en un 4to piso, amplios espacios, con cocina amplia amoblada y equipada con encimera y horno empotrado, cubierta granito, logia amplia, Cuenta con pasillo de distribución en donde se encuentran 3 amplios dormitorios, todos con closet y 2 baños con tina de buen tamaño, además de dormitorio y baño de servicio. Toda la propiedad cuenta con parquet vitrificado, ceramico en baños y cocina. 
Cuenta con estacionamiento en superficie. Edificio sin ascensor, solo 2 departamentos por piso.

Bajos gastos comunes $100.000,incluye agua fría
VALOR UF. 6.975

No dude en contactarnos para agendar su visita, excelente propiedad.
ESCRIBANOS! Vende ACCIONA PROPIEDADES"
"1594179575-1493","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.269,63
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/pedro-de-valdiviacarlos-antunez/3910503","Providencia, Pedro de Valdivia/Carlos Antúnez","140 m²","180.000.000 CLP","3","3","23/06/2020","No",".:PROCASA JORGE PABLO CARO PROPIEDADES:. Vende amplio departamento. Hermoso edificio de estilo arquitectónico moderno. Tercer piso con ascensor. Amplios ambientes distribuidos en 124 M2 interiores más una gran terraza de 16 M2 al lado del living comedor y de 3 amplios dormitorios, 2 baños, gran cocina con loggia y dormitorio y baño de servicios. Vista a grandes árboles hacia el poniente. Piso de parqué en todo el departamento en EXCELENTE ESTADO. Ubicado a pocas cuadras de Providencia, acceso a bancos, universidades, centros médicos, colegios, servicios y comercio en general. Excelente acceso a locomoción colectiva. Líneas 1 y 6 del Metro Estaciones Pedro de Valdivia e Inés de Suárez."
"1594179597-1501","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","2","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/1?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","5.921,32
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/metro-santa-isabel/3922232","Providencia, Metro Santa Isabel","100 m²","170.000.000 CLP","3","2","02/07/2020","No","Departamento en venta Providencia, clásico, exquisito en 2 piso, luminoso, remodelado, muy amplio, estupenda conectividad, cercano a Metro Santa Isabel y Parque Bustamente. Coordinar visitas con Marisol +569 94892762 marisol@catabrochet.cl

Hall de entrada, living y comedor de gran espacio, rica cocina integrada, equipada con campana, encimera a gas, horno, repisas y península de madera, 3 dormitorios, incluido dormitorio de servicio con baño en suite, el dormitorio principal es de gran tamaño y tiene una acogedora terraza hacia patio interior. Uno de los baños tiene espacio para lavadora.

No tiene estacionamiento ni bodega, solo 3 departamento en el edificio.



Características del departamento:

Piso de parquet vitrificado 

Piso de porcelanato en cocina y baños

Baños con ventilación natural

No paga gastos comunes"
"1594179580-1495","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.900,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/chile-espana-av-holanda/3693727","Providencia, Chile España / Av. Holanda","114 m²","6.900,00 UF","3","3","03/07/2020","No","Amplio departamento remodelado de 104/10 mts. Orientación oriente, a pocas cuadras de metro Chile-España (L3). Ubicado en tranquilo sector residencial, cerca del Campus Oriente U. Católica, supermercado Unimarc, a 15 minutos caminando de Plaza Ñuñoa, colegios, bancos y variedad de comercio.



Coordinar visitas con Mailen Carmona 569 6475 2020 mailen@catabrochet.cl



3 dormitorios y 3 baños (principal en suite) mas pieza de servicio, piso vinilico, calefacción por losa radiante. Cocina ampliada equipada con campana, encimera a gas de 4 platos y horno, conexión a lavadora. Living comedor con salida a cómoda terraza.



2 estacionamientos subterráneos

1 bodega 

Gastos comunes $ 180.000 



Edificio del año 2006 de solo 8 pisos. Cuenta con seguridad las 24 hrs con accesos controlados, piscina, sala multiusos, gimnasio, bicicletero."
"1594179585-1497","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.896,59
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/parque-bustamante/3504239","Providencia, Parque Bustamante","110 m²","198.000.000 CLP","3","3","28/06/2020","No","Departamento de 110 mtrs Primer piso, Contactar a Yany Duarte 997756169 yany@vivaqui.com. Metro Parque Bustamante. Living comedor juntos, cocina remodelada, 3 dormitorios 3 baños, Logia.

NO TIENE ESTACIONAMIENTO NI BODEGA Gastos Comunes $ 35.000 aprox"
"1594179593-1500","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.975,00
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/diego-de-velasquez/3505707","Providencia, Diego de velasquez","135 m²","6.975,00 UF","4","2","28/06/2020","No","ID 28.205 EXCELENTE Departamento sector Providencia / Diego de Velásquez, 4 PISO SIN ASCENSOR. Contactar a PATRICIA LILLO +569 51796821 / 222175555 mail: patricial@vivaqui.com



Distribución: Hall de entrada, amplio living y comedor con salida a terraza. Cocina tradicional equipada con loggia y despensa, pieza de servicio. Cuatro dormitorios, tres de ellos muy amplios.



Todo el Depto. con parquet. Gastos comunes $ 85.000.- incluye agua potable.



Recomiendo visitar."
"1594179587-1498","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.966,26
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/alfredo-lecannelier/3517007","Providencia, Alfredo Lecannelier","120 m²","200.000.000 CLP","3","2","28/06/2020","No","CODIGO 9060

PATRICIA RAMOS

SANTA LUCIA PROPIEDADES VENDE departamento Antiguo, ubicado en providencia a solo pasos del metro Pedro de Valdivia, cercano a comercios, bancos, restaurantes, emplazado en una calle sin salida y una de las esquinas con mayor transito de personas de la comuna.El inmueble esta constituido por tres dormitorios de los cuales dos son amplios y uno con tamaño para cama de plaza y media, cocina amplia y cerrada, living, comedor, piso impecable de parquet, se encuentra ubicado en el primer piso, orientación Nor- Oriente.Es importante que sepas que es un edificio de solo tres pisos constituido por solo dos departamentos por piso.Es un lugar tranquilo con una ubicación inigualable lo que genera a tu favor una alta plusvalía.Una de las características potenciales del inmueble y mas relevantes es su AMPLITUD y es estilo de construcción francés que lo hace EXCLUSIVO en una ubicación en la que podrás disfrutar de una plusvalía asegurada a través del tiempo.Gastos comunes : 98.000 pesos.Edificio del año 1957

CON OPCIÓN A COMPRA

SANTA LUCIA PROPIEDADES+56 9 83702878santaluciapropiedadessa@gmail.com"
"1594179572-1492","https://chilepropiedades.cl/propiedades/venta/departamento/providencia/0?valueUnit=3&mip=4.000&map=7.000&minArea=100&minHabitaciones=3&minBanos=0&adv=true","","","6.095,48
      
       UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/providencia/departamento/bilbaoholanda/3623071","Providencia, Bilbao/Holanda","117 m²","175.000.000 CLP","3","2","28/06/2020","No","Departamento GRANDE, año 1976 con remodelación en cocina ampliada y baños, ventanas todas termopanel, piso parquet, en edificio de 4 pisos, sin ascensor.

Contacto Eugenia Bocchi 973371285 email eugeniab@vivaqui.com

Distribución: Living - comedor amplio, terraza, 3 dormitorios todos buenos espacios, el principal en suite, 2 baños.

Un estacionamiento para auto pequeño.

Orientación: Nor Oriente

Conserjería diurna.

No hay estacionamiento de visitas.

ID28516"
