web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,Bdroom,Bath,Description,WebDesc
"1594177098-1131","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/307983","UF 6.200","123m2","3 Dormitorios","3 Baños","Estupendo departamento 123/127 metros aproximados, living comedor con ampliación de terraza, tres dormitorios, tres baños, principal en suite, piso cerámica córdoba, segundo dormitorio con ampliación de su terraza también, entero en piso flotante vitrificado, todas las ventanas con malla de protección para niños, como nuevo¡¡. , cocina equipada, amoblada, espacio para comedor de diario, un estacionamiento cubierto y bodega, no deje de visitar este lindo departamento, gran espacio, luminosidad y una hermosa vista¡¡…a pasos de locomoción, supermercados, avenida pedro fontova. Agenda tu visita: ventashuechuraba@avsa. Cl","Departamento en Venta Huechuraba, Santiago"
"1594177088-1128","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/436931","UF 4.600","105m2","3 Dormitorios","2 Baños","Departamento casi nuevo en condominio, edificio de cuatro pisos con ascensor, condominio con vigilancia 24 horas y portón eléctrico, piscina con reja, quincho y sala de eventos, jardines con caminerías para pasear y disfrutar del aire libre. Un estacionamiento por departamento y estacionamientos para visitantes 
 el departamento tiene tres dormitorios y dos baños completos, living y comedor separados, cocina cerrada , amoblada con cocina, 4 hornillas y horno eléctrico, campana e instalación para lavadora. Gastos comunes: apróx. 70 mil pesos y contribuciones 92. 000 pesos por período. Asesor : alejandra jofre.","Departamento en Venta Huechuraba, Santiago"
"1594177116-1136","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Pedro Fontova
, Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/354784","UF 5.630","114m2","3 Dormitorios","2 Baños","Excelente departamento con acceso controlado 24 hrs. Cercano av. Pedro fontova. Distribución: living comedor juntos, 3 dormitorios 2 baños principal en suite, cocina amoblada. Terminaciones: piso flotante en living comedor, dormitorios alfombrados, cubierta muebles de cocina postformada, terraza techada. Calefacción por radiadores, caldera individual. Exterior: 2 estacionamientos descubiertos, bodega, @¬el condominio cuenta con lavandería, sala de eventos, piscina. @¬@¬@¬metrajes aproximados, valores sujetos a cambios. @¬. Elizabeth orellana tel.","Departamento en Venta Pedro Fontova
, Huechuraba, Santiago"
"1594177112-1135","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/396716","UF 6.000","130m2","3 Dormitorios","2 Baños","Descripción 
 en huechuraba, al pie de los cerros que dominan el valle, en la parte más alta del mejor sector residencial de la comuna, se ubica altavista huechuraba. A través de las hermosas y añosas alamedas de av. Pedro fontova, se llega al mejor condominio del sector. Su arquitectura moderna ha privilegiado departamentos con la mejor e incomparable vista, convirtiéndolo en un imponente mirador del valle de huechuraba. Ven a disfrutar todo el año, en verano la piscina, quinchos y salón multiuso todo el año. El departamento tiene 4 años 
 la vista es inmejorable se aprecia el valle de santiago de forma despejada 
 habitación principal tiene un walking closet del tamaño de una habitación pequeña y un segundo closet de con buen tamaño 
 pasillos muy amplios y con closet muy amplios 
 dormitorios secundarios separados al principal para mayor privacidad 
 2 estacionamientos 
 1 bodega 
 características: 
 amplio living comedor, pisos flotantes, walking closet, amplia cocina y terraza, sala multiuso, piscina, quinchos, bodegas subterráneas, acceso controlado. Sup. Útil 
  
 sup. Total 
 130 m²el condominio tiene una ubicación privilegiada por la variedad de comercio que se encuentra en el cercano inmediato : 
 estaciones de servicios, supermercados, gimnasios, veterinarias, centros de estéticas, centros de yoga etc 
 a 5 min del mall plaza norte, variedad de centros educacionales :lincoln college, colegio pumahue y institutos nivel superior aiep y duoc. Kp23252  
  publicado a través de kiteprop crm inmobiliario","Departamento en Venta Huechuraba, Santiago"
"1594177084-1127","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/437128","UF 6.700","108m2","3 Dormitorios","3 Baños","Makler gestion inmobiliaria (130. 187) 
  
 espectacular departamento con vista despejada 
  
 distribución: hall de entrada, living comedor juntos con salida a terraza vista sur poniente. 3 dormitorios 2 en suite uno con walk in closet con salida a terraza. Cocina con comedor de diario. Ggcc: $160. 000 
 contribuciones: $130. 000 
  
 contacto: jdominguez@makler. Cl","Departamento en Venta Huechuraba, Santiago"
"1594177122-1138","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/434375","UF 6.144,64","101m2","3 Dormitorios","3 Baños","","Departamento en Venta Huechuraba, Santiago"
"1594177109-1134","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/444864","UF 6.700","130m2","3 Dormitorios","2 Baños","Se vende o arrienda hermoso departamento impecable con espectacular vista y 2 grandes terrazas. El departamento cuenta con 3d y 2b, 1 estacionamiento, 1 bodega. Está en el condominio bosques de la pirámide, un condominio consolidado con piscina, gimnasio, vigilancia 24 horas, salón de eventos, quinchos, gran parque con senderos para trekking.","Departamento en Venta Huechuraba, Santiago"
"1594177095-1130","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/325243","UF 6.350","102m2","3 Dormitorios","3 Baños","Departamento tres dormitorios 
 en un oasis verde en mitad de santiago 
  
  con panorámica vista verde al paperchase 
  en excelente estado 
  tres dormitorios, dos en suite 
  gran suite principal 
  tres baños completos 
  amplia terraza 
  cocina amoblada y equipada, 
  loggia con lavadero. Piso flotante en living comedor, hall distribución y dormitorios 
  incluye: 
  bodega 
  un estacionamie...nto 
  
 equipamiento edificio 
  multi sala, 
  control accesos 24 hrs. Estacionamientos para visitas 
  equipo electrógeno 
  
 el condominio incluye: 
  16 hectáreas con bosques, arroyos, plazoletas, 
  jardines y senderos rústicos algunos iluminados, 
  plazas y quinchos, 
  juegos para niños. Cinco piscinas adultos y niños 
  estacionamientos libres. Seguridad 24 hrs. Orientacion 
  sur poniente norte 
  
 excelente conectividad 
  a 10 min. De vitacura, providencia y metro. A 8 min. Colegio saint george. Cercano a supermercados ,restaurants, farmacias, stripcenters, 
  bancos, ciudad empresarial, universidades 
  jardin infantil y minimarket a pasos del  
 mgjMostrar","Departamento en Venta Huechuraba, Santiago"
"1594177119-1137","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Bosques De La Piramide - Ciudad Empresarial
, Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/311404","UF 6.900","110m2","3 Dormitorios","2 Baños","Impecable departamento con vista despejada en condominio consolidado a minutos de vitacura!! amplio hall de acceso, living comedor juntos con salida a una amplia terraza con vista, 3 dormitorios, amplio dormitorio en suite con estar, 2 baños en suite, bodega y estacionamiento. Edificio con piscina, sala de eventos, jardines, quincho, seguridad 24/7. @¬. Monica urriola tel.","Departamento en Venta Bosques De La Piramide - Ciudad Empresarial
, Huechuraba, Santiago"
"1594177081-1126","https://www.icasas.cl/venta/departamentos/santiago/huechuraba/f_3-dormitorios,4-dormitorios,5-dormitorios,4000-7000-precio,100-m2/o_fecha-actualizacion","Departamento en Venta Huechuraba, Santiago, Metropolitana De Santiago","https://www.icasas.cl/propiedad/302157","UF 6.250","126m2","3 Dormitorios","3 Baños","Id 26524 
  
 excelente departamento en un condominio sin ruidos externos!!!! 
  
 condominio con dos torrres de 7 pisos , dos departamentos por piso, en construcción salida a cuidad empresarial lista fin de semestre 
  
 contactar a cristina alarcón, mail cristina@vivaqui. Com, whatsapp  
  
 hall amplio luminoso con piso de mármol con puerta de doble hoja dividida en 8 ventanitas rectangulares al ingreso del living y com...edor amplios con salida a la terraza , la cual tiene 16 metros cuadrados y esta cerrada con vilalibre plegable o desmontable linda vista de santiago , piso piedra pizarra 
  
 cocina amplia con comedor diario amplia con cubierta granito , piso porcelanato, loggia amplia con malla 
  
 baño visita ciego piso porcelanato 
 dos dormitorios amplios con piso flotante color café aleman 
 baño completo ciego piso porcelanto 
 suite muy amplia con vista, walking closet y baño amplio con ventana 
 1 estacionamiento 
 1 bodega de 3x3 con repisas 
  
 externo 
  
 piscina para niños y adultos 
 sala eventos 
 gimnasio 
 areas verdes 
 baño o camarín sector piscina 
 plaza juegos infantiles 
 6 quinchos cada uno con lavaplatos, parrilla , completos.Mostrar","Departamento en Venta Huechuraba, Santiago"
