web-scraper-order,web-scraper-start-url,item,item-href,Name,Price,MtTot,MtUtil,Bdroom,Bath,Parking,Description,PriceUnit,Province,PropertyType,PropertyState,PublishedDate,pages,pages-href,Province_aux
1594170928-631,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 180.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5600255-luis-alberto-heiremans-rodrigo-de-araya-uda#position=7&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",180.000.000,207 m²,90 m²,3,1,3,"Descripción
			
			
			
	

	

	
	
		Casa de 1 piso en pasaje para remodelar, barrio residencial, ubicada frente a colegio San Agustín, vías de acceso por Duble Almeyda, Irarrazaval, y línea 3 del metro.
Consta de living comedor juntos, 1 baño completo, cocina con amplia loggia techada. 3 dormitorios. 
Construcción en patio trasero de 2 piezas y 1 baño completo. Vista norte.
Antejardín y patio trasero, estacionamiento para 3 autos. 1 Bodega.
Se aceptan ofertas. ¡¡ No dejar de visitar!!
90 m2 const. aprox.- y 207 m2 terreno aprox.-
(Los precios publicados están sujetos a variación. Las superficies mencionadas son aproximadas y referenciales) 


Terminaciones 
Piso baños: cerámica
Piso dormitorios: madera
Techos: loza

Características propiedad 
cocina equipada",$,Ñuñoa,Casas,Propiedades usadas,8/5/2020,,,Ñuñoa
1594170934-634,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 180.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5667794-las-torpederas-ramon-cruz-uda#position=4&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",180.000.000,200 m²,94 m²,3,2,2,"Descripción
			
			
			
	

	

	
	
		Se vende linda casa en Villa Frei, cercana a Metro Los Orientales en Ameríco Vespucio. Excelente conectividad. 
Casa es de 1 piso.
Distribución: 3 dormitorios y 2 baños (principal en suite). Living y comedor juntos, cocina equipada con comedor de diario.
Entrada para 2 autos, antejardín y patio.
(Los precios publicados están sujetos a variación. Las superficies mencionadas son aproximadas y referenciales)

Terminaciones 
Piso baños: cerámica
Piso dormitorios: porcelanato
Techos: pizarreño

Características propiedad 
antejardín, hall

Gastos 
Contribuciones: $ 6.000",$,Ñuñoa,Casas,Propiedades usadas,16-06-2020,,,Ñuñoa
1594170932-633,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.650,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5648967-atencion-inversionistas-se-vende-casa-para-remodelar-con-giro-comercial-uda#position=5&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",6.65,204 m²,100 m²,5,1,2,"Descripción
			
			
			
	

	

	
	
		ATENCIÓN INVERSIONISTAS! 

SE VENDE
Casa con amplio terreno y con ingreso adicional por pasaje cerrado. Excelente ubicación, a pasos del Estadio Nacional. 
Cuenta con giro comercial!
Propiedad sin deuda hipotecaria

Distribución:
Primer Piso
Hall de entrada, living – comedor
Cocina cerrada con salida al patio.
1 dormitorio de gran tamaño.
1 baño
Segundo Piso
4 dormitorios 
1 balcón

Además cuenta con antejardín y patio trasero, lavadero exterior y protecciones en todas las ventanas.
Barrio seguro y tranquilo
Tiene permiso Municipal para establecer distintos tipos de comercio.
Muy buena oportunidad para inversionistas.

Datos Básicos:
Año 1974
5D + 1 B
Contribuciones: $ 50.000.-
PRECIO DE VENTA: $ 190.000.000.-

Interesados contactar a:
Andrea Bareyre 
+569 95398414
andrea@maitenpro.cl 



Terminaciones 
Piso baños: baldosa

Suministros 
Agua caliente: calefón

Características propiedad 
antejardín, lavadero exterior, patio de servicio, reja en ventanas

Características comunidad 
áreas verdes, estacionamiento de visitas

Gastos 
Contribuciones: $ 50.000",UF,Ñuñoa,Casas,Propiedades usadas,5/6/2020,,,Ñuñoa
1594170915-625,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 180.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5658828-luis-alberto-heiremans-nunoa-casa-4849-uda#position=13&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",180.000.000,210 m²,95 m²,4,2,3,"Descripción
			
			
			
	

	

	
	
		Se vende casa en conjunto Micalvi, a 1 cuadra de metro Villa Frei, Supermercados, colegios, servicios, áreas verdes. Lugar tranquilo y seguro.",$,Ñuñoa,Casas,Propiedades usadas,11/6/2020,,,Ñuñoa
1594170926-630,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 170.000.000,https://www.portalinmobiliario.com/MLC-525806473-casa-en-venta-metro-plaza-egana-_JM#position=8&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",170.000.000,110 m²,97 m²,3,3,3,"Descripción
			
			
			
	

	

	
	
		Casa en el mejor sector de Ñuñoa, residencial muy tranquilo , cercana a colegios, muy buena movilización, a 2 cuadras del metro, mall Plaza Egaña.  La casa está en un condominio muy tranquilo, con la mejor distribución. 1 piso. living-comedor con salida a pequeño patio techado, cocina tradicional y baño de visita. 2 piso. 3 dormitorios uno de ellos en suite y otro baño completo. 3 piso gran mansarda luminosa.  No se la pierda.",$,Ñuñoa,Casas,Propiedades usadas,7/5/2020,,,Ñuñoa
1594170917-626,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.650,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5667747-las-palmeras-nunoa-uda#position=12&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",6.65,180 m²,94 m²,4,2,2,"Descripción
			
			
			
	

	

	
	
		Casa solida en pasaje seguro y cerrado, con 3 dormitorios y 1 baño, más una pieza independiente con baño (Cuarta pieza y Segundo baño), estacionamiento al costado de la casa para 2 vehículos y con mucho espacio disponible para remodelar. A 1 cuadra de mall Plaza Ñuñoa y 5 minutos de las líneas 3 y 6 del metro.",UF,Ñuñoa,Casas,Propiedades usadas,16-06-2020,,,Ñuñoa
1594170941-637,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 5.229,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5707150-la-verbena-hamburgo-uda#position=1&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",5.229,130 m²,93 m²,4,2,1,"Descripción
			
			
			
	

	

	
	
		SE vende casa de 2 pisos, ubicada a 3 cuadras del metro Príncipe de Gales ,colegio La Salle y Teresiano De Osso,cercano a plazas, almacenes, y supermercado.
Consta en su primer piso, living comedor, cocina , patio exterior pequeño , 1 pieza pequeña con baño ,antejardín . estacionamiento para 1 vehiculo.
Segundo piso 3 amplios dormitorios con gran baño.
Propiedad del año 1966, NECESITA REMODELACION .",UF,Ñuñoa,Casas,Propiedades usadas,7/7/2020,,,Ñuñoa
1594170939-636,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 6.750,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5692903-linda-casa-para-remodelar-excelente-ubicacion-uda#position=2&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",6.75,143 m²,97 m²,3,2,1,"Descripción
			
			
			
	

	

	
	
		Se vende casa antigua de los años 50, ideal para remodelar, la casa con excelente ubicación, en Irarrazabal a una cuadra del Metro Villa Frei, es de 2 pisos, la primera planta living comedor con chimenea todo piso de parque original, un dormitorio con baño que sería perfecto como escritorio, además la cocina con salida al patio. En la segunda planta están 2 dormitorios donde el principal cuenta con balcón. El sector es seguro, cercano a comercios, metro a una cuadra, parque Ramon Cruz, Mall Plaza Egaña a 10 minutos caminando (850 mtrs). No deje de visitar!!

Terminaciones 
Piso baños: cerámica
Piso dormitorios: parquet

Suministros 
Agua caliente: calefón
Calefacción: chimenea

Gastos 
Gastos comunes: $ 5.000",UF,Ñuñoa,Casas,Propiedades usadas,2/7/2020,,,Ñuñoa
1594170924-629,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,UF 4.850,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5577784-juan-moya-rodrigo-de-araya-uda#position=9&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",4.85,150 m²,95 m²,4,2,1,"Descripción
			
			
			
	

	

	
	
		Excelente casa remodelada hace sólo 5 años. Esta amplia casa cuenta con antejardín, living comedor muy iluminado con grandes ventanas con protecciones. 4 dormitorios de muy buen tamaño, el principal en suite, el resto de los dormitorios caben camas de 1 ½ plaza y dos plazas, baño compartido completo, cocina con muebles impecables, terraza techada y pequeño patio con bodega externa. Espacio para un estacionamiento.
Emplazada en barrio residencial muy tranquilo cercano a supermercados, centros de salud, transporte público, metro Grecia a 07 minutos caminando.


Características propiedad 
antejardín, reja en ventanas, cocina amoblada",UF,Ñuñoa,Casas,...,26-04-2020,,,Ñuñoa
1594170936-635,https://www.portalinmobiliario.com/venta/casa/mas-de-3-dormitorios/nunoa-metropolitana/_OrderId_BEGINS*DESC_PriceRange_4000CLF-7000CLF_PARKING*LOTS_1-*_TOTAL*AREA_100m%C2%B2-*,$ 125.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5667926-hermosa-casa-muy-bien-mantenida-villa-olimpica-amplia-metro-supermercado-tasacion-bancaria-uda#position=3&type=item&tracking_id=473f4d6c-e2d2-4173-89ee-e6579b14165d,"Casas en Venta en Ñuñoa, 3 dormitorios o más",125.000.000,130 m²,80 m²,3,2,3,"Descripción
			
			
			
	

	

	
	
		HERMOSA Y ACOGEDORA CASA, TOTALMENTE REMODELADA. ""DISPONIBILIDAD INMEDIATA"". 
PRIMER PISO: Comodo Living/Comedor, Cocina Amoblada con pequeño comedor- Baño de Visita - Patio Techado
Estacionamiento para 3 Vehiculos.
Segundo Piso: 3 Dormitorios Amplios + Baño Principal.
A Cuadras Estacio de Metro, Supermercado.
CUENTA CON UNA TASACIÓN BANCARIA RECIENTE APROBADA
Visitas Suspendidas en Tiempos de Pandemia
NO SE PAGA COMISION DE CORREDOR
Consultas a : +56977797322
Maria Veronica Garcia A.
MARBELLA PROPIEDADES

Terminaciones 
Piso baños: cerámica
Piso dormitorios: cerámica

Características propiedad 
antejardín, comedor de diario, lavadero exterior, quincho, reja en ventanas, terraza con techo, cocina amoblada",$,Ñuñoa,Casas,Propiedades usadas,16-06-2020,,,Ñuñoa
