web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,Bdroom,Bath,Description,Province,PropertyType,PublishedDate,page,page-href
"1594175362-1047","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 186.000.000 Departamento en Venta en Ñuñoa 3 dormitorios 2 baños / FUENZALIDA PROPIEDADES LA REINA","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR77732750-kL0-FLR1829.html","$186.000.000","M2 construidos: 115","Dormitorios: 3","Baños: 2","Cómodo departamento en buen sector de la comuna de Ñuñoa.  Living comedor juntos con salida a terraza, tres dormitorios uno en suite.  Dos baños, amplios closets.  Piso flotante en living comedor y dormitorios.  Cocina con loggia.  Orientación Sur Oriente.  Piso octavo, en edificio de 10 pisos.  Estacionamiento descubierto y gran bodega de aproximadamente 12 mts2.  Conserjerìa 24 hrs.. Luz María  Pereira Tel. +56993597942","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175387-1053","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.200 Departamento en Venta en Ñuñoa 3 dormitorios 2 baños / Nexxos","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76888194-4L0-102036388.html","6.200 UF","M2 construidos: 9088","Dormitorios: 3","Baños: 2","VENTA DEPARTAMENTO ÑUÑOA, DUBLÉ ALMEYDA Cómodo departamento, estratégicamente ubicado  La propiedad consta de hall de distribución, living comedor extendido a la terraza, cocina equipada, logia, 3 dormitorios. Dormitorio principal en suite con walk in closet. Baño compartido Escritorio Áreas secas, piso flotante. áreas húmedas, piso de porcelanato Calefacción por losa radiante 90.88 mts2 totales Edificio año 2007 Estacionamiento Bodega  Orientación: Oriente  Gastos comunes $ 130.000 incluye agua caliente  El edificio tiene estacionamientos de visitas, sala de eventos, quincho, piscina, lavandería, gimnasio  PRECIO DE VENTA UF 6200","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175397-1056","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.800 Departamento en Venta en Ñuñoa 4 dormitorios 3 baños / Nexxos","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-4-dormitorios-3-banos-codR76888194-4L0-102030835.html","5.800 UF","M2 construidos: 100","Dormitorios: 4","Baños: 3","Aulén Propiedades  Tipología: 4 Dormitorios, 3 Baños Ubicación: José Domingo Cañas / Exequiel Fernandez  Detalles del departamento: 100m2 construidos 10m2 terraza Amplio living comedor y salida a terraza Gran cocina con comedor de diario, campana y logia 4 grandes y cómodas piezas con closets 3 de las piezas en sector oriente del departamento 1 pieza en sector poniente, puede ser servicio o sala de estar (al lado de la cocina)  Orientación Sur-Oriente  Características del Edificio: Edificio en condominio seguro y familiar A pasos del metro Chile-España  ** Sin estacionamiento, ni ascensor **  Gastos Comunes: $90.000 mensual  Contactar a Natalia Dominguez v. 9 9138 7038","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175403-1058","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.700 Departamento en Venta en Ñuñoa 3 dormitorios 2 baños / Berríos Zegers Propiedades","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76063424-7L0-102034930.html","5.700 UF","M2 construidos: 100","Dormitorios: 3","Baños: 2","Excelente y amplio departamento con inmejorable Ubicación. Orientación nor oriente con vista despejada. Consta de hall de entrada, amplio living comedor con salida a terraza de buen tamaño, cocina de buen formato con comedor de diario, logia,3 dormitorios, principal en suite, más otro baño completo. Ventanas termopanel en todo el departamento y malla protección.Estacionamiento y bodega subterráneo, estacionamientos de visita. Conserje 24/7. Piscina y salón de eventos. Excelente conectividad cercano a la plaza Ñuñoa y al metro Chile España.","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175390-1054","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.200 Departamento en Venta en Ñuñoa 3 dormitorios 2 baños / Nexxos","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76888194-4L0-102033238.html","6.200 UF","M2 construidos: 106","Dormitorios: 3","Baños: 2","Se vende amplio departamento en estratégica ubicación, a pasos del metro Ñuñoa, se encuentra en un segundo piso con orientación sur oriente, de superficie total de 106 m2. El inmueble cuenta con tres dormitorios, uno principal con baño en suite; dos de igual tamaño con baño completo compartido, cocina amoblada con logia, living comedor con piso flotante y terrazas. Además, cuenta con calefacción central, un estacionamiento, una bodega y consejería 24/7. El edificio dispone de estacionamientos de visita, piscina, zona de juego para niños, lavandería, gimnasio, sala de eventos y ascensores. +56 9 7217 5679 GASTOS COMUNES $200.000","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175406-1059","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","$ 120.000.000 Departamento en Venta en Ñuñoa 4 dormitorios 2 baños / RK Propiedades","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-4-dormitorios-2-banos-codR76754600-9L0-5612338.html","$120.000.000","M2 construidos: 104","Dormitorios: 4","Baños: 2","SE VENDE Estupendo Departamento Duplex, recién Remodelado, Orientación Oriente Dormitorios.  Excelente ubicación y conectividad a tan sólo pasos del metro ñuble, frente a supermercado, y comercio en general  Distribución: 1 Nivel. Living Comedor con salida a terraza, cocina americana, 1 dormitorio, 1 baño 2 Nivel: 3 dormitorios, 1 baño Estacionamiento de uso y goce  GGCC $25.000 app incluye agua   Terminaciones  Piso baños: cerámica Piso dormitorios: cerámica  Características propiedad  reja en ventanas  Gastos  Gastos comunes: $ 25.000  Estacionamientos y bodegas   Estacionamientos: 1","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175340-1041","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.600 100 mts., 3 dormitorios principal suite, baño visita, luminoso, remodelado, cocina con granito, living comedor amplio, loggia, pisos porcelanato, 2 estacionamientos, Irar...","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-cod6715538.html","6.600 UF","null","Dormitorios: 3","M2 construidos: 100","UF 6.600 100 mts., 3 dormitorios principal suite, baño visita, luminoso, remodelado, cocina con granito, living comedor amplio, loggia, pisos porcelanato, 2 estacionamientos, Irarrázaval 5091 Metro Plaza Egaña. 997396846.","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-03","",""
"1594175384-1052","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.250 Departamento en Venta en Ñuñoa 3 dormitorios 2 baños / Procasa La Gloria","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76269273-2L0-40528.html","6.250 UF","M2 construidos: 100","Dormitorios: 3","Baños: 2","CÓDIGO INTERNO CORREDOR : 40528     Departamento de 3 dormitorios y 2 baños. Amplio recibo, closet de despensa, closet ropa blanca. Cocina independiente con loggia. Living comedor juntos con salida a terraza con linda vista. Dormitorio principal en suite, baño con luz natural, home office. Segundo y tercer dormitorio prácticamente de igual tamaño con capacidad para cama de 2 plazas.    Incluye estacionamiento subterráneo y bodega.    Gasto común: $145.000 // Contribuciones: $ 100.000 (trimestral)  Edificio cuenta con estacionamiento para visitas, quincho, sala multiuso, piscina.    En excelente ubicación a pasos de Plaza Ñuñoa, cercano a estación de Metro Chile España, locomoción colectiva por Irarrazaval, cercano a todo tipo de comercio y entretención: Bares, restaurantes, centros comerciales, tiendas de ropa, cafeterías, supermercados, farmacias, etc.","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175359-1046","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 6.600 Departamento en Venta en Ñuñoa 3 dormitorios 2 baños / Proa Gestión Inmobiliaria","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR79797170-7L0-927654.html","6.600 UF","Estacionamientos: 2","Dormitorios: 3","Baños: 2","Maravilloso departamento, amplio muy bien distribuido, buen hall de estrada, estupendo living comedor con salida a una agradable terraza. amplia cocina amoblada y equipada con horno, campana y encimera
estupenda loggia.
3 dormitorios, el Principal en suite de muy buen tamaño buen baño con ventana y gran waking closets. con salida a cómoda terraza con preciosa vista al San Cristobal,
los otros dos dormitorios son muy amplios y comparten un baño.
amplia logia con excelente ventilación.
el departamento cuenta con 2 estacionamientos y bodega
el edificio cuenta con gimnasio, áreas verdes y piscina
estacionamientos de visita y conserjeria las 24 horas
hay que verlo!","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
"1594175400-1057","https://www.propiedades.emol.com/propiedades/buscar?o=Venta&tp=Departamento&c=Ñuñoa&pd=114758880&ph=200828040&m=pesos&d=3&mc=100","UF 5.750 Departamento en Venta en Ñuñoa 3 dormitorios 2 baños / Ihouse SPA","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76430403-9L0-5645132.html","5.750 UF","M2 construidos: 100","Dormitorios: 3","Baños: 2","Visitas Andrés Balmaceda +56979200050 / andres.balmaceda@ihouse.cl www.ihouse.cl/ventas  Disponible inmediato.  Excelente departamento a pasos Avenida Irarrázaval. Edificio con completo equipamiento, sala múltiple, piscina, gimnasio, lavandería etc. . Muy buen estado general. Departamento actualmente arrendado. Luminoso, 3 dormitorios mas pequeño estar, 2 baños, estacionamiento y bodega. Muy cercano a estación de Metro Orientación Nor Oriente  Terminaciones  Piso baños: cerámica Piso dormitorios: piso termolaminado  Suministros  Agua caliente: central agua caliente  Características propiedad  hall  Características comunidad  accesos controlados, áreas verdes, citófono, estacionamiento de visitas, gimnasio, piscina, portón eléctrico, quincho, sala de juegos  Gastos  Gastos comunes: $ 170.000  Estacionamientos y bodegas   Estacionamientos: 1 Bodegas: 1","Ñuñoa","Departamento","Fecha publicación:  
														2020-07-07","",""
