web-scraper-order,web-scraper-start-url,item,item-href,FullPrice,MtTot,MtUtil,Bdroom,Bath,Description,PriceUnit,WebDesc,PublishedDate
"1594173621-882","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaPASAJE LAS BRUMASCasa - Usado en venta 5  1  100 m² 220 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/pasaje-las-brumas/1441154?o=resultado_lista_seo_info","UF  6.838","0 m²","100 m²","5","1","Casa en Villa Frei 100 m2 construidos y 220 m2 de terreno, 5 dormitorios, y logia, piso de cerámica estacionamiento para 3 0 4  autos, amplio living comedor y dormitorios, piso de cerámica en toda la casa.Todos los espacios de esta propiedad son amplios, cómodos y funcionales lo cual la hace muy acogedora. Esta casa tiene una excelente conectividad, cercana al metro Grecia y metro Los Orientales, entre  Américo Vespucio y  Av  Grecia, rodeada de colegios, supermercados, bancos,  centros comerciales y con todos los servicios esenciales.Dentro de la comuna son terrenos con la mayor plusvalía, ideal para inversionistas, para negocios y para familias.bien situado en una zona bien comunicada, muy cerca de la parada de metro, la parada de locomoción. Para mayor comodidad, la vivienda se encuentra muy cerca de centro hospitalario, centros educativos, zona comercial, supermercados, bancos y con todos los servicios esenciales.","UF  6.838","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","11-03-2020"
"1594173651-893","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaCasa en Venta 3 Dormitorios,Villa Los Jardines ,Sector Ramón Cruz, Ñuñoa.Casa - Usado en venta 3  1  100 m² 170 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/casa-en-venta-3-dormitorios-villa-los-jardines-sector-ramon-cruz-nunoa/1507450?o=resultado_lista_seo_info","$  120.000.000","100 m²","0 m²","3","1","FRAGUI Propiedades VENDE :

Casa de 1 Piso.
Living Comedor Juntos muy Iluminado con Piso Cerámico .
Amplia Cocina
3 Dormitorios con Piso Cerámico.
Baño Completo en Pasillo.
Antejardin
Patio trasero .
Entrada de Vehiculo .
Cercano a Locomoción , Áreas Verdes, Colegios ,Consultorio ,Supermercados .
Disponibilidad Inmediata !!
Precio Conversable --
Consultas al +56974093147 , +56999933665 y Via Whatsapp","$  120.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","30-06-2020"
"1594173610-878","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaCasa en ÑuñoaCasa - Usado en venta 4  2  102 m² 144 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/casa-en-nunoa/1312362?o=resultado_lista_seo_info","$  200.000.000","102 m²","0 m²","4","2","Se vende casa muy acogedora de dos pisos ubicada en la comuna de Ñuñoa, cercano a Providencia y a pasos de dos estaciones de metro de la Línea 4, en el sector de Emilia Téllez con García Moreno. El primer piso contiene cocina, una habitación de servicio con baño, una cocina de mediano tamaño con despensa tipo walking closet, sala de estar y comedor, así como antejardín, estacionamiento para dos vehículos (uno techado), y una bodega. El segundo piso se compone de tres habitaciones, cada una con un amplio closet, así como baño completo.

Es una propiedad que se encuentra actualmente habitada por lo que no se requiere adecuaciones para que sea utilizada, sin desmedro que permite realizar variadas remodelaciones a gusto del comprador.

Se encuentra ubicada a un gran número de servicios y parques, en un barrio tranquilo y muy seguro.","$  200.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","07-09-2019"
"1594173638-888","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaSimon Bolivar / HolandaCasa - Usado en venta 4  3  110 m² 150 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/simon-bolivar-holanda/1459197?o=resultado_lista_seo_info","$  180.000.000","0 m²","110 m²","4","3","Acogedora casa en condominio en sector Plaza Ñuñoa. Buena conectividad, a pasos de centros comerciales

Hall de entrada, living-comedor, baño de visitas. Cocina con comedor de diario. Sevicios.

2ºpiso: Dormitorio principal en suite, un dormitorio y un baño.

3ºpiso: dos dormitorios.

1 Estacionamiento. 

La casa no tiene patio.","$  180.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","05-05-2020"
"1594173604-876","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaCasa Ñuñoa / Metro ÑubleCasa - Usado en venta 4  4  120 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/casa-nunoa-metro-nuble/1171123?o=resultado_lista_seo_info","$  140.000.000","120 m²","0 m²","4","4","Amplia casa de 3 pisos en excelente sector residencial, cercano a Metro Ñuble (Línea 5 y 6), locomoción y colectivos, parques, Supermercados, Feria, Colegios, Farmacias, Strip Center, Restaurantes, Home Center, entre otros.
120 m2 construidos 

ANTEJARDIN
Entrada de auto con portón, con árboles frutales (limón y naranjo).

PRIMER PISO
Living Comedor amplio con piso flotante, puerta ventana con salida a antejardín y mueble cerrado bajo escalera con repisas y closet.
Cocina tradicional con piso vinilico, amoblada y equipada con encimera y horno a gas, campana y lavavajillas, con conexión para lavadora y secadora.
1/2 Baño con Sauna.
Patio trasero techado y cerrado con ventanas.

SEGUNDO PISO
1 Suite principal con piso flotante, closet y baño completo con tina de hidromasaje y piso cerámico.
1 Suite con piso flotante, closet y baño completo con piso vinilico.

TERCER PISO
2 Dormitorios con piso flotante, closet y repisas.
1 Baño completo con piso vinilico.

Gas de Cañería Abastible.
1 Calefont.
EXENTA DE CONTRIBUCIONES.

Contacto +569 92364133 / +569 94371835","$  140.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","06-02-2019"
"1594173601-875","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaCasa en Jose Domingo Cañas (Ñuñoa)Casa - Usado en venta 3  2  151 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/casa-en-jose-domingo-canas-nunoa/1105108?o=resultado_lista_seo_info","$  200.000.000","151 m²","0 m²","3","2","SE VENDE Cómoda casa con excelente ubicación, buena locomoción, a pasos del metro Ñuñoa. Cercana a colegios, jardines y un variado y amplio comercio (supermercados, restaurantes, farmacias, outlets, etc) La casa cuenta con 3 dormitorios, todos con closets incorporados, habitación principal con baño suite, living-comedor y una espaciosa cocina. Estacionamiento con capacidad para tres autos grandes
Contactarse con Gabriela García C. al +569 91044982 o al correo Gabrielagpropiedades@gmail.com","$  200.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","24-10-2018"
"1594173615-880","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaEn Venta Excelente Departamento en ÑuñoaCasa - Usado en venta 4  2  110 m² 105 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/en-venta-excelente-departamento-en-nunoa/1403896?o=resultado_lista_seo_info","UF  6.650","110 m²","0 m²","4","2","Hermoso y iluminado Departamento Ubicado en privilegiado sector de Ñuñoa,Cuenta con 4 Dormitorios y 2 Baños,Cocina, Living, Comedor,Sala de Studio, Loggia , Terraza, Construcción Solida y espacios amplios ,1 Estacionamiento,Recientemente Renovado,Edificio en Excelente Estado, Gastos Comunes $25.000, Cercano a Supermercados y Amplia Conectividad, Muy buena Plusvalía, Perfecto para vivir tranquilo y en Familia, Cercano a Todo! Av. Sucre C/ Pedro de Valdivia","UF  6.650","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","20-01-2020"
"1594173625-883","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaVenta Casa en Ñuñoa ,Metro ÑubleCasa - Usado en venta 4  2  110 m² 75 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/venta-casa-en-nunoa-metro-nuble/1447686?o=resultado_lista_seo_info","$  115.000.000","110 m²","0 m²","4","2","Casa en Ñuñoa , 4 dormitorios, 2 baños, 1 Estacionamiento, Antejardín, Patio 
Casa de Dos Pisos, Living-Comedor-Cocina en espacio abierto
Patio interior semi techado.
A una cuadra de Vicuña Mackenna , Metro Ñuble Línes 5 y 6","$  115.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","19-03-2020"
"1594173632-886","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaGrecia/Portal ÑuñoaCasa - Usado en venta 4  3  100 m² 223 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/grecia-portal-nunoa/1465967?o=resultado_lista_seo_info","UF  6.347","0 m²","100 m²","4","3","Vende: Alejandro Muñoz // 9 8667 1144 // alejandro.munoz@prourbe.cl //
Casa esquina en Ñuñoa con excelente conectividad, a pasos del Metro Estadio Nacional, Avenida Pedro De Valdivia, Avenida Grecia y Portal Ñuñoa. La propiedad cuenta con 100 m2 construidos y 223 m2 de terreno.

- 4 dormitorios.
- 3 baños.
- 4 estacionamientos.
- Living y comedor separados.
- Gran patio.","UF  6.347","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","24-04-2020"
"1594173645-891","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaSe vende Casa en Ñuñoa , Metro ÑubleCasa - Usado en venta 4  3  110 m² 125 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/se-vende-casa-en-nunoa-metro-nuble/1504962?o=resultado_lista_seo_info","$  115.000.000","110 m²","110 m²","4","3","Casa de dos pisos, ubicado cerca del Metro Ñuble, Zona Comercial y Habitacional 
4 dormitorios, 2 baños, 1 Estacionamiento.

Antejardín, Patio,Living-Comedor-Cocina en espacio abierto,Terraza techada 

Metro Ñuble , línea 5 y 6 , Colegios, Supermercados, Locomoción Colectiva","$  115.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","25-06-2020"
"1594173618-881","https://www.toctoc.com/Venta/casa/metropolitana/nunoa?dormitoriodesde=3&dormitoriohasta=5&banosdesde=0&banoshasta=5&superficeDesde=100&superficiehasta=&moneda=2&preciodesde=4000&preciohasta=7000&ordenarpor=recientes&cargarmas=1&tipoOperacion=-1","ÑuñoaVendo preciosa casa cerca Metros Plaza Egaña y los Orientales.Casa - Usado en venta 3  4  100 m²","https://www.toctoc.com/propiedades/compracorredorasr/casa/nunoa/vendo-preciosa-casa-cerca-metros-plaza-egana-y-los-orientales/1334268?o=resultado_lista_seo_info","$  163.000.000","0 m²","100 m²","3","4","DescripciónUbicada en tranquila zona residencial, a  minutos caminando de Estaciones Plaza Egaña y los Orientales. Cerca futura estación Ramón Cruz. Comunicabilidad extraordinaria.Distribución:100 metros cuadrados construidos.Ubicada en condomini","$  163.000.000","Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación","03-03-2020"
