,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
count,92,92,0.0,92,0.0,92,92,91,0.0,92,92,90
unique,1,5,,2,,42,4,5,,59,88,85
top,icasas,Huechuraba,,House,,100m2,3 Dormitorios,2 Baños,,UF 6.900,https://www.icasas.cl/propiedad/421443,general rondizzoni / club hipico hermosa casa patrimonial 163/144 m2 barrio residencial patrimonio cultural. @¬1er piso living comedor separados baño de visita cocina cerrada patio techado remodelado lavadero bodega piso cerámica. @¬cuenta con amplio departamento interior independiente living comedor 1 dormitorio baño cocina cerrada. @¬2do piso 2 amplios dormitorios 1 baño. . yohara macarena stewart tel.
freq,92,25,,50,,14,47,36,,7,2,2
mean,,,,,,,,,,,,
std,,,,,,,,,,,,
min,,,,,,,,,,,,
25%,,,,,,,,,,,,
50%,,,,,,,,,,,,
75%,,,,,,,,,,,,
max,,,,,,,,,,,,
