Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"portal inmobiliario","Santiago","26-06-2020","Aparment","Propiedades usadas","150 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/MLC-534098918-amplio-departamento-santa-lucia-_JM#position=5&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción se encuentra en un lugar privilegiado de santiago centro a paso de instituciones financieras clinicas centro comerciales entre otros con inmejorable conectividad cercano a metro línea 1 (santa lucia) línea 3 (parque almagro y matta) y línea 5 (santa isabel) amplio y con excelente distribucion muy bien mantenido y remodelado recientemente piso fotolaminado en todo el departamento baños y pintura living comedor con ventanas en termopanel y salida a la terraza cocina independiente equipada con encimera horno empotrado y campana conexión a gas y salida a logia habitación principal en suite con salida a una estupenda terraza de 72 m2 la cual cuenta con bodega sirve para hacer reuniones asados en parrilla también es funcional como patio para tender ropa con orientación norte oriente y sur por lo que que se considera un plus en la propiedad dos dormitorios adicionales con baño común el edificio cuenta con todas las comodidades agua caliente central vigilancia 24/7 areas comunes como piscina e hidromasaje en azotea quincho con vista panorámica  gimnasio completamente equipado sauna e hidromasaje gameroom con mesa de pool business center home cinema sala de juegos para niño estacionamiento subterráneo para un vehiculo."
"portal inmobiliario","Santiago","5675878","Aparment","Propiedades usadas","114 m²","3","2","1","125.000.000 $","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5675878-avenida-republica-uda#position=6&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción duplex en pleno barrio universitario de república departamento con vista despejada y doble orientación amplias terrazas living comedor con salida a terraza cocina tradicional con logia 1 dormitorio en primer piso 1 baño segundo piso 2 amplios dormitorios con salida a terraza porteria 24/7 bajo gastos comunes de app $60.000 mts aproximados estacionamiento tiene un valor mensual de app $20.000 departamento se vende amoblado o sin amoblar oferte!! +56978812108 terminaciones piso baños: cerámica piso dormitorios: alfombra suministros agua caliente: calefón : 50 características propiedad loggia estacionamientos y bodegas estacionamientos: 1"
"portal inmobiliario","Santiago","07-07-2020","Aparment","Propiedades usadas","222 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/MLC-535767248-venta-departamento-santiago-39-_JM#position=1&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción de la publicación el vendedor no incluyó una descripción del inmueble"
"portal inmobiliario","Santiago","5694744","Aparment","Propiedades usadas","130 m²","3","2","1","175.000.000 $","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5694744-vicuna-mackenna-sta-victoria-uda#position=3&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción propiedades nv vende amplio departamento de 1950 con excelente ubicación cercano a comercio linea de metro y con locomoción a la puerta. tiene 125 metros cuadrados útiles y 130 metros totales 3 dormitorios y dos baños piso parquey y ventanas termo-panel cocina independiente amoblada y equipada comedor de diario. orientación; nor oriente cuarto piso sin ascensor derecho a uso de estacionamiento y de bodega común. gastos comunes $60.000 contribuciones $40.000 valor de venta $175.000.000 ejecutivo de ventas; alejandra torres alejandra@propiedadesnv.cl cel +569 90331946 estacionamientos y bodegas estacionamientos: 1 bodegas: 1"
"portal inmobiliario","Santiago","5527822","Aparment","...","127 m²","3","2","1","6.600 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5527822-santiago-centro-catedral-amplitud-y-calidad-uda#position=20&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción excelente departamento de constructora danacorp excelente nivel de construcción y terminaciones. la arquitectura brinda el máximo aprovechamiento de espacios y excelente distribución. espectacular orientación nor-oriente. recibo con piso en porcelanato. magnífica terraza para living comedor y dormitorio principal. cocina tradicional con piso en porcelanato cubiertas en granito comedor de diario placa encimera eléctrica horno empotrado y campana de 90 cms. con extracción forzada en la techumbre. logia independiente con lavadero. gran dormitorio principal en suite con ventana tipo bow-window walk-in closet y baño con ventilación y luz natural ademas cuenta con acumulador de calor eléctrico. segundo y tercer dormitorio de muy buen tamaño. amplio home office o estar familiar. cuenta con 1 estacionamiento y 1 bodega. edificio con accesos controlados estacionamientos de visitas. inmerso en pleno barrio cívico de la ciudad. a pasos del palacio de la moneda y entidades gubernamentales en general. hitos urbanos y culturales de reconocimiento de la ciudad de santiago. excelente conectividad. núcleo político financiero y cultural de gran atractivo turístico. servicios y comercio. cercano al metro santa ana y autopista central. terminaciones piso baños: porcelanato piso dormitorios: piso flotante suministros agua caliente: central agua caliente características propiedad comedor de diario despensa escritorio hall loggia sala de estar terraza con malla cocina amoblada cocina equipada portón automático características comunidad accesos controlados citófono estacionamiento de visitas portón eléctrico gastos gastos comunes: $ 140.000 estacionamientos y bodegas estacionamientos: 1 bodegas: 1"
"portal inmobiliario","Santiago","23-04-2020","Aparment","Propiedades usadas","102 m²","3","3","2","6.498 UF","https://www.portalinmobiliario.com/MLC-524431690-departamento-en-venta-metro-principe-de-gales-_JM#position=17&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción fpv3207 precioso departamento a pasos del metro príncipe de gales  linda vista a la cordillera excelente conectividad  cercano a centros comerciales bancos colegios. piso 5 orientación oriente -sur distribución : hall de acceso  living comedor juntos con salida a terraza cocina  loggia. 3 dormitorios  2 baños. dormitorio principal en suite  baño con ventilación natural. el dormitorio principal y el segundo dormitorio salen a una terraza. características técnicas y otros: piso flotante ventanas termopanel 1 estacionamiento en superficie 1 bodega infraestructura edificio: piscina juegos infantiles acceso controlado conserje 24 horas"
"portal inmobiliario","Santiago","15-06-2020","Aparment","...","115 m²","3","3","3","6.390 UF","https://www.portalinmobiliario.com/MLC-532283592-departamento-en-venta-metro-santa-ana-_JM#position=8&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción luminoso y amplio departamento - inmejorable sector de santiago centro - cerca metro santa ana - 3 dormitorios (principal en suite con walking closet) - 3 baños - home office - living comedor con salida a cómoda terraza - cocina separada full equipamiento - comedor de diario - logia- estacionamiento - bodega - condominio cerrado - seguridad 24 hrs"
"portal inmobiliario","Santiago","10310","Aparment","Propiedades usadas","140 m²","3","3","2","155.000.000 $","https://www.portalinmobiliario.com/MLC-522359397-propiedad-en-sta-isabelportugal-gran-terraza-y-est-_JM#position=23&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción excelente departamento con gran terraza ubicado en pleno barrio santa isabel a pasos de estación de metro santa isabel. departamento de tres dormitorios dos baños cocina semi americana agradable living comedor y terraza exclusiva de 75 metros cuadra"
"portal inmobiliario","Santiago","5626794","Aparment","Propiedades usadas","148 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5626794-carmen-602-uda#position=12&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción por covid está restringido el acceso al edificio y efectuar mudanzas se volverá a mostrar apenas levanten cuarentena. departamento único en su clase destaca por su gran terraza de 74m2 de uso exclusivo. son 3 dormitorios 2 baños cocina independiente 1 estacionamiento. gc: 100.000 orientación: nororiente edificio con sala de eventos quincho piscina sala de informática sala de niños gimnasio... ubicación cercana a metro línea 1 (santa lucia) línea 3 (parque almagro y matta) y línea 5 (santa isabel) se aceptan ofertas estacionamientos y bodegas estacionamientos: 1"
"portal inmobiliario","Santiago","5545062","Aparment","...","115 m²","3","3","1","6.200 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5545062-santo-domingo-amunategui-uda#position=22&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción cod-int: vd_fr excelente departamento grande y luminoso. hall de entrada living y comedor con terraza baño de visitas. dormitorio principal en suite con closet grande y baño con ventana. sala de estar. dos dormitorios de buen tamaño con closet y baño completococina amplia con comedor  equipada  amoblada  logia y piso flotante en todo el departamento terraza con malla. muy buena conectividad metros santa ana plaza de armas y a minutos de la autopista y todos los servicios.piso 12. características comunidad accesos controlados citófono estacionamiento de visitas gimnasio portón eléctrico sala de eventos sala de juegos gastos contribuciones: $ 100.000 gastos comunes: $ 95.000 características propiedad comedor de diario terraza con malla cocina amoblada cocina equipada portón automático características comunidad accesos controlados citófono estacionamiento de visitas portón eléctrico sala de eventos sala de juegos estacionamientos y bodegas estacionamientos: 1 bodegas: 1"
"portal inmobiliario","Santiago","5615645","Aparment","Propiedades usadas","148 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5615645-carmen-argomedo-uda#position=11&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción por covid está restringido el acceso al edificio y efectuar mudanzas se volverá a mostrar apenas levanten cuarentena. departamento único en su clase destaca por su gran terraza de 74m2 de uso exclusivo. son 3 dormitorios 2 baños cocina independiente 1 estacionamiento. gc: 100.000 edificio con sala de eventos quincho piscina sala de informática sala de niños gimnasio... ubicación cercana a metro línea 1 (santa lucia) línea 3 (parque almagro y matta) y línea 5 (santa isabel) se aceptan ofertas características comunidad accesos controlados áreas verdes circuito cerrado de tv citófono estacionamiento de visitas gimnasio juegos infantiles piscina portón eléctrico quincho sala de eventos sala de juegos sauna gastos gastos comunes: $ 100.000 estacionamientos y bodegas estacionamientos: 1"
"portal inmobiliario","Santiago","5554080","Aparment","...","124.25 m²","3","2","1","6.200 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5554080-catedral-1310-uda#position=21&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción catedral con teatinos excelente ubicación inmobiliaria danacorp departamento de 3 dormitorios hall de entrada cocina independiente con comedor de diario loggia living comedor junto sala de estar baño principal con luz y ventilación natural espectacular hall de acceso de más de 3 mts. de altura y recepción finamente amoblada. gran conserjería para control de acceso con vista hacia la calle. 3 amplios ascensores mitsubishi con sincronización simultánea grupo electrógeno de emergencia para los tres ascensores y algunos espacios comunes 2 salas multiuso y una sala de juegosgimnasio equipado lavandería panorámica en último piso oficina de administración baños para personal de servicio amplios pasillos con luz y ventilación natural circuito cerrado de tv en accesos y ascensores aislación térmica en muros exteriores central de agua caliente con remarcadores individuales. jeannette pino + 56946198454 jpino@servi-propiedades.cl . terminaciones piso baños: cerámica piso dormitorios: alfombra suministros agua caliente: central agua caliente calefacción: otro características propiedad comedor de diario hall loggia sala de estar terraza con malla cocina amoblada cocina equipada portón automático características comunidad accesos controlados circuito cerrado de tv citófono estacionamiento de visitas gimnasio portón eléctrico sala de eventos estacionamientos y bodegas estacionamientos: 1 bodegas: 1"
"portal inmobiliario","Santiago","5692448","Aparment","...","113 m²","3","3","1","6.350 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5692448-santo-domingo-1457-departamento-209-uda#position=24&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción venta directa sin comisión depto. con alarma gran terraza cerrada con acceso desde living y dormitorio principal cocina tradicional amoblada equipada y comedor de diario muebles más mesón adicionales todas las cubiertas de granito logia independiente con lavadero. dormitorio principal en suite con walk-in closet 2 amplios dormitorios con closets con puertas abatibles 2 baños completos y 1 de visitas los 3 baños con cubierta de mármol. living comedor y dormitorios con piso fotolaminado. porcelanato en hall de acceso sala de estar cocina y baño de visitas. puerta para separación de ambientes. orientación nor-oriente con hermosa vista a jardines interiores cercanos. incluye bodega grande y estacionamiento juntos en subterráneo. edificio saneado bajo administración externa."
"portal inmobiliario","Santiago","23-04-2020","Aparment","...","100 m²","3","3","2","4.880 UF","https://www.portalinmobiliario.com/MLC-524430254-departamento-en-venta-plaza-de-armas-_JM#position=18&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción metro bellas artes cerca de la plaza de armas consta de hall de acceso living comedor con lindo piso de parquet 3 amplios dormitorios dos baños mas servicios completos no tiene terraza ni bodega si tiene estacionamiento."
"portal inmobiliario","Santiago","24-04-2020","Aparment","...","100 m²","3","3","2","140.000.000 $","https://www.portalinmobiliario.com/MLC-524505231-departamento-en-venta-plaza-de-armas-_JM#position=14&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción metro bellas artes cerca de la plaza de armas consta de hall de acceso living comedor con lindo piso de parquet 3 amplios dormitorios dos baños mas servicios completos no tiene terraza ni bodega si tiene estacionamiento."
"portal inmobiliario","Santiago","5685766","Aparment","Propiedades usadas","100 m²","3","2","1","4.950 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5685766-universidad-andres-bello-gorbea-uda#position=4&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción estupendo departamento de 100 mts.2 nororiente 1er piso excelente ubicación y conectividad cercano a avenidas principales a pocas cuadras de estación metro unión latinoamericana colegios universidades centros culturales supermercados restaurants y a comercio en general. muy buena distribución amplios espacios luminoso y acogedor. consta de ampla suite baño con luz natural walk.in closet. 2 domitorios más de buenas dimensiones y un 2do baño completo. acogedora cocina equipada con salida a loggia. cómodo living comedor con salida a linda terraza. 1 estacionamiento y 1 .bodega. el edificio cuenta con piscina gimnasio quincho y sala multiuso. estricto control de acceso 24/7 gastos comunes: $80.000.- estacionamientos y bodegas estacionamientos: 1 bodegas: 1"
"portal inmobiliario","Santiago","5632184","Aparment","Propiedades usadas","135 m²","3","2","1","152.000.000 $","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5632184-a-3-cuadras-del-metro-santa-isabel-uda#position=10&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción código interno: stgoc_216 amplio departamento con 3 dormitorios (principal en suite) 2 baños y terraza. •65 m2 útiles / 135 m2 totales. •posee una amplia terraza con salida en el living-comedor y por dormitorio principal. •piso 14. orientación sur-oriente. •cocina americana cubierta de melanina equipada con: encimera a gas horno eléctrico y campana. posee conexión para lavadora. •piso flotante en el living-comedor y dormitorios; cerámica en baños y cocina; baldosa en terraza. •posee estacionamiento. edificio de 24 pisos cuenta con: áreas verdes juegos para niños sala multiuso sala de reuniones gimnasio piscina quincho seguridad 24 horas 4 ascensores lavandería y estacionamiento de visitas. excelente ubicación y conectividad a 3 cuadras del metro santa isabel. todos los servicios cerca: a pasos del transantiago supermercados universidades comercio farmacias colegios bancos gimnasios y todo tipo de servicios. calles cercanas: avenida portugal santa isabel vicuña mackenna. gastos comunes: $115.000. aprox. incluye agua caliente. para más información ver: http://www.corredorpro.cl/listing/amplio-depto-con-3d-2b-y-terraza-a-3-cuadras-del-metro-santa-isabel/ para una mejor atención en su consulta favor indicar código interno de propiedad: stgoc_216  y si desea agendar visita agregar alternativas de días y horarios disponibles. convenios con instituciones financieras para otorgamiento de crédito hipotecario. para mayor información dirigirse a http://www.corredorpro.cl o contáctenos al mail: contacto@corredorpro.cl o al teléfono: 981575750. estacionamientos y bodegas estacionamientos: 1"
"portal inmobiliario","Santiago","08-05-2020","Aparment","Propiedades usadas","131 m²","4","2","1","170.000.000 $","https://www.portalinmobiliario.com/MLC-525871585-departamento-en-vicuna-mackena-metro-santa-isabel-_JM#position=13&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción amplio departamento ubicado a pasos de metro santa isabel orientación nor-oriente cuenta con 3 dormitorios más 1 de servicio 2 baños (1 completo) espacioso living comedor cocina amoblada loggia estacionamiento y bodega. ventanales termo panel. edificio en condominio conserjería 24/7. ideal para familias por tener amplias áreas un ambiente seguro y ubicación estratégica cercano a escuelas supermercados entidades bancarias plazas y áreas de esparcimientos gran conectividad. gastos comunes $ 60.000 aprox."
"portal inmobiliario","Santiago","5641861","Aparment","Propiedades usadas","110 m²","4","2","1","6.700 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5641861-san-diego-516-departamento-1018-uda#position=25&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción 4 dormitorios 1 en suite con walk in closet nuevo 2 baños piso flotante en todas las habitaciones living comedor recepción con armario amplia cocina con gran armario y logia closet para ropa blanca estacionamiento y bodega. departamento familiar en excelentes condiciones muy bien cuidado mallas de seguridad en todas las ventanas edificio con 10 años piscina climatizada en último piso gimnasio sala de lavado quinchos y salas de eventos. frente a estación de metro parque almagro. precio conversable con reales interesados."
"portal inmobiliario","Santiago","5707359","Aparment","Propiedades usadas","100 m²","3","2","1","4.530 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5707359-av-espana-gorbea-uda#position=2&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","descripción cómodo departamento en sector av. españa - gorbea. excelente locomoción a pocas cuadras de estación metro unión latinoamericana. cercano a supermercados comercio restaurantes colegios universidades centros culturales y plazas de juegos. características de la propiedad: * 3 dormitorios principal en suite con baño privado y walkin closet. * 2 baños. * cocina. * loggia. * living comedor. * terraza. * estacionamiento. * bodega. * $80.000 de gastos comunes mas un bajo consumo por agua caliente (calderas nuevas). * 90 m2 de superficie total. * 100 m2 construídos. * primer piso. * orientación norte. * piso dormitorios: piso flotante. * piso baños: cerámica. * arriendo de antena con ingresos que permite bajos gastos comunes. características del edificio: * seguridad 24 horas. * piscina. * gimnasio. * quincho. * sala multiuso. interesados envíen * nombre * celular * rut para coordinar visita por email o si prefiere celular / whatsaap: +569 35103971 terminaciones piso baños: cerámica piso dormitorios: piso flotante suministros agua caliente: caldera características propiedad loggia cocina amoblada portón automático características comunidad accesos controlados gimnasio piscina portón eléctrico quincho sala de eventos gastos gastos comunes: $ 80.000 otros suministros señal satelital estacionamientos y bodegas estacionamientos: 1 bodegas: 1"
