Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"icasas","Santiago","nan","Aparment","usada","120","3","2","0","5850","https://www.icasas.cl/propiedad/428906"
"icasas","Santiago","nan","Aparment","usada","100","3","2","0","5049","https://www.icasas.cl/propiedad/325797"
"icasas","Santiago","nan","Aparment","usada","107","3","3","1","6163","https://www.icasas.cl/propiedad/339402"
"icasas","Santiago","nan","Aparment","usada","100","3","2","0","4875","https://www.icasas.cl/propiedad/314517"
"icasas","Santiago","nan","Aparment","usada","133","5","3","0","6570","https://www.icasas.cl/propiedad/427862"
"icasas","Santiago","nan","Aparment","usada","140","3","2","1","6268","https://www.icasas.cl/propiedad/413567"
"icasas","Santiago","nan","Aparment","usada","104","4","2","1","5495","https://www.icasas.cl/propiedad/338283"
"icasas","Santiago","nan","Aparment","usada","150","3","2","0","6616","https://www.icasas.cl/propiedad/402204"
"icasas","Santiago","nan","Aparment","usada","111","4","3","1","6929","https://www.icasas.cl/propiedad/411851"
"icasas","Santiago","nan","Aparment","usada","124","3","2","0","4352","https://www.icasas.cl/propiedad/429926"
"icasas","Santiago","nan","Aparment","usada","115","3","3","1","6390","https://www.icasas.cl/propiedad/321450"
"icasas","Santiago","nan","House","usada","147","4","2","0","4370","https://www.icasas.cl/propiedad/421443"
"icasas","Santiago","nan","House","usada","110","4","1","0","5919","https://www.icasas.cl/propiedad/156432"
"icasas","Santiago","nan","House","usada","140","4","1","0","5919","https://www.icasas.cl/propiedad/156670"
"icasas","Santiago","nan","House","usada","129","3","1","0","6964","https://www.icasas.cl/propiedad/406693"
"icasas","Santiago","nan","House","usada","161","4","3","0","6233","https://www.icasas.cl/propiedad/411796"
"icasas","Santiago","nan","House","usada","137","5","3","1","6750","https://www.icasas.cl/propiedad/410295"
"icasas","Santiago","nan","House","usada","180","5","2","0","5583","https://www.icasas.cl/propiedad/346762"
"icasas","Santiago","nan","House","usada","100","5","2","0","4819","https://www.icasas.cl/propiedad/406209"
"icasas","Santiago","nan","House","usada","166","5","2","0","6616","https://www.icasas.cl/propiedad/386755"
"icasas","Santiago","nan","House","usada","163","4","2","0","4178","https://www.icasas.cl/propiedad/444032"
"icasas","Santiago","nan","House","usada","140","5","2","0","4422","https://www.icasas.cl/propiedad/437336"
"icasas","Huechuraba","nan","Aparment","nueva","123","3","3","1","6200","https://www.icasas.cl/propiedad/307983"
"icasas","Huechuraba","nan","Aparment","nueva","105","3","2","2","4600","https://www.icasas.cl/propiedad/436931"
"icasas","Huechuraba","nan","Aparment","usada","114","3","2","2","5630","https://www.icasas.cl/propiedad/354784"
"icasas","Huechuraba","nan","Aparment","usada","130","3","2","2","6000","https://www.icasas.cl/propiedad/396716"
"icasas","Huechuraba","nan","Aparment","usada","108","3","3","0","6700","https://www.icasas.cl/propiedad/437128"
"icasas","Huechuraba","nan","Aparment","usada","101","3","3","0","6144","https://www.icasas.cl/propiedad/434375"
"icasas","Huechuraba","nan","Aparment","usada","110","3","2","1","6900","https://www.icasas.cl/propiedad/311404"
"icasas","Huechuraba","nan","Aparment","usada","126","3","3","0","6250","https://www.icasas.cl/propiedad/302157"
"icasas","Huechuraba","nan","Aparment","usada","100","3","2","1","5300","https://www.icasas.cl/propiedad/445273"
"icasas","Huechuraba","nan","Aparment","usada","108","3","2","0","4250","https://www.icasas.cl/propiedad/413747"
"icasas","Huechuraba","nan","House","usada","140","4","4","0","6490","https://www.icasas.cl/propiedad/450013"
"icasas","Huechuraba","nan","House","usada","129","4","4","1","6500","https://www.icasas.cl/propiedad/379447"
"icasas","Huechuraba","nan","House","usada","137","4","3","2","6100","https://www.icasas.cl/propiedad/365146"
"icasas","Huechuraba","nan","House","usada","139","4","3","1","6400","https://www.icasas.cl/propiedad/431892"
"icasas","Huechuraba","nan","House","usada","140","4","3","0","5700","https://www.icasas.cl/propiedad/418881"
"icasas","Huechuraba","nan","House","usada","128","4","3","1","6000","https://www.icasas.cl/propiedad/315099"
"icasas","Huechuraba","nan","House","usada","139","3","3","1","6900","https://www.icasas.cl/propiedad/399616"
"icasas","Huechuraba","nan","House","usada","158","5","4","0","6450","https://www.icasas.cl/propiedad/427590"
"icasas","Huechuraba","nan","House","usada","140","4","3","1","6000","https://www.icasas.cl/propiedad/433421"
"icasas","Huechuraba","nan","House","usada","140","4","4","0","6500","https://www.icasas.cl/propiedad/469505"
"icasas","Huechuraba","nan","House","usada","120","5","3","0","5495","https://www.icasas.cl/propiedad/467807"
"icasas","Huechuraba","nan","House","usada","130","3","3","1","6000","https://www.icasas.cl/propiedad/416682"
"icasas","Huechuraba","nan","House","usada","170","4","4","2","5800","https://www.icasas.cl/propiedad/335756"
"icasas","Huechuraba","nan","House","usada","138","5","3","2","6950","https://www.icasas.cl/propiedad/468911"
"icasas","Huechuraba","nan","House","usada","139","3","3","1","6500","https://www.icasas.cl/propiedad/439458"
"icasas","Nunoa","nan","Aparment","usada","100","4","3","1","5800","https://www.icasas.cl/propiedad/376353"
"icasas","Nunoa","nan","Aparment","usada","110","3","3","2","5885","https://www.icasas.cl/propiedad/405349"
"icasas","Nunoa","nan","Aparment","usada","104","4","3","1","7000","https://www.icasas.cl/propiedad/423741"
"icasas","Nunoa","nan","Aparment","usada","115","3","2","1","6477","https://www.icasas.cl/propiedad/409154"
"icasas","Nunoa","nan","Aparment","usada","126","4","3","1","6300","https://www.icasas.cl/propiedad/329601"
"icasas","Nunoa","nan","Aparment","usada","105","3","2","1","6000","https://www.icasas.cl/propiedad/413252"
"icasas","Nunoa","nan","Aparment","nueva","100","3","2","2","6900","https://www.icasas.cl/propiedad/386124"
"icasas","Nunoa","nan","Aparment","usada","103","4","","1","6300","https://www.icasas.cl/propiedad/467486"
"icasas","Nunoa","nan","Aparment","usada","100","3","2","1","6755","https://www.icasas.cl/propiedad/357388"
"icasas","Nunoa","nan","Aparment","usada","100","3","2","2","6616","https://www.icasas.cl/propiedad/304943"
"icasas","Nunoa","nan","Aparment","usada","","3","2","2","6200","https://www.icasas.cl/propiedad/454891"
"icasas","Nunoa","nan","Aparment","usada","160","3","2","2","6900","https://www.icasas.cl/propiedad/467071"
"icasas","Nunoa","nan","Aparment","usada","130","3","2","2","6253","https://www.icasas.cl/propiedad/413242"
"icasas","Nunoa","nan","Aparment","usada","100","3","2","1","6700","https://www.icasas.cl/propiedad/376438"
"icasas","Nunoa","nan","House","usada","133","3","3","0","4800","https://www.icasas.cl/propiedad/170907"
"icasas","Nunoa","nan","House","usada","100","3","4","0","5676","https://www.icasas.cl/propiedad/456152"
"icasas","Nunoa","nan","House","usada","123","4","1","1","6171","https://www.icasas.cl/propiedad/469071"
"icasas","Nunoa","nan","House","usada","125","4","2","0","4200","https://www.icasas.cl/propiedad/426271"
"icasas","Nunoa","nan","House","usada","100","5","4","1","6500","https://www.icasas.cl/propiedad/441969"
"icasas","Nunoa","nan","House","usada","120","4","2","1","5049","https://www.icasas.cl/propiedad/134580"
"icasas","Nunoa","nan","House","usada","130","3","1","0","5919","https://www.icasas.cl/propiedad/380987"
"icasas","Nunoa","nan","House","usada","200","4","3","1","6581","https://www.icasas.cl/propiedad/352715"
"icasas","Providencia","nan","House","usada","93","3","3","2","5555","https://www.icasas.cl/propiedad/462719"
"icasas","Providencia","nan","House","usada","275","4","2","2","6718","https://www.icasas.cl/propiedad/406159"
"icasas","Providencia","nan","House","usada","161","4","3","0","6233","https://www.icasas.cl/propiedad/411796"
"icasas","Providencia","nan","House","usada","100","3","4","0","5676","https://www.icasas.cl/propiedad/456152"
"icasas","Providencia","nan","House","usada","140","4","3","0","5900","https://www.icasas.cl/propiedad/469440"
"icasas","Providencia","nan","House","usada","100","4","3","0","4178","https://www.icasas.cl/propiedad/413268"
"icasas","Providencia","nan","House","usada","119","3","3","0","4990","https://www.icasas.cl/propiedad/454288"
"icasas","Providencia","nan","House","usada","166","5","2","0","6616","https://www.icasas.cl/propiedad/386755"
"icasas","Providencia","nan","House","usada","147","4","2","0","4370","https://www.icasas.cl/propiedad/421443"
"icasas","Las Condes","nan","Aparment","usada","120","4","3","2","6900","https://www.icasas.cl/propiedad/417286"
"icasas","Las Condes","nan","Aparment","usada","110","3","1","1","6090","https://www.icasas.cl/propiedad/148688"
"icasas","Las Condes","nan","Aparment","usada","100","3","2","2","6100","https://www.icasas.cl/propiedad/385383"
"icasas","Las Condes","nan","Aparment","usada","110","3","3","1","6900","https://www.icasas.cl/propiedad/445211"
"icasas","Las Condes","nan","Aparment","usada","120","4","3","2","6900","https://www.icasas.cl/propiedad/412126"
"icasas","Las Condes","nan","Aparment","usada","103","4","3","1","6500","https://www.icasas.cl/propiedad/441887"
"icasas","Las Condes","nan","Aparment","usada","103","3","2","0","5710","https://www.icasas.cl/propiedad/409936"
"icasas","Las Condes","nan","House","usada","200","3","1","0","5327","https://www.icasas.cl/propiedad/431795"
"icasas","Las Condes","nan","House","usada","192","3","1","1","6094","https://www.icasas.cl/propiedad/372752"
"icasas","Las Condes","nan","House","usada","333","3","1","0","6094","https://www.icasas.cl/propiedad/372751"
"icasas","Las Condes","nan","House","usada","160","3","1","0","6094","https://www.icasas.cl/propiedad/446379"
"icasas","Las Condes","nan","House","usada","112","4","2","2","5571","https://www.icasas.cl/propiedad/381438"
"icasas","Las Condes","nan","House","usada","150","3","1","0","6268","https://www.icasas.cl/propiedad/447655"
"icasas","Las Condes","nan","House","usada","270","3","1","1","6790","https://www.icasas.cl/propiedad/375139"
