Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"portal inmobiliario","Santiago","06/26/2020","Aparment","usada","150","3","2","1","4900","https://www.portalinmobiliario.com/MLC-534098918-amplio-departamento-santa-lucia-_JM#position=5&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","","Aparment","usada","114","3","2","1","4340","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5675878-avenida-republica-uda#position=6&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","07/07/2020","Aparment","usada","222","3","2","1","4900","https://www.portalinmobiliario.com/MLC-535767248-venta-departamento-santiago-39-_JM#position=1&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","","Aparment","usada","130","3","2","1","6076","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5694744-vicuna-mackenna-sta-victoria-uda#position=3&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","","Aparment","usada","127","3","2","1","6600","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5527822-santiago-centro-catedral-amplitud-y-calidad-uda#position=20&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","04/23/2020","Aparment","usada","102","3","3","2","6498","https://www.portalinmobiliario.com/MLC-524431690-departamento-en-venta-metro-principe-de-gales-_JM#position=17&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","06/15/2020","Aparment","usada","115","3","3","3","6390","https://www.portalinmobiliario.com/MLC-532283592-departamento-en-venta-metro-santa-ana-_JM#position=8&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","","Aparment","usada","140","3","3","2","5381","https://www.portalinmobiliario.com/MLC-522359397-propiedad-en-sta-isabelportugal-gran-terraza-y-est-_JM#position=23&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","","Aparment","usada","148","3","2","1","4900","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5626794-carmen-602-uda#position=12&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
"portal inmobiliario","Santiago","","Aparment","usada","115","3","3","1","6200","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5545062-santo-domingo-amunategui-uda#position=22&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045"
