Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","vitacura","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","90","72","2","2","1","1","1","8750","https://www.portalinmobiliario.com/mlc-537819926-mar-jonico-las-tranqueras-dpto-mariposa-_jm"
"portal inmobiliario","rm","providencia","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","42","40","1","1","0","1","1","3900","https://www.portalinmobiliario.com/mlc-537029905-departamento-en-venta-de-1-dorm-en-providencia-_jm"
"portal inmobiliario","rm","las condes","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","144","122","3","3","1","1","1","11900","https://www.portalinmobiliario.com/mlc-537802148-carlos-lira-infante-manquehue-sur-colon-_jm"
"portal inmobiliario","rm","santiago","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","78","70","2","2","1","1","0","5100","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724036-santo-domingo-1450-uda"
"portal inmobiliario","rm","santiago","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","44","44","2","1","1","0","0","2290","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5729017-maturana-uda"
"portal inmobiliario","rm","vitacura","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","166","140","3","4","3","1","0","13700","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/4679146-el-tamarugo-las-hualtatas-3-estacionamientos-2-bodegas-uda"
"portal inmobiliario","rm","nunoa","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","92","75","3","2","1","1","1","5500","https://www.portalinmobiliario.com/mlc-537822532-suarez-mujica-av-grecia-metro-irarrazaval-_jm"
"portal inmobiliario","rm","estacion central","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","28","28","1","1","0","0","0","1799","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5723816-las-rejas-norte-uda"
"portal inmobiliario","rm","nunoa","23/01/2020","aparment","nueva","-16","venta en verde","2 semestre 2021","-16","-16","N","35","31","1","1","1","1","1","2591","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9221-edificio-zanartu-1111-nva"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","50","40","1","1","1","1","1","5800","https://www.portalinmobiliario.com/mlc-537502354-cerro-colorado-parque-juanpablo-ii-_jm"
