Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","las condes","15/07/2020","aparment","usada","-16","disponible","-16","306000","-16","N","333","219","3","3","1","1","1","21070","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5720088-san-francisco-de-asis-2041-departamento-d407-uda"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","208","168","4","4","1","1","0","10800","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722771-amplio-departamento-con-excelente-conectividad-en-barrio-tradicional-uda"
"portal inmobiliario","rm","la reina","19/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","77","77","3","1","1","1","0","4340","https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5725312-parque-intercomunalvalenzuela-puelma-uda"
"portal inmobiliario","rm","las condes","15/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","180","165","3","4","1","1","1","13900","https://www.portalinmobiliario.com/mlc-536807057-departamento-en-venta-de-3-dorm-en-las-condes-_jm"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","150","126","3","3","2","1","1","11800","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5723177-las-nieves-uda"
"portal inmobiliario","rm","vitacura","15/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","140","140","4","4","2","1","1","13900","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5602954-bicentenario-4035-uda"
"portal inmobiliario","rm","nunoa","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","41","37","1","1","0","1","1","2997","https://www.portalinmobiliario.com/mlc-537042833-departamento-en-venta-de-1-dorm-en-nunoa-_jm"
"portal inmobiliario","rm","independencia","14/07/2020","aparment","usada","-16","disponible","-16","45000","-16","N","48","48","1","1","1","1","1","1796","https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/5719899-padre-jose-cifuentes-grez-864-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","15","N","110","100","2","3","1","0","1","8750","https://www.portalinmobiliario.com/mlc-537548369-capitan-crosbie-960-las-condes-chile-_jm"
"portal inmobiliario","rm","santiago","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","27","27","1","1","0","1","1","2180","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5723708-tucapel-jimenez-uda"
"portal inmobiliario","rm","nunoa","19/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","90","90","3","2","1","1","0","6500","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5725289-plaza-nunoa-uda"
"portal inmobiliario","rm","la granja","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","46","46","2","1","0","0","0","1550","https://www.portalinmobiliario.com/venta/departamento/la-granja-metropolitana/5724262-americo-vespucio-372-uda"
"portal inmobiliario","rm","lo barnechea","19/07/2020","aparment","usada","-16","disponible","-16","-16","2","N","192","149","3","3","2","0","0","18000","https://www.portalinmobiliario.com/mlc-537294963-las-rosas-12880-lo-barnechea-chile-_jm"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","170","139","3","3","0","1","1","14833","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726036-av-plaza-c_259184-uda"
"portal inmobiliario","rm","las condes","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","43","39","1","1","1","1","0","4550","https://www.portalinmobiliario.com/mlc-537554780-departamento-en-venta-de-1-dorm-en-las-condes-_jm"
"portal inmobiliario","rm","las condes","14/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","213","163","3","3","0","1","1","15500","https://www.portalinmobiliario.com/mlc-536705908-departamento-en-venta-de-3-dorm-en-las-condes-_jm"
"portal inmobiliario","rm","vitacura","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","110","88","2","2","2","1","0","9150","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5363835-parque-san-damian-las-hualtatas-uda"
"portal inmobiliario","rm","santiago","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","45","45","2","1","0","0","1","2397","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724039-general-gana-1379-uda"
"portal inmobiliario","rm","nunoa","17/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","39","37","1","1","1","1","1","3790","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724117-metro-eyzaguirre-con-estacionamiento-uda"
"portal inmobiliario","rm","las condes","16/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","32","135","3","2","1","1","1","21070","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5722072-plazasisavenida-plaza-uda"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","104","54","1","1","1","1","0","5870","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5728663-espectacular-depto-duplex-en-venta-en-las-condes-uda"
"portal inmobiliario","rm","nunoa","19/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","-16","-16","4","2","1","1","0","5920","https://www.portalinmobiliario.com/mlc-537266919-departamento-en-venta-de-4-dorm-en-nunoa-_jm"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","83","75","2","2","1","1","1","6800","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5728602-felix-de-amestimartin-de-zamora-uda"
"portal inmobiliario","rm","huechuraba","16/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","82","76","3","2","1","1","1","3645","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5721899-el-carmen-1540-uda"
