SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200721,portal inmobiliario,rm,las condes,2020-07-15,aparment,usada,-16,disponible,-16,306000,-16,N,5.0,2HTO250,333,219,52.0,3,3,1.0,1,1,1,21070,96.0,5093.0,241,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5720088-san-francisco-de-asis-2041-departamento-d407-uda
20200721,portal inmobiliario,rm,vitacura,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO2H,208,168,24.0,4,4,1.0,1,1,0,10800,64.0,4186.0,387,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5722771-amplio-departamento-con-excelente-conectividad-en-barrio-tradicional-uda
20200721,portal inmobiliario,rm,la reina,2020-07-19,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,80TO90,77,77,0.0,3,1,0.0,1,1,0,4340,56.0,981.0,226,https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5725312-parque-intercomunalvalenzuela-puelma-uda
20200721,portal inmobiliario,rm,las condes,2020-07-15,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO2H,180,165,9.0,3,4,1.0,1,1,1,13900,84.0,3633.0,261,https://www.portalinmobiliario.com/mlc-536807057-departamento-en-venta-de-3-dorm-en-las-condes-_jm
20200721,portal inmobiliario,rm,vitacura,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO130,150,126,19.0,3,3,1.0,2,1,1,11800,94.0,2813.0,238,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5723177-las-nieves-uda
20200721,portal inmobiliario,rm,vitacura,2020-07-15,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO150,140,140,0.0,4,4,0.0,2,1,1,13900,99.0,3395.0,244,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5602954-bicentenario-4035-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,41,37,11.0,1,1,1.0,0,1,1,2997,81.0,347.0,115,https://www.portalinmobiliario.com/mlc-537042833-departamento-en-venta-de-1-dorm-en-nunoa-_jm
20200721,portal inmobiliario,rm,independencia,2020-07-14,aparment,usada,-16,disponible,-16,45000,-16,N,2.0,80TO90,48,48,0.0,1,1,0.0,1,1,1,1796,37.0,408.0,227,https://www.portalinmobiliario.com/venta/departamento/independencia-metropolitana/5719899-padre-jose-cifuentes-grez-864-uda
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,15,N,5.0,90TO100,110,100,10.0,2,3,1.0,1,0,1,8750,88.0,1690.0,193,https://www.portalinmobiliario.com/mlc-537548369-capitan-crosbie-960-las-condes-chile-_jm
20200721,portal inmobiliario,rm,santiago,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,LT30,27,27,0.0,1,1,0.0,0,1,1,2180,81.0,229.0,105,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5723708-tucapel-jimenez-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-19,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,90,90,0.0,3,2,0.0,1,1,0,6500,72.0,1395.0,214,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5725289-plaza-nunoa-uda
20200721,portal inmobiliario,rm,la granja,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,1.0,80TO90,46,46,0.0,2,1,0.0,0,0,0,1550,34.0,310.0,200,https://www.portalinmobiliario.com/venta/departamento/la-granja-metropolitana/5724262-americo-vespucio-372-uda
20200721,portal inmobiliario,rm,lo barnechea,2020-07-19,aparment,usada,-16,disponible,-16,-16,2,N,3.0,130TO150,192,149,29.0,3,3,1.0,2,0,0,18000,121.0,2950.0,163,https://www.portalinmobiliario.com/mlc-537294963-las-rosas-12880-lo-barnechea-chile-_jm
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO150,170,139,22.0,3,3,1.0,0,1,1,14833,107.0,2687.0,181,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726036-av-plaza-c_259184-uda
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,43,39,10.0,1,1,1.0,1,1,0,4550,117.0,436.0,95,https://www.portalinmobiliario.com/mlc-537554780-departamento-en-venta-de-1-dorm-en-las-condes-_jm
20200721,portal inmobiliario,rm,las condes,2020-07-14,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,150TO2H,213,163,31.0,3,3,1.0,0,1,1,15500,95.0,3248.0,209,https://www.portalinmobiliario.com/mlc-536705908-departamento-en-venta-de-3-dorm-en-las-condes-_jm
20200721,portal inmobiliario,rm,vitacura,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,110,88,25.0,2,2,1.0,2,1,0,9150,104.0,1573.0,171,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5363835-parque-san-damian-las-hualtatas-uda
20200721,portal inmobiliario,rm,santiago,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,45,45,0.0,2,1,0.0,0,0,1,2397,53.0,427.0,178,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724039-general-gana-1379-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-17,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,39,37,5.0,1,1,1.0,1,1,1,3790,102.0,396.0,104,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724117-metro-eyzaguirre-con-estacionamiento-uda
20200721,portal inmobiliario,rm,las condes,2020-07-16,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,130TO150,32,135,-76.0,3,2,0.0,1,1,1,21070,658.0,1571.0,74,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5722072-plazasisavenida-plaza-uda
20200721,portal inmobiliario,rm,las condes,2020-07-21,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,104,54,93.0,1,1,1.0,1,1,0,5870,109.0,795.0,135,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5728663-espectacular-depto-duplex-en-venta-en-las-condes-uda
20200721,portal inmobiliario,rm,las condes,2020-07-21,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,83,75,11.0,2,2,1.0,1,1,1,6800,91.0,1192.0,175,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5728602-felix-de-amestimartin-de-zamora-uda
20200721,portal inmobiliario,rm,huechuraba,2020-07-16,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,80TO90,82,76,8.0,3,2,1.0,1,1,1,3645,48.0,1234.0,338,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5721899-el-carmen-1540-uda
20200721,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO130,110,118,-7.0,4,3,0.0,1,1,0,8200,75.0,2324.0,283,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5726020-apoquindo-apumanque-c_259108-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,47,42,12.0,1,1,1.0,1,0,1,3238,77.0,418.0,129,https://www.portalinmobiliario.com/mlc-537354078-departamento-en-venta-de-1-dorm-en-nunoa-_jm
20200721,portal inmobiliario,rm,vitacura,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO130,140,120,17.0,3,2,1.0,1,1,1,13500,112.0,2208.0,163,https://www.portalinmobiliario.com/mlc-537538760-departamento-en-venta-de-3-dorm-en-vitacura-_jm
20200721,portal inmobiliario,rm,santiago,2020-07-17,aparment,usada,2,Done,-16,-16,13,Y,4.0,80TO90,50,46,9.0,1,1,1.0,1,1,0,3050,66.0,475.0,155,https://www.portalinmobiliario.com/mlc-537030898-santo-domingo-1450-santiago-chile-_jm
20200721,portal inmobiliario,rm,santiago,2020-07-20,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,50,45,11.0,2,2,1.0,1,1,1,2550,57.0,681.0,267,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5726148-metro-franklin-2d-5-unidades-uda
20200721,portal inmobiliario,rm,huechuraba,2020-07-15,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,90TO100,123,100,23.0,3,2,1.0,2,1,1,7300,73.0,1883.0,257,https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5721158-moderno-departamento-ciudad-empresarial-3-dormitorios-2-banos-terrazas-uda
20200721,portal inmobiliario,rm,nunoa,2020-07-18,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,42,36,17.0,1,1,1.0,1,1,1,3650,101.0,403.0,110,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724664-av-irarrazaval-capitan-fuentes-uda
