Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
"portal inmobiliario","rm","vitacura","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","180","160","3","3","1","1","1","13800","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/4679212-andres-de-vera-p-hurtado-uda"
"portal inmobiliario","rm","providencia","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","110","95","2","2","1","1","0","9500","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5733737-pocuro-colegio-san-ignacio-uda"
"portal inmobiliario","rm","las condes","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","86","78","2","2","2","1","0","8000","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5597134-san-carlos-de-apoquindo-carlos-pena-otaegui-uda"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","160","150","5","4","2","1","0","12900","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5729145-pdte-errazuriz-escuela-militar-uda"
"portal inmobiliario","rm","santiago","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","-16","39","1","1","0","1","1","2187","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5732806-curicojofre-uda"
"portal inmobiliario","rm","nunoa","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","106","94","3","3","1","1","1","7920","https://www.portalinmobiliario.com/mlc-538162947-holanda-irarrazaval-metro-chile-espana-_jm"
"portal inmobiliario","rm","lo barnechea","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","145","115","3","3","1","1","1","10500","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5422619-asis-balaguer-uda"
"portal inmobiliario","rm","santiago","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","37","32","1","1","0","1","1","2800","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5728979-teatinos-uda"
"portal inmobiliario","rm","vitacura","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","222","192","4","4","1","1","0","13700","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/4729942-manquehue-espoz-uda"
"portal inmobiliario","rm","macul","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","61","58","2","2","1","1","1","3500","https://www.portalinmobiliario.com/mlc-538067827-departamento-en-venta-de-2-dorm-en-macul-_jm"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","124","98","3","3","1","1","0","8900","https://www.portalinmobiliario.com/mlc-537574903-apoquindo-interior-5085-las-condes-chile-_jm"
"portal inmobiliario","rm","huechuraba","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","91","74","2","2","1","1","0","6200","https://www.portalinmobiliario.com/venta/departamento/huechuraba-metropolitana/5732766-santa-clara-rinconada-el-salto-uda"
"portal inmobiliario","rm","lo barnechea","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","186","146","3","3","1","1","1","12300","https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5422673-la-sierra-balaguer-uda"
"portal inmobiliario","rm","las condes","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","45","40","1","1","0","1","0","3819","https://www.portalinmobiliario.com/mlc-538114592-departamento-en-venta-de-1-dorm-en-las-condes-_jm"
"portal inmobiliario","rm","nunoa","20/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","1","-16","2","2","1","1","1","5300","https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5728328-jose-pedro-alessandri-55-region-metropo-uda"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","83","75","2","2","1","1","1","6800","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5728602-felix-de-amestimartin-de-zamora-uda"
"portal inmobiliario","rm","providencia","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","122","104","3","2","1","1","0","11300","https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5731686-regimiento-cazadores-1222-uda"
"portal inmobiliario","rm","las condes","21/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","47","47","1","1","1","1","1","4756","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5729589-departamento-en-venta-1-dorm-a-pasos-del-metro-escuela-militar-uda"
"portal inmobiliario","rm","las condes","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","140","140","3","3","1","1","0","11200","https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5737012-magdalena-av-apoquindo-uda"
"portal inmobiliario","rm","lo prado","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","42","40","2","1","1","0","1","2197","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736345-sta-petronila-uda"
"portal inmobiliario","rm","macul","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","82","82","3","2","1","1","1","4050","https://www.portalinmobiliario.com/venta/departamento/macul-metropolitana/5736662-av-macul-los-olmos-uda"
"portal inmobiliario","rm","san miguel","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","54","54","3","1","0","0","1","2448","https://www.portalinmobiliario.com/venta/departamento/san-miguel-metropolitana/5736775-avenida-santa-rosa-5741-uda"
"portal inmobiliario","rm","recoleta","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","114","56","2","2","1","1","1","3194","https://www.portalinmobiliario.com/mlc-538237849-departamento-en-venta-de-2-dorm-en-recoleta-_jm"
"portal inmobiliario","rm","vitacura","22/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","171","140","4","4","2","1","1","13600","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5731924-monsenor-escriva-de-balaguer-padre-hurtado-uda"
"portal inmobiliario","rm","vitacura","23/07/2020","aparment","usada","-16","disponible","-16","-16","-16","N","162","122","3","3","1","1","1","12300","https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5424983-pedro-canisioarcangel-uda"
"portal inmobiliario","rm","estacion central","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","28","28","1","1","0","0","0","1742","https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736911-las-rejas-norte-uda"
"portal inmobiliario","rm","estacion central","24/07/2020","aparment","usada","-16","disponible","-16","-16","-16","Y","38","35","1","1","0","0","1","2000","https://www.portalinmobiliario.com/mlc-538231853-nicasio-retamales-metro-san-alberto-hurtado-inversionistas-_jm"
