Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,42,42,2,1,1,1,0,2810,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736847-toro-mazotte-uda
portal inmobiliario,rm,estacion central,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,43,43,2,1,0,0,0,2325,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5736980-buzo-sobenes-uda
portal inmobiliario,rm,las condes,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,N,170,149,4,4,1,1,1,12300,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5738466-martin-alonso-pinzon-uda
portal inmobiliario,rm,las condes,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,N,180,160,4,4,1,1,1,14500,https://www.portalinmobiliario.com/mlc-538257230-departamento-en-venta-de-4-dorm-en-las-condes-_jm
portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,Y,90,80,2,2,0,0,0,5104,https://www.portalinmobiliario.com/mlc-538686494-luis-thayer-ojeda-_jm
portal inmobiliario,rm,lo barnechea,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,130,120,3,3,1,1,1,9500,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5740995-avla-dehesarobles-c_260899-uda
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,180,160,4,3,0,0,1,13900,https://www.portalinmobiliario.com/mlc-538507355-departamento-en-venta-de-4-dormitorios-en-las-condes-_jm
portal inmobiliario,rm,nunoa,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,127,107,3,3,1,1,1,10500,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5741484-simon-bolivar-irrarazaval-c_263495-uda
portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,117,117,2,2,0,0,0,6423,https://www.portalinmobiliario.com/mlc-538515026-av-francisco-bilbao-tobalaba-metro-fco-bilbao-_jm
portal inmobiliario,rm,las condes,2020-07-27,aparment,usada,-16,disponible,-16,-16,-16,N,160,140,13,3,1,1,1,11900,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5741232-manquehue-carlos-alvarado-c_263049-uda
portal inmobiliario,rm,santiago,2020-07-27,aparment,usada,-16,disponible,-16,45000,-16,Y,49,46,2,1,1,1,1,2700,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5739875-metro-matta-2d-uda
portal inmobiliario,rm,vitacura,2020-07-25,aparment,usada,-16,disponible,-16,-16,-16,N,147,119,3,3,2,1,1,13500,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5738359-arturo-ureta-las-hualtatas-uda
portal inmobiliario,rm,providencia,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,179,124,3,3,1,1,0,10299,https://www.portalinmobiliario.com/mlc-538662731-departamento-en-venta-de-3-dormitorios-en-providencia-_jm
portal inmobiliario,rm,nunoa,2020-07-28,aparment,usada,-16,disponible,-16,-16,-16,N,98,98,3,2,1,1,0,5729,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5743915-alcalde-carlos-aldunate-duble-almeyda-uda
portal inmobiliario,rm,santiago,2020-07-24,aparment,usada,-16,disponible,-16,-16,-16,Y,97,97,3,2,1,1,0,4687,https://www.portalinmobiliario.com/mlc-538257551-departamento-en-venta-de-3-dorm-en-santiago-_jm
