SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200731,portal inmobiliario,rm,las condes,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,110TO120,124,115,3,3,1.0,2,1,0,9839,86.0,2401.0,244,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5746009-martin-de-zamora-uda
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,80,70,3,2,1.0,1,1,1,4965,71.0,1221.0,245,https://www.portalinmobiliario.com/mlc-539013407-antonio-varas-s-bolivar-_jm
20200731,portal inmobiliario,rm,vitacura,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,120TO130,155,130,4,4,1.0,1,1,0,11700,90.0,3185.0,272,https://www.portalinmobiliario.com/mlc-539013091-vitacura-nor-oriente-_jm
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,90TO100,100,93,3,2,1.0,1,1,0,6150,66.0,1532.0,249,https://www.portalinmobiliario.com/mlc-538997822-departamento-en-venta-de-3-dorm-en-nunoa-_jm
20200731,portal inmobiliario,rm,la reina,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,100TO110,106,106,3,2,0.0,1,1,1,7980,75.0,1616.0,202,https://www.portalinmobiliario.com/venta/departamento/la-reina-metropolitana/5748911-av-americo-vespucio-ernesto-hevia-uda
20200731,portal inmobiliario,rm,lo barnechea,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,3.0,130TO140,180,138,4,4,1.0,2,1,1,12900,93.0,3599.0,278,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5748237-portal-la-dehesa-uda
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,4.0,80TO90,40,37,1,1,1.0,0,0,0,2200,59.0,286.0,130,https://www.portalinmobiliario.com/mlc-539001459-departamento-en-venta-de-1-dormitorio-en-santiago-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,50,47,2,2,1.0,0,1,1,3350,71.0,626.0,186,https://www.portalinmobiliario.com/mlc-539013159-metro-u-de-chile-est-y-bdga-_jm
20200731,portal inmobiliario,rm,nunoa,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,73,69,2,2,1.0,1,1,1,4900,71.0,1023.0,208,https://www.portalinmobiliario.com/mlc-539016801-departamento-en-venta-de-2-dorm-en-nunoa-_jm
20200731,portal inmobiliario,rm,san miguel,2020-07-29,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,34,34,1,1,0.0,0,1,0,2060,61.0,221.0,107,https://www.portalinmobiliario.com/mlc-538874531-tercera-transversal-san-miguel-piso-7-_jm
20200731,portal inmobiliario,rm,independencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,Y,2.0,LT30,30,30,1,1,0.0,0,0,0,1815,60.0,165.0,90,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5746402-hipodromo-chilepablo-urzua-uda
20200731,portal inmobiliario,rm,la florida,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,80,76,3,2,1.0,1,1,1,4390,58.0,1164.0,265,https://www.portalinmobiliario.com/mlc-539002222-departamento-en-venta-de-3-dormitorios-en-la-florida-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,3HTO4H,400,320,6,6,1.0,1,1,1,19900,62.0,11000.0,552,https://www.portalinmobiliario.com/mlc-538998283-departamento-en-venta-de-6-dormitorios-en-las-condes-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,83,74,2,2,1.0,1,1,1,7900,107.0,1183.0,149,https://www.portalinmobiliario.com/mlc-538998807-departamento-en-venta-de-2-dormitorios-en-las-condes-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,95,84,3,2,1.0,1,1,1,7638,91.0,1524.0,199,https://www.portalinmobiliario.com/mlc-538999462-departamento-en-venta-de-3-dormitorios-en-las-condes-_jm
20200731,portal inmobiliario,rm,providencia,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,120TO130,132,126,3,3,1.0,1,1,0,10950,87.0,2407.0,219,https://www.portalinmobiliario.com/mlc-539188576-av-santa-maria-metro-salvador-estilo-frances-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,100TO110,125,110,4,3,1.0,1,0,0,8900,81.0,2291.0,257,https://www.portalinmobiliario.com/mlc-539003220-departamento-en-venta-de-4-dormitorios-en-las-condes-_jm
20200731,portal inmobiliario,rm,la florida,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,37,34,1,1,1.0,0,0,1,2600,76.0,228.0,87,https://www.portalinmobiliario.com/mlc-539001610-departamento-en-venta-de-1-dormitorio-en-la-florida-_jm
20200731,portal inmobiliario,rm,estacion central,2020-07-31,aparment,usada,-16,disponible,-16,-16,-16,Y,1.0,80TO90,44,44,2,1,0.0,0,1,0,2658,60.0,341.0,128,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5749539-buzo-sobenes-uda
20200731,portal inmobiliario,rm,recoleta,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,2.0,80TO90,60,60,3,1,0.0,0,0,0,2013,34.0,570.0,283,https://www.portalinmobiliario.com/mlc-539001834-departamento-en-venta-de-3-dormitorios-en-recoleta-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,31,31,1,1,0.0,0,1,0,1822,59.0,248.0,136,https://www.portalinmobiliario.com/mlc-539031859-departamento-en-venta-de-1-dormitorio-en-santiago-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,4.0,80TO90,58,55,2,2,1.0,0,1,1,3055,56.0,730.0,238,https://www.portalinmobiliario.com/mlc-539014165-morande-metro-plaza-de-armas-_jm
20200731,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,90TO100,105,92,3,3,1.0,1,1,0,8450,92.0,1822.0,215,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5747451-apumanque-metro-manquehue-plaza-del-inca-uda
20200731,portal inmobiliario,rm,providencia,2020-07-30,aparment,usada,-16,disponible,-16,-16,-16,N,5.0,80TO90,92,82,3,2,1.0,1,1,0,7717,94.0,1440.0,186,https://www.portalinmobiliario.com/mlc-539002033-departamento-en-venta-de-3-dormitorios-en-providencia-_jm
20200731,portal inmobiliario,rm,santiago,2020-07-30,aparment,usada,-16,disponible,-16,50000,-16,N,4.0,80TO90,39,35,1,1,1.0,1,1,1,2638,75.0,384.0,145,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5747898-blanco-encalada-av-ejercito-uda
