Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
portal inmobiliario,rm,las condes,2020-08-07,aparment,usada,-16,disponible,-16,210000,-16,N,136,111,3,2,1,1,1,9050,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5762451-oportunidad-manquehue-sur-uda
portal inmobiliario,rm,providencia,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,N,81,73,2,2,1,1,1,6006,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5757920-los-leones-bustos-uda
portal inmobiliario,rm,nunoa,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,60,60,2,1,1,1,1,3890,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5761580-exequiel-fernandezlas-encinas-uda
portal inmobiliario,rm,nunoa,2020-08-05,aparment,usada,-16,disponible,-16,-16,-16,N,78,73,3,2,0,1,0,5090,https://www.portalinmobiliario.com/mlc-540027377-jm-infante-capitan-fuentes-_jm
portal inmobiliario,rm,las condes,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,150,135,4,3,0,1,1,11200,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5760230-noruega-los-militares-uda
portal inmobiliario,rm,nunoa,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,78,63,2,2,1,1,1,5990,https://www.portalinmobiliario.com/mlc-540240419-los-aliagas-diagonal-oriente-metro-los-orientales-_jm
portal inmobiliario,rm,santiago,2020-08-05,aparment,usada,-16,disponible,-16,-16,-16,N,52,50,2,2,0,0,1,3300,https://www.portalinmobiliario.com/mlc-540017051-departamento-en-venta-de-2-dorm-en-santiago-_jm
portal inmobiliario,rm,vitacura,2020-08-06,aparment,usada,-16,disponible,-16,220000,-16,N,186,140,3,3,1,1,1,16950,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5750707-condominio-parque-san-damian-moller-casi-nuevo-uda
portal inmobiliario,rm,las condes,2020-08-06,aparment,usada,-16,disponible,-16,-16,-16,N,50,40,1,1,1,1,1,5300,https://www.portalinmobiliario.com/mlc-540220032-av-las-condes-manantiales-_jm
portal inmobiliario,rm,estacion central,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,Y,29,29,1,1,0,0,0,1886,https://www.portalinmobiliario.com/venta/departamento/estacion-central-metropolitana/5762671-blanco-garces-uda
portal inmobiliario,rm,vitacura,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,N,245,215,3,3,0,1,0,19500,https://www.portalinmobiliario.com/mlc-540297987-espoz-vespucio-_jm
portal inmobiliario,rm,las condes,2020-08-07,aparment,usada,-16,disponible,-16,100,-16,N,38,38,1,1,0,0,1,5600,https://www.portalinmobiliario.com/mlc-540288483-av-apoquindo-malaga-_jm
portal inmobiliario,rm,providencia,2020-08-07,aparment,usada,12,Done,-16,-16,-16,N,55,50,2,2,1,1,1,4950,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5762813-andres-bello-antonio-bellet-uda
portal inmobiliario,rm,quinta normal,2020-08-05,aparment,usada,-16,disponible,-16,-16,-16,N,57,57,3,2,0,0,0,2013,https://www.portalinmobiliario.com/venta/departamento/quinta-normal-metropolitana/5758708-radal-l-metro-blaqueado--uda
portal inmobiliario,rm,vitacura,2020-08-07,aparment,usada,-16,disponible,-16,-16,-16,N,202,190,3,3,1,1,0,12500,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/5002336-remodelado-vista-club-de-golf-vitacura-kennedy-rotonda-uda
portal inmobiliario,rm,nunoa,2020-08-05,aparment,usada,-16,disponible,-16,-16,-16,N,70,70,3,2,1,1,1,4861,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5321321-duble-almeyda-altura-3700-a-3-cuadras-metro-chile-espana-piso-2-2000-uda
