Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"chile propiedades","Santiago","TBD","Aparment","TBD","100 m²","3","2","TBD","100.000 CLP","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/metro-chile-espana-3d2b-100m2/2851002","Ubicado en excelente sector de Ñuñoa barrio residencial familiar Exequiel Fernandez / Juan Gomez Millas a pocas cuadras de METRO Chile España cercano a comercios Mall Portal Ñuñoa Supermercado Jumbo y Lider colegios de excelencia como San Gaspar colegio Suizo y Divina Pastora excelente conectividad. Departamento con terminaciones de primera calidad año 2010 con buenas mantenciones se encuentra en excelentes condiciones orientación Nor-Oriente en piso 13 con hermosa vista panorámica superficie total 100mts2 aprox. Se distribuye en: - Cómodo hall de entrada - Amplio living comedor con salida a terraza en L con aire acondicionado - Cocina amoblada y equipada con logia amplia - 3 dormitorios todos de buen tamaño con closet - 2 baños ambos con tina uno de ellos en suite Terminaciones y equipamiento: Cuenta con aire acondicionado alarma muy buena distribución piso laminado en dormitorios living comedor y hall Cocina con porcelanato. Incluye ESTACIONAMIENTO y BODEGA. Gastos comunes: $95.000 más consumo de agua caliente Espacios comunes: El edificio es de ambiente familiar tranquilo. Entre las áreas comunes destacan gimnasio equipado salas multiuso quincho piscina lavandería y gran cantidad de estacionamientos de visita. Interesados ESCRIBIR mediante este portal o vía correo electrónico o whatsapp +56950198675 y responderemos sus consultas a la brevedad. Vende ACCIONA PROPIEDADES"
"chile propiedades","Santiago","TBD","Aparment","TBD","105 m²","4","3","TBD","Santiago, Beaucheff, Club Hìpico","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/beaucheff-club-hipico/3074057","Departamento con espacios amplios vista despejada cercano a Universidad de Chile Beaucheff Colegio don Bosco sagrado corazón de Jesús metro Rondizzoni parque O" Higgins y locomoción colectiva. CARACTERÍSTICAS 93 / 105 m2 aprox 4 dormitorios (uno en suite) 3 baños Living comedor juntos Cocina amoblada con comedor diario y logia 1 estacionamiento 1 bodega OTROS Piso 9 Orientación nor poniente Gastos Comunes 120.000 aprox CARACTERÍSTICAS DEL EDIFICIO Edificio de año 2004 de 13 pisos equipado con 2 ascensores juegos de niños gimnasio sala de evento lavandería piscina conserjería las 24 horas"
"chile propiedades","Santiago","TBD","Aparment","TBD","135 m²","3","2","TBD","152.000.000 CLP","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/santa-isabel/3769205","Amplio Depto. con 3D + 2B y Terraza. A 3 cuadras del Metro Santa Isabel. Código Interno: StgoC_216 Amplio Departamento con 3 dormitorios (principal en suite) 2 baños y terraza. 65 m2 útiles / 135 m2 totales. Posee una amplia terraza con salida en el living-comedor y por dormitorio principal. Piso 14. Orientación Sur-Oriente. Cocina americana cubierta de melanina equipada con: encimera a gas horno eléctrico y campana. Posee conexión para lavadora. Piso flotante en el living-comedor y dormitorios; cerámica en baños y cocina; baldosa en terraza. Posee estacionamiento. Edificio de 24 pisos cuenta con: áreas verdes juegos para niños sala multiuso sala de reuniones gimnasio piscina quincho seguridad 24 horas 4 ascensores lavandería y estacionamiento de visitas. Excelente ubicación y conectividad a 3 cuadras del Metro Santa Isabel. Todos los servicios cerca: A pasos del Transantiago supermercados Universidades Comercio Farmacias Colegios Bancos gimnasios y todo tipo de servicios. Calles cercanas: Avenida Portugal Santa Isabel Vicuña Mackenna. Gastos comunes: $115.000. aprox. Incluye agua caliente. Para más información ver: http://www.corredorpro.cl/listing/amplio-depto-con-3d-2b-y-terraza-a-3-cuadras-del-metro-santa-isabel/ Para una mejor atención en su consulta favor indicar código interno de propiedad: StgoC_216  y si desea agendar visita agregar alternativas de días y horarios disponibles. Convenios con Instituciones Financieras para otorgamiento de Crédito Hipotecario. Para mayor información dirigirse a http://www.corredorpro.cl o contáctenos al mail: contacto@corredorpro.cl o al teléfono: 981575750."
"chile propiedades","Santiago","TBD","Aparment","TBD","121 m²","4","2","TBD","6.450,00 UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/duble-almeyda-2020/3666331","OPORTUNIDAD ÚNICA !!! Excelente departamento en venta en Ñuñoa. Sector residencial con excelente conectividad. Excelente ubicación. Se ubica en 2do. piso con orientación Sur-Oriente. Consta de 4 dormitorios 2 baños cocina amoblada de espacio abierto con Isla y loggia. 2 terrazas. Estacionamiento y bodega. Condominio cuenta con piscina sala de gimnasio etc."
"chile propiedades","Santiago","TBD","Aparment","TBD","No","3","2","TBD","150.000.000 CLP","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/santiago-region-metropolitana/3642268","Se vende amplio departamento ubicado en pleno Santiago Centro. Cuenta con 3 dormitorios 2 baños estacionamiento incluido. Excelente ubicación cercano a universidades colegios bancos supermercados cercano a la estación del metro Moneda y Universidad de Chile Agenda tu visita: Corredora Palma Fuentes SPA +56 9 7513 7656 +56 9 8294 0637 +56 9 7899 3023 Contacto@corredorapalmafuentes.cl www.corredorapalmafuentes.cl #departamento #santiagocentro #santiago #compraventa #corredorapalmafuentes #compraventa #propiedad #inmobiliaria #chile #metromoneda #metroudechile"
"chile propiedades","Santiago","TBD","Aparment","TBD","109 m²","4","3","TBD","180.000.000 CLP","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/roman-diaz-785/3520129","Acogedor departamento en cuarto piso orientación sur oriente. Cuenta con una distribución funcional en 109m2 en buen estado de conservación. Su programa está compuesto por amplio living comedor cocina independiente amoblada y equipada 4 dormitorios tres baños logia amplio balcón cerrado estacionamiento y bodega. En sus terminaciones destacan piso flotante y alfombrado muros cerámicos y papel mural pintura puertas en madera y cielos en pintura. El condominio cuenta con control de acceso 24 horas y sistema de vigilancia por cámaras de seguridad para accesos Se encuentra emplazado en barrio residencial de la comuna de Providencia. Cuenta con todo tipo de equipamientos que junto con entregarle gran plusvalía al inmueble benefician positivamente la calidad de vida de quienes habitan en él dentro de los cuales destacan comercio strip center supermercados centros educacionales y deportivos gastronómicos de entretenimiento instituciones financieras establecimientos médicos hospitales clínicas y áreas verdes y seguridad ciudadana entre otros. Adicionalmente cuenta con gran conectividad tanto mediante transporte público cercano a estaciones de metro Salvador contando con recorridos de Transantiago como por sus accesos viales principales destacando Av. Eliodoro Yáñez Av. Francisco Bilbao Av. Salvado Conocemos lo importante que es este proceso y queremos que disfrutes tranquilamente tu propiedad. Te acompañamos y colaboramos contigo a lo largo de él facilitando tu compra para que se realice sin contratiempos y en el menor tiempo posible."
"chile propiedades","Santiago","TBD","Aparment","TBD","100 m²","3","2","TBD","6.077,00 UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/cristobal-colon-3770/2063268","único precio!!! departamento recién remodelado a 2 cuadras metro colon Características: - 3 dormitorios - 2 baños - piso 7 - 100 mts2 totales - piso flotante - cocina amoblada - piso flotante - gastos comunes : 100.000 Contribuciones: 95.000 - nor - poniente Areas comunes: - cámaras de seguridad - accesos controlados - conserjes 24 hrs - estacionamientos de visitas - areas verdes - año edificio 1995 única oportunidad de venta por viaje !!!! a solo dos cuadras metro colon ubicación privilegiada sector de las condes cercano a supermercado jumbo mini-market estaciones de servicio colegio verbo divino villa maria restorant farmacias areas verdes y precio insuperable !!!"
"chile propiedades","Santiago","TBD","Aparment","TBD","140 m²","4","3","TBD","5.300,00 UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/avenida-jose-pedro-alessandri/3627468","Hermoso departamento en primer piso con amplio patio privado ubicado en condominio con áreas verdes comunes y seguridad 24/7. 4 dormitorios 3 baños cocina amoblada estacionamiento. Cercano a colegios universidades supermercados y mall. Buena conectividad. Futura estación de Metro. Vende dueño sin comisión."
"chile propiedades","Santiago","TBD","Aparment","TBD","113 m²","3","3","TBD","6.350,00 UF","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/santo-domingo-1457/3921977","Moderno departamento DANACORP ubicado en calle Santo Domingo entre Amunátegui y San Martín cerca metro Santa Ana y emplazado en el centro histórico de Santiago cercano a universidades colegios hospitales bancos malls servicios en general. Excelente conectividad a Autopista central norte-sur Costanera norte Aeropuerto V Región etc. Departamento de 113.3 m2 totales con alarma gran terraza cerrada con acceso desde living y dormitorio principal cocina tradicional amoblada equipada y comedor de diario muebles más mesón adicionales todas las cubiertas de granito logia independiente con lavadero. Dormitorio principal en suite con walk-in closet 2 amplios dormitorios con closets con puertas abatibles 2 baños completos y 1 de visitas los 3 baños con cubierta de mármol. Living comedor y dormitorios con piso fotolaminado. Porcelanato en hall de acceso sala de estar cocina y baño de visitas. Puerta para separación de ambientes. Orientación nor-oriente con hermosa vista a jardines interiores cercanos. Incluye bodega grande y estacionamiento juntos en subterráneo. Edificio saneado bajo administración externa según ley de copropiedad."
"chile propiedades","Santiago","TBD","House","TBD","204 m²","5","3","TBD","Santiago, Rosas 2376","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/rosas-2376/3921677","Se vende propiedad ideal para; culto religioso eventos uso comercial y con algunos ajustes para uso habitacional. Su ubicación es privilegiada a 3 cuadras de metro cumming a 1 cuadra de la locomoción supermercados colegios y centro de salud cercanos. La propiedad es de material sólido cuenta con 1 sala principal 2 salas auxiliares 2 baños ( varones y damas) patio de luz un segundo piso no dormitorio baño y cocina. Se encuentra en excelente estado lista para uso sin problemas. La venta es sin comisión la realiza directamente su dueño se aceptan ofertas razonables. Interesados contactar a: Patricio Rodríguez +56984163424 patricio.rodriguezm@icloud.com Elizabeth Muñoz +56991343955 elisovino@gmail.com"
