Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"icasas","Santiago","","Aparment","","120m2","3 Dormitorios","2 Baños","","UF 5.850,26","https://www.icasas.cl/propiedad/428906","se vende amplio dpto 120 mts ideal para oficinas edificio histórico san antonio 418 santiago amplio departamento 120 mts ideal para remodelar y acondicionar como oficina 3 dormitorios 2 baños piso parquet piso 6 con vista a la calle año edificio 1952 actualmente destino habitacional factible para comercial edificio de 10 pisos departamentos oficinas laboratorios y locales comerciales en el primer piso. 3 ascensores ubicación comercial alta afluencia de público locomoción a 1 cuadra de plaza de armas y a 3del metro bellas artes mall vivo imperio teatro municipal cerro santa lucía notarias entre otros. edificio histórico (originalmente era la caja de empleados públicos y periodistas / caja de ee. pp y pp) con una hermosa arquitectura y detalles en sus paredes escaleras y ascensores. más información con soledad al valor venta $168. 000. 000 conversable comisión corredora de propiedades (2% iva) gasto común $70. 000 opción de arriendo $700. 000 mensual con gasto común incluido"
"icasas","Santiago","","Aparment","","100m2","3 Dormitorios","2 Baños","","UF 5.049,34","https://www.icasas.cl/propiedad/325797","amplio departamento 3 dormitorios 2 baños principal en suite. living comedor con terraza cocina amoblada y gran loggia. excelente conectividad supermercado colegios streep center farmacias y clínica a pasos."
"icasas","Santiago","","Aparment","","107m2","3 Dormitorios","3 Baños","","UF 6.163,67","https://www.icasas.cl/propiedad/339402","en venta espectacular departamento!! amplio y cómodo departamento. ubicado en muy buena zona de santiago centro 3 dormitorios (principal en suite con walking closet) 3 baños home office living comedor con salida a terraza. cocina separada full equipada logia estacionamiento bodega cercano a metro santa ana seguridad las 24 hrs condominio cerrado."
"icasas","Santiago","","Aparment","","100m2","3 Dormitorios","2 Baños","","UF 4.875,22","https://www.icasas.cl/propiedad/314517","metro bellas artes cerca de la plaza de armas consta de hall de acceso living comedor con lindo piso de parquet 3 amplios dormitorios dos baños mas servicios completos no tiene terraza ni bodega si tiene estacionamiento. . lila bussenius tel."
"icasas","Santiago","","Aparment","","133m2","5 Dormitorios","3 Baños","","UF 6.570","https://www.icasas.cl/propiedad/427862","se vende amplio dpto de 133 mts vicuña mackenna 836 esq. irarrázaval 133 mts incluye terraza frontis de 11 mts aprox. y terraza trasera de similares características 5 dormitorios: principal con piso parquet e incluye baño 4 dormitorios con piso flotante todos los dormitorios incluyen closet y ventilación natural 3 baños en total living comedor piso cerámica cocina amoblada incluye espacio lavadora edificio de 4 pisos 3 departamentos por piso construcción año 1950 ubicación espectacular! en plena avenida vicuña mackenna esquina irarrázaval a menos de 5 minutos de estación de metro irarrázaval cercano a bancos supermercados comercio en general áreas verdes locomoción entre otros. gtos comunes $32. 000 app incluye consumo de agua contribuciones $100. 000 app x cuota valor venta 6. 570 uf ($185. 000. 000 app) conversable! comisión corredora (2% sobre el valor de venta final iva) coordine sus visitas con ana maría al o al"
"icasas","Santiago","","Aparment","","140m2","3 Dormitorios","2 Baños","","UF 6.268,14","https://www.icasas.cl/propiedad/413567","amplio y elegante departamento silencioso y en una de las mejores ubicaciones de santiago. a pasos de metro moneda. y los héroes. hall de distribución living con pequeña terraza comedor separado por puerta de madera y vidrio. tres dormitorios grandes dos baños principal con ventana. más dormitorio y baño de servicio. baño principal con conexión a lavadora. edificio de la década del cincuenta con ascensores conserjería las 24 horas patio central interior amplios corredores con terminaciones de la época opción de arrendar estacionamiento y bodega con la administración. gastos comunes: $70. 000 (inlcuye agua)"
"icasas","Santiago","","Aparment","","104m2","4 Dormitorios","2 Baños","","UF 5.495,21","https://www.icasas.cl/propiedad/338283","procasa centro santiago (am): vende espacioso dpto metro o´higgins con gran terraza cocina tradicional piso flotante dormitorio en suite. cercano a colegios universidades farmacias mini market. hermosa vista. ubicado a sólo una cuadra de la av. viel. cuenta con estacionamiento. sin bodega."
"icasas","Santiago","","Aparment","","150m2","3 Dormitorios","2 Baños","","UF 6.616,37","https://www.icasas.cl/propiedad/402204","venta de departamento en santiago centro. amplio living comedor 3 dormitorios 2 baños terraza loggia cocina tradicional. todo el piso del departamento de madera vitrificado ventanas de aluminio. excelente conectividad cercano a estaciones de metro parque o'higgins y avenida matta y también a supermercados servicios colegios. @¬código fuenzalida fsb723. ljubica andarcia tel."
"icasas","Santiago","","Aparment","","111m2","4 Dormitorios","3 Baños","","UF 6.929,78","https://www.icasas.cl/propiedad/411851","amplio departamento ubicado a pasos de metro y barrio bellas artes. ideal para remodelar. departamento antiguo de década del 60 cuenta con 3 dormitorios 2 baños mas pieza y baño de servicios cocina cerrada además de gran terraza. además cuenta con espacio para estacionamiento sujeto a disponibilidad de la comunidad. todo con orientación oriente y poniente. gastos comunes de tan solo $60. 000."
"icasas","Santiago","","Aparment","","124m2","3 Dormitorios","2 Baños","","UF 4.352,88","https://www.icasas.cl/propiedad/429926","oportunidad en estratégica ubicación. a pasos del parque almagro de la estación de metro supermercados universidades. ideal para su uso habitacional u oficina. amplio living comedor cocina tradicional amoblada. tres dormitorios dos baños completos con ventana. gastos comunes aprox: $25. 000."
