Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"portal inmobiliario","Santiago","26-06-2020","Aparment","Propiedades usadas","150 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/MLC-534098918-amplio-departamento-santa-lucia-_JM#position=5&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Se encuentra en un lugar privilegiado de Santiago centro a paso de instituciones financieras Clinicas centro comerciales entre otros con Inmejorable conectividad cercano a Metro Línea 1 (santa lucia) Línea 3 (Parque Almagro y Matta) y Línea 5 (Santa Isabel) amplio y con excelente distribucion muy bien mantenido y remodelado recientemente piso fotolaminado en todo el departamento baños y pintura Living comedor con ventanas en termopanel y salida a la terraza cocina independiente equipada con encimera horno empotrado y campana conexión a gas y salida a logia habitación principal en suite con salida a una estupenda terraza de 72 M2 la cual cuenta con bodega sirve para hacer reuniones asados en parrilla también es funcional como patio para tender ropa con orientación Norte oriente y sur por lo que que se considera un plus en la propiedad dos dormitorios adicionales con baño común el edificio cuenta con todas las comodidades agua caliente central vigilancia 24/7 areas comunes como piscina e hidromasaje en azotea quincho con vista panorámica  gimnasio completamente equipado sauna e hidromasaje Gameroom con mesa de pool business center home cinema sala de juegos para niño estacionamiento subterráneo para un vehiculo."
"portal inmobiliario","Santiago","5675878","Aparment","Propiedades usadas","114 m²","3","2","1","125.000.000 $","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5675878-avenida-republica-uda#position=6&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción DUPLEX en pleno barrio universitario de República departamento con vista DESPEJADA y doble orientación Amplias terrazas Living comedor con salida a terraza Cocina tradicional con logia 1 dormitorio en primer piso 1 baño Segundo piso 2 amplios dormitorios con salida a terraza Porteria 24/7 Bajo gastos comunes de app $60.000 Mts aproximados Estacionamiento tiene un valor mensual de app $20.000 Departamento se vende AMOBLADO o sin AMOBLAR Oferte!! +56978812108 Terminaciones Piso baños: cerámica Piso dormitorios: alfombra Suministros Agua caliente: calefón : 50 Características propiedad loggia Estacionamientos y bodegas Estacionamientos: 1"
"portal inmobiliario","Santiago","07-07-2020","Aparment","Propiedades usadas","222 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/MLC-535767248-venta-departamento-santiago-39-_JM#position=1&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción de la publicación El vendedor no incluyó una descripción del inmueble"
"portal inmobiliario","Santiago","5694744","Aparment","Propiedades usadas","130 m²","3","2","1","175.000.000 $","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5694744-vicuna-mackenna-sta-victoria-uda#position=3&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción PROPIEDADES NV VENDE AMPLIO DEPARTAMENTO DE 1950 CON EXCELENTE UBICACIÓN CERCANO A COMERCIO LINEA DE METRO Y CON LOCOMOCIÓN A LA PUERTA. TIENE 125 METROS CUADRADOS ÚTILES Y 130 METROS TOTALES 3 DORMITORIOS Y DOS BAÑOS PISO PARQUEY Y VENTANAS TERMO-PANEL COCINA INDEPENDIENTE AMOBLADA Y EQUIPADA COMEDOR DE DIARIO. ORIENTACIÓN; NOR ORIENTE CUARTO PISO SIN ASCENSOR DERECHO A USO DE ESTACIONAMIENTO Y DE BODEGA COMÚN. GASTOS COMUNES $60.000 CONTRIBUCIONES $40.000 VALOR DE VENTA $175.000.000 EJECUTIVO DE VENTAS; ALEJANDRA TORRES alejandra@propiedadesnv.cl cel +569 90331946 Estacionamientos y bodegas Estacionamientos: 1 Bodegas: 1"
"portal inmobiliario","Santiago","5527822","Aparment","...","127 m²","3","2","1","6.600 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5527822-santiago-centro-catedral-amplitud-y-calidad-uda#position=20&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Excelente departamento de constructora Danacorp excelente nivel de construcción y terminaciones. La arquitectura brinda el máximo aprovechamiento de espacios y excelente distribución. Espectacular orientación nor-oriente. Recibo con piso en porcelanato. Magnífica terraza para living comedor y dormitorio principal. Cocina tradicional con piso en porcelanato cubiertas en granito comedor de diario placa encimera eléctrica horno empotrado y campana de 90 cms. con extracción forzada en la techumbre. Logia independiente con lavadero. Gran dormitorio principal en suite con ventana tipo bow-window walk-in closet y baño con ventilación y luz natural ademas cuenta con acumulador de calor eléctrico. Segundo y tercer dormitorio de muy buen tamaño. Amplio home office o estar familiar. Cuenta con 1 estacionamiento y 1 bodega. Edificio con accesos controlados estacionamientos de visitas. Inmerso en pleno Barrio Cívico de la ciudad. A pasos del Palacio de La Moneda y entidades gubernamentales en general. Hitos urbanos y culturales de reconocimiento de la ciudad de Santiago. Excelente conectividad. Núcleo político financiero y cultural de gran atractivo turístico. Servicios y comercio. Cercano al metro Santa Ana y autopista central. Terminaciones Piso baños: porcelanato Piso dormitorios: piso flotante Suministros Agua caliente: central agua caliente Características propiedad comedor de diario despensa escritorio hall loggia sala de estar terraza con malla cocina amoblada cocina equipada portón automático Características comunidad accesos controlados citófono estacionamiento de visitas portón eléctrico Gastos Gastos comunes: $ 140.000 Estacionamientos y bodegas Estacionamientos: 1 Bodegas: 1"
"portal inmobiliario","Santiago","23-04-2020","Aparment","Propiedades usadas","102 m²","3","3","2","6.498 UF","https://www.portalinmobiliario.com/MLC-524431690-departamento-en-venta-metro-principe-de-gales-_JM#position=17&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción FPV3207 Precioso departamento a pasos del Metro Príncipe de Gales  linda vista a la cordillera excelente conectividad  cercano a centros comerciales bancos colegios. Piso 5 orientación oriente -sur DISTRIBUCIÓN : Hall de acceso  living comedor juntos con salida a terraza cocina  loggia. 3 dormitorios  2 baños. Dormitorio principal en suite  baño con ventilación natural. El Dormitorio principal y el segundo dormitorio salen a una terraza. CARACTERÍSTICAS TÉCNICAS Y OTROS: Piso flotante ventanas termopanel 1 estacionamiento en superficie 1 bodega INFRAESTRUCTURA EDIFICIO: Piscina juegos infantiles acceso controlado conserje 24 horas"
"portal inmobiliario","Santiago","15-06-2020","Aparment","...","115 m²","3","3","3","6.390 UF","https://www.portalinmobiliario.com/MLC-532283592-departamento-en-venta-metro-santa-ana-_JM#position=8&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Luminoso y Amplio departamento - Inmejorable sector de Santiago Centro - Cerca Metro Santa Ana - 3 Dormitorios (principal en suite con walking closet) - 3 Baños - Home Office - Living comedor con salida a cómoda terraza - Cocina separada full equipamiento - Comedor de diario - Logia- Estacionamiento - Bodega - Condominio cerrado - Seguridad 24 hrs"
"portal inmobiliario","Santiago","10310","Aparment","Propiedades usadas","140 m²","3","3","2","155.000.000 $","https://www.portalinmobiliario.com/MLC-522359397-propiedad-en-sta-isabelportugal-gran-terraza-y-est-_JM#position=23&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Excelente departamento con GRAN TERRAZA ubicado en pleno barrio Santa Isabel a pasos de estación de Metro Santa Isabel. Departamento de tres dormitorios dos baños cocina semi americana agradable living comedor y terraza exclusiva de 75 metros cuadra"
"portal inmobiliario","Santiago","5626794","Aparment","Propiedades usadas","148 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5626794-carmen-602-uda#position=12&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Por Covid está restringido el acceso al edificio y efectuar mudanzas se volverá a mostrar apenas levanten cuarentena. Departamento único en su clase destaca por su gran terraza de 74m2 de uso exclusivo. Son 3 dormitorios 2 baños cocina independiente 1 estacionamiento. Gc: 100.000 Orientación: Nororiente Edificio con sala de eventos quincho piscina sala de informática sala de niños gimnasio... Ubicación cercana a Metro Línea 1 (santa lucia) Línea 3 (Parque Almagro y Matta) y Línea 5 (Santa Isabel) Se aceptan Ofertas Estacionamientos y bodegas Estacionamientos: 1"
"portal inmobiliario","Santiago","5545062","Aparment","...","115 m²","3","3","1","6.200 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5545062-santo-domingo-amunategui-uda#position=22&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Cod-Int: VD_FR Excelente departamento grande y luminoso. Hall de entrada living y comedor con terraza baño de visitas. Dormitorio principal en suite con closet grande y baño con ventana. Sala de estar. Dos dormitorios de buen tamaño con closet y baño completoCocina amplia con comedor  equipada  amoblada  logia y Piso flotante en todo el departamento terraza con malla. Muy buena conectividad metros Santa Ana Plaza de Armas y a minutos de la Autopista y todos los servicios.Piso 12. Características comunidad accesos controlados citófono estacionamiento de visitas gimnasio portón eléctrico sala de eventos sala de juegos Gastos Contribuciones: $ 100.000 Gastos comunes: $ 95.000 Características propiedad comedor de diario terraza con malla cocina amoblada cocina equipada portón automático Características comunidad accesos controlados citófono estacionamiento de visitas portón eléctrico sala de eventos sala de juegos Estacionamientos y bodegas Estacionamientos: 1 Bodegas: 1"
"portal inmobiliario","Santiago","5615645","Aparment","Propiedades usadas","148 m²","3","2","1","4.900 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5615645-carmen-argomedo-uda#position=11&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Por Covid está restringido el acceso al edificio y efectuar mudanzas se volverá a mostrar apenas levanten cuarentena. Departamento único en su clase destaca por su gran terraza de 74m2 de uso exclusivo. Son 3 dormitorios 2 baños cocina independiente 1 estacionamiento. Gc: 100.000 Edificio con sala de eventos quincho piscina sala de informática sala de niños gimnasio... Ubicación cercana a Metro Línea 1 (santa lucia) Línea 3 (Parque Almagro y Matta) y Línea 5 (Santa Isabel) Se aceptan Ofertas Características comunidad accesos controlados áreas verdes circuito cerrado de tv citófono estacionamiento de visitas gimnasio juegos infantiles piscina portón eléctrico quincho sala de eventos sala de juegos sauna Gastos Gastos comunes: $ 100.000 Estacionamientos y bodegas Estacionamientos: 1"
"portal inmobiliario","Santiago","5554080","Aparment","...","124.25 m²","3","2","1","6.200 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5554080-catedral-1310-uda#position=21&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Catedral con Teatinos excelente ubicación Inmobiliaria Danacorp Departamento de 3 dormitorios hall de entrada cocina independiente con comedor de diario loggia living comedor junto sala de estar baño principal con luz y ventilación natural Espectacular hall de acceso de más de 3 mts. de altura y recepción finamente amoblada. Gran conserjería para control de acceso con vista hacia la calle. 3 amplios ascensores Mitsubishi con sincronización simultánea grupo electrógeno de emergencia para los tres ascensores y algunos espacios comunes 2 salas multiuso y una sala de juegosGimnasio equipado Lavandería panorámica en último piso Oficina de administración Baños para personal de servicio Amplios pasillos con luz y ventilación natural Circuito cerrado de TV en accesos y ascensores Aislación térmica en muros exteriores Central de agua caliente con remarcadores individuales. Jeannette Pino + 56946198454 jpino@servi-propiedades.cl . Terminaciones Piso baños: cerámica Piso dormitorios: alfombra Suministros Agua caliente: central agua caliente Calefacción: otro Características propiedad comedor de diario hall loggia sala de estar terraza con malla cocina amoblada cocina equipada portón automático Características comunidad accesos controlados circuito cerrado de tv citófono estacionamiento de visitas gimnasio portón eléctrico sala de eventos Estacionamientos y bodegas Estacionamientos: 1 Bodegas: 1"
"portal inmobiliario","Santiago","5692448","Aparment","...","113 m²","3","3","1","6.350 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5692448-santo-domingo-1457-departamento-209-uda#position=24&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Venta directa sin comisión Depto. con alarma gran terraza cerrada con acceso desde living y dormitorio principal cocina tradicional amoblada equipada y comedor de diario muebles más mesón adicionales todas las cubiertas de granito logia independiente con lavadero. Dormitorio principal en suite con walk-in closet 2 amplios dormitorios con closets con puertas abatibles 2 baños completos y 1 de visitas los 3 baños con cubierta de mármol. Living comedor y dormitorios con piso fotolaminado. Porcelanato en hall de acceso sala de estar cocina y baño de visitas. Puerta para separación de ambientes. Orientación nor-oriente con hermosa vista a jardines interiores cercanos. Incluye bodega grande y estacionamiento juntos en subterráneo. Edificio saneado bajo administración externa."
"portal inmobiliario","Santiago","23-04-2020","Aparment","...","100 m²","3","3","2","4.880 UF","https://www.portalinmobiliario.com/MLC-524430254-departamento-en-venta-plaza-de-armas-_JM#position=18&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Metro Bellas Artes cerca de la Plaza de Armas consta de hall de acceso living comedor con lindo piso de parquet 3 amplios dormitorios dos baños mas servicios completos no tiene terraza ni bodega si tiene estacionamiento."
"portal inmobiliario","Santiago","24-04-2020","Aparment","...","100 m²","3","3","2","140.000.000 $","https://www.portalinmobiliario.com/MLC-524505231-departamento-en-venta-plaza-de-armas-_JM#position=14&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Metro Bellas Artes cerca de la Plaza de Armas consta de hall de acceso living comedor con lindo piso de parquet 3 amplios dormitorios dos baños mas servicios completos no tiene terraza ni bodega si tiene estacionamiento."
"portal inmobiliario","Santiago","24-04-2020","Aparment","Propiedades usadas","110 m²","3","3","2","6.900 UF","https://www.portalinmobiliario.com/MLC-524505200-departamento-en-venta-bosques-de-la-piramide-_JM#position=15&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Impecable departamento con vista despejada en condominio consolidado a minutos de Vitacura!! Amplio hall de acceso living comedor juntos con salida a una amplia terraza con vista 3 dormitorios amplio dormitorio en suite con estar 2 baños en suite bodega y estacionamiento. Edificio con piscina sala de eventos jardines quincho seguridad 24/7."
"portal inmobiliario","Santiago","18-06-2020","Aparment","Propiedades usadas","129 m²","3","3","2","6.200 UF","https://www.portalinmobiliario.com/MLC-532823633-departamento-en-venta-el-embalse-_JM#position=7&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción FPE1872 Excelente departamento como nuevo año 2019. Amplios y luminosos espacios. Gran terraza con quincho y vista a Santiago. Cocina incorporada full con encimera horno eléctrico. Edificio cuenta con piscina jardines sala de eventos gimnasio. Cerca de colegios supermercados locomoción. Muy buena conectividad. No dejar de ver."
"portal inmobiliario","Santiago","5685766","Aparment","Propiedades usadas","100 m²","3","2","1","4.950 UF","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5685766-universidad-andres-bello-gorbea-uda#position=4&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Estupendo departamento de 100 mts.2 Nororiente 1er piso excelente ubicación y conectividad cercano a avenidas principales a pocas cuadras de estación Metro Unión Latinoamericana colegios universidades centros culturales supermercados restaurants y a comercio en general. Muy buena distribución amplios espacios luminoso y acogedor. Consta de ampla suite baño con luz natural walk.in closet. 2 domitorios más de buenas dimensiones y un 2do baño completo. Acogedora Cocina equipada con salida a loggia. Cómodo Living Comedor con salida a linda terraza. 1 Estacionamiento y 1 .Bodega. El Edificio cuenta con Piscina Gimnasio Quincho y Sala Multiuso. Estricto Control de Acceso 24/7 Gastos Comunes: $80.000.- Estacionamientos y bodegas Estacionamientos: 1 Bodegas: 1"
"portal inmobiliario","Santiago","5632184","Aparment","Propiedades usadas","135 m²","3","2","1","152.000.000 $","https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5632184-a-3-cuadras-del-metro-santa-isabel-uda#position=10&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045","Descripción Código Interno: StgoC_216 Amplio Departamento con 3 dormitorios (principal en suite) 2 baños y terraza. •65 m2 útiles / 135 m2 totales. •Posee una amplia terraza con salida en el living-comedor y por dormitorio principal. •Piso 14. Orientación Sur-Oriente. •Cocina americana cubierta de melanina equipada con: encimera a gas horno eléctrico y campana. Posee conexión para lavadora. •Piso flotante en el living-comedor y dormitorios; cerámica en baños y cocina; baldosa en terraza. •Posee estacionamiento. Edificio de 24 pisos cuenta con: áreas verdes juegos para niños sala multiuso sala de reuniones gimnasio piscina quincho seguridad 24 horas 4 ascensores lavandería y estacionamiento de visitas. Excelente ubicación y conectividad a 3 cuadras del Metro Santa Isabel. Todos los servicios cerca: A pasos del Transantiago supermercados Universidades Comercio Farmacias Colegios Bancos gimnasios y todo tipo de servicios. Calles cercanas: Avenida Portugal Santa Isabel Vicuña Mackenna. Gastos comunes: $115.000. aprox. Incluye agua caliente. Para más información ver: http://www.corredorpro.cl/listing/amplio-depto-con-3d-2b-y-terraza-a-3-cuadras-del-metro-santa-isabel/ Para una mejor atención en su consulta favor indicar código interno de propiedad: StgoC_216  y si desea agendar visita agregar alternativas de días y horarios disponibles. Convenios con Instituciones Financieras para otorgamiento de Crédito Hipotecario. Para mayor información dirigirse a http://www.corredorpro.cl o contáctenos al mail: contacto@corredorpro.cl o al teléfono: 981575750. Estacionamientos y bodegas Estacionamientos: 1"
