Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 110","Dormitorios: 3","Baños: 2","","$140.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76458549-6L0-1435.html","departamento remodelado en pleno centro de santiago de 110 metros cuadrados aproximados. cercano a metro bellas artes y metro santa lucia a pasos de plaza de armas municipalidad de santiago mall vivo imperio. apto para uso residencial o comercial. cuenta con 3 dormitorios y 2 baños ambos en suite. living comedor con orientación norte. cocina tradicional. pisos cerámicos en baños y cocina. piso parquet en dormitorios living y pasillos. termo para agua caliente. no tiene estacionamiento ni bodega. gastos comunes: $ 90.000 aproximados. contribuciones: $ 41.000 aproximados. más información: contacto@hrcorredores.com / +562 2233 2482 / +569 4286 8578 / +569 4286 8580 ejecutiva: denisse osorio / dosorio@hrcorredores.com / +569 4286 8580"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 110","Dormitorios: 4","Baños: 3","","$160.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76888194-4L0-102028679.html","se vende excelente departamento con patio para remodelar. ubicado en un barrio privilegiado del sector parque o´higgins a pasos del movistar arena de fantasilandia del campus beauchef de la universidad de chile. el depto. cuenta con una superficie total de 160m² (110 mts. construidos y 50 mts de patio aprox) ubicado en un primer piso con un acogedor patio. tiene 3 dormitorios amplios con dos baños más un dormitorio y baño de servicio. living comedor de gran tamaño cocina tradicional patio de luz bodega y lavadero. tiene parquet en todo el departamento. no tiene estacionamiento. edificio de 4 pisos un depto. por piso."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 146","Dormitorios: 4","Baños: 2","","$139.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76490091-kL0-72.html","amplio departamento en primer piso con entrada independiente. excelente ubicación en santiago; cercano a autopista central y el sol metro rondizzoni y nueva línea 6. cuenta con living y comedor separados amplia cocina con comedor de diario patio de luz de 12 mts2. cuatro dormitorios y dos baños. departamento sin gastos comunes ni contribuciones. agenda una visita con nativo propiedades."
"propiedades emol","Santiago","Fecha publicación: 2020-07-02","Aparment","","M2 construidos: 118","Dormitorios: 3","Baños: 2","","$190.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76917568-7L0-30.html","p.a.p se vende departamento comuna de santiago. 3d - 2 baños hermoso departamento que corresponde a un edificio de 4 pisos de varios años de antigüedad con hall de acceso y escaleras no posee ascensor se encuentra en muy buen estado de conservación ubicado en 4 piso con orientación poniente - oriente posee living comedor cocina independiente pieza de servicio con baño 3 dormitorios todos de gran tamaño y dos baños. cercanías a área comercial y a paseo bulnes. posee recepción final."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 118","Dormitorios: 4","Baños: 3","","$160.000.000","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76458549-6L0-1505.html","amplio y cómodo departamento de 118 metros cuadrados aproximados en pleno barrio universitario a sólo 1 cuadra de metro toesca y a 3 cuadras del metro los héroes. cuenta con 4 dormitorios y 3 baños. todos los dormitorios con closets; dormitorio principal con baño en el pasillo más 2 dormitorios amplios con baño incluido más un cuarto dormitorio. espacioso living comedor y enorme cocina con despensa. piso de parquet. único departamento en el cuarto piso del edificio. departamento tiene orientación poniente hacia un patio central del edificio. muy tranquilo y seguro. no incluye estacionamiento tiene bodega en la azotea. edificio sólido construido en los años 60 sin ascensor. gastos comunes: $ 35.000 aproximados. contribuciones: $ 95.000 aproximados. un bello lugar para vivir! más información: contacto@hrcorredores.com / +562 2233 2482 / +569 4286 8578 /+569 7775 3437 ejecutiva: laura cabeza moyano / lcabeza@hrcorredores.com / +569 77753437"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 100","Dormitorios: 3","Baños: 2","","$140.000.001","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR99524100-5L0-102003224.html","departamento en santiago centro santo domingo a una cuadra metro plaza de armas l5 y próxima combinación l3 carcateristicas 100 m2 3 dormitorios 2 baños living comedor cocina tradicional pieza de servicio con baño todos los dormitorios tienen doble ventana. llamar a lpm gestión 222200412 cod 3224."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 110","Dormitorios: 3","Baños: 2","","4.585 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR89036300-8L0-45482.html","www. procasa.cl baeza (código interno 43638) acepta oferta metro bellas artes // santiago centro - plaza de armas. excelente oficina en santiago centro. uso para oficina o habitacional con -3 privado 2 baños- cocina a pasos del plaza de armas restaurantes cafés y comercio en general. con ascensor. se encuentra disponible - vacio"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 150","Dormitorios: 6","Baños: 3","","6.500 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-6-dormitorios-3-banos-codR76105406-6L0-45427.html","www.procasa.cl mauricio pino propiedades. código 45427. vende gran departamento de 6 dormitorios 3 baños gran living comedor amplia cocina edificio neo-clásico de estilo francés. increíble inmueble en excelente estado con pisos de parque hall de acceso gran living comedor gran cocina amplio dormitorio en suite grandes dormitorios baño y baño de visita. amplios closets y despensa. edificio con hermosa arquitectura neoclásica. a pasos de metro moneda y eje bulnes. cercano a comercio servicios y parque almagro. gastos comunes de $90.000 aprox.- contribuciones $155.000 aprox.-"
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 104","Dormitorios: 4","Baños: 2","","5.500 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76545471-9L0-40259.html","procasa centro santiago (ag): vende espacioso dpto metro o´higgins con gran terraza cocina tradicional piso flotante dormitorio en suite. cercano a colegios universidades farmacias mini market. hermosa vista. ubicado a sólo una cuadra de la av. viel. cuenta con estacionamiento. sin bodega."
"propiedades emol","Santiago","Fecha publicación: 2020-07-07","Aparment","","M2 construidos: 100","Dormitorios: 3","Baños: 2","","5.240 UF","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76063424-7L0-102035059.html","100/160 m2 aprox. primer piso con patio!! es un departamento por piso. edificio de 3 pisos. hall de entrada living comedor 3 dormitorios 2 baños pieza de servicio más baño de servicio cocina logia grande patio de luz.tiene parquet en todo el departamento en muy buen estado.1 bodegano estacionamientoexcelente conectividad cercano a supermercados metros toesca parque o´higgins."
