Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
"toctoc","Santiago","11/6/2020","Aparment","","0 m²","3","2","","UF  6.580","https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/tucapel-jimenez-56-dp-508-santiago/1495141?o=resultado_lista_seo_info","propiedad estilo retro único en su tipo en el barrio con amplios espacios y terrazas independientes. pisos de parquet. gran vista con orientación norte en quinto piso. ubicado convenientemente cercano a las estaciones de metro moneda y los héroes. 2 ascensores y 1 montacargas. opción de arriendo de estacionamiento y bodega directo con la administración. gastos comunes: entre $80.000 y $90.000 contribuciones de $102.000venta directa con el dueño"
"toctoc","Santiago","1/7/2020","Aparment","","122 m²","4","2","","$  175.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/av-alameda/1507693?o=resultado_lista_seo_info","propiedad es un departamento ubicado en subterráneo recientemente remodelado 1 hall acceso 1 privado 2 baño 1 cocina 2 dormitorios y 1 estar. inmueble de planta regular se ubica dentro de un edificio de 4 pisos y 1 subterráneo. departamento tiene acceso a patio central se accede por escalera principal del edificio. con vista hacia patio interior edificio y calle fanor velasco. edificio donde se emplaza inmueble es de fachada continua no cuenta con estacionamiento o bodega. inmueble se ubica en la vereda oriente a mitad de cuadra inserto dentro del sector centro de santiago para visitas llamar a lpm gestión al 22 22 00 412 id"
"toctoc","Santiago","13-02-2020","Aparment","","144 m²","3","2","","$  180.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/tucapel-jimenez-antiguo/1421760?o=resultado_lista_seo_info","amplio y elegante departamento silencioso y en una de las mejores ubicaciones de santiago. a pasos de metro moneda. y los héroes. hall de distribución living con pequeña terraza comedor separado por puerta de madera y vidrio. tres dormitorios grandes dos baños principal con ventana. más dormitorio y baño de servicio. baño principal con conexión a lavadora. edificio de la década del cincuenta con ascensores conserjería las 24 horas patio central interior amplios corredores con terminaciones de la época opción de arrendar estacionamiento y bodega con la administración. gastos comunes: $70.000 (inlcuye agua)"
"toctoc","Santiago","6/7/2020","Aparment","","120 m²","4","3","","UF  4.850","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/departamento-en-nataniel-cox/1511181?o=resultado_lista_seo_info","departamento con orientación poniente en nataniel cox santiago. tiene 3 habitaciones 2 baños más servicios completos living – comedor cocina independiente y amoblada. ubicado a 10 minutos de metro parque almagro y parque o’higgins. cercano a parque hospital supermercados y comercio en general. contáctanos y te ayudamos a gestionar tu crédito hipotecario contacto: +569 53485973"
"toctoc","Santiago","27-06-2020","Aparment","","100 m²","3","2","","UF  6.271","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/lastarria-acogedor-parque-forestal/1505970?o=resultado_lista_seo_info","lindísimo departamento en primera línea de parque forestal espacios muy amplios. totalmente remodelado pisos de madera original pulidos y vitrificados. edificio de 1938 de excelente construcción. bajos gastos comunes y contribuciones. excelente distribución gran walking closet. muy luminoso. orientación norte oriente y sur. el uso es comercial y/o habitacional zona turística por excelencia dentro del parque forestal de santiago áreas verdes deportes y esparcimiento junto a vida urbana de gran cantidad de restaurantes hoteles bares y muy buen cine en lastarria"
"toctoc","Santiago","13-05-2020","Aparment","","110 m²","3","2","","$  140.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/san-antonio-merced/1478650?o=resultado_lista_seo_info","departamento remodelado en pleno centro de santiago de 110 metros cuadrados aproximados. cercano a metro bellas artes y metro santa lucia a pasos de plaza de armas municipalidad de santiago mall vivo imperio. apto para uso residencial o comercial. cuenta con 3 dormitorios y 2 baños ambos en suite. living comedor con orientación norte. cocina tradicional. pisos cerámicos en baños y cocina. piso parquet en dormitorios living y pasillos. termo para agua caliente. no tiene estacionamiento ni bodega. gastos comunes: $ 90.000 aproximados. contribuciones: $ 41.000 aproximados. más información: contacto@hrcorredores.com / +562 2233 2482 / +569 4286 8578 / +569 4286 8580 ejecutiva: denisse osorio / dosorio@hrcorredores.com / +569 4286 8580"
"toctoc","Santiago","27-03-2020","Aparment","","133 m²","5","3","","UF  6.570","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/vicuna-mackenna-con-irarrazaval/1451596?o=resultado_lista_seo_info","se vende amplio dpto de 133 mtsvicuña mackenna 836 esq. irarrázaval133 mts incluye terraza frontis de 11 mts aprox. y terraza trasera de similares características5 dormitorios: principal con piso parquet e incluye baño 4 dormitorios con piso flotantetodos los dormitorios incluyen closet y ventilación natural3 baños en totalliving comedor piso cerámicacocina amoblada incluye espacio lavadoraedificio de 4 pisos 3 departamentos por pisoconstrucción año 1950ubicación espectacular! en plena avenida vicuña mackenna esquina irarrázaval a menos de 5 minutos de estación de metro irarrázaval cercano a bancos supermercados comercio en general áreas verdes locomoción entre otros.gtos comunes $32.000 app incluye consumo de aguacontribuciones $100.000 app x cuotavalor venta 6.570 uf ($185.000.000 app) conversable!+ comisión corredora (2% sobre el valor de venta final+ iva)coordine sus visitas con ana maría al +56982487623 o al +56954317722"
"toctoc","Santiago","1/7/2020","Aparment","","165 m²","4","3","","$  160.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/vergara-y-blanco-encalada/1331987?o=resultado_lista_seo_info","se vende excelente departamento con patio para remodelar. ubicado en un barrio privilegiado del sector parque o´higgins a pasos del movistar arena de fantasilandia del campus beauchef de la universidad de chile. el depto. cuenta con una superficie total de 160m² (110 mts. construidos y 50 mts de patio aprox) ubicado en un primer piso con un acogedor patio. tiene 3 dormitorios amplios con dos baños más un dormitorio y baño de servicio. living comedor de gran tamaño cocina tradicional patio de luz bodega y lavadero. tiene parquet en todo el departamento. no tiene estacionamiento. edificio de 4 pisos un depto. por piso."
"toctoc","Santiago","27-04-2020","Aparment","","0 m²","4","3","","$  140.000.000","https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/vicuna-mackenna-265-31-santiago/1466616?o=resultado_lista_seo_info","departamento en excelente ubicación vicuña mackenna con marín a pasos del metro hospitales supermercados y colegios. excelente construcción de 3 dormitorios todos ellos con amplios closets 3 baños living comedor amplio y cocina grande con habitación de servicio y bodega."
"toctoc","Santiago","2/7/2020","Aparment","","107 m²","3","3","","UF  6.390","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/teatinos-amunategui/1003371?o=resultado_lista_seo_info","www.procasa.cl/// toro guzmán propiedades///en pleno centro de santiago cercano a metros y servicios en general. el departamento se distribuye de la siguiente forma: hall de distribución living comedor terraza dormitorio principal en suite dos dormitorio con baño cocina loggia baño de servicio."
