Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"chile propiedades","Santiago","TBD","Aparment","usada","100","3","2","2","100000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/metro-chile-espana-3d2b-100m2/2851002"
"chile propiedades","Santiago","TBD","Aparment","usada","105","4","3","1","TBD","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/beaucheff-club-hipico/3074057"
"chile propiedades","Santiago","TBD","Aparment","usada","135","3","2","1","152000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/santa-isabel/3769205"
"chile propiedades","Santiago","TBD","Aparment","usada","121","4","2","1","6450","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/duble-almeyda-2020/3666331"
"chile propiedades","Santiago","TBD","Aparment","usada","TBD","3","2","1","150000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/santiago-region-metropolitana/3642268"
"chile propiedades","Santiago","TBD","Aparment","usada","109","4","3","1","180000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/roman-diaz-785/3520129"
"chile propiedades","Santiago","TBD","Aparment","usada","100","3","2","2","6077","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/cristobal-colon-3770/2063268"
"chile propiedades","Santiago","TBD","Aparment","usada","140","4","3","1","5300","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/avenida-jose-pedro-alessandri/3627468"
"chile propiedades","Santiago","TBD","Aparment","usada","113","3","3","1","6350","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/departamento/santo-domingo-1457/3921977"
"chile propiedades","Santiago","TBD","House","usada","204","5","3","0","2376000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/rosas-2376/3921677"
"chile propiedades","Santiago","TBD","House","usada","200","3","3","1","TBD","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/calle-sanchez-fontecilla/3738766"
"chile propiedades","Santiago","TBD","House","usada","232","4","2","0","4938000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/los-sauces-4938/3928305"
"chile propiedades","Santiago","TBD","House","usada","150","4","3","1","136500","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/mar-infinito/3452704"
"chile propiedades","Santiago","TBD","House","usada","124","6","1","0","4629","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/portugalvictoria/3509039"
"chile propiedades","Santiago","TBD","House","usada","155","4","3","0","3321360000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/andes-2099/3321360"
"chile propiedades","Santiago","TBD","House","usada","100","3","2","0","148000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/portalescueto/2703733"
"chile propiedades","Santiago","TBD","House","usada","196","4","3","0","160000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/maipu/3920661"
"chile propiedades","Santiago","TBD","House","usada","240","4","4","0","180000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/canal-de-la-luz-5023/2673595"
"chile propiedades","Santiago","TBD","House","usada","290","4","4","1","180000","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/pje-el-alcanfor-8626/3747227"
"chile propiedades","Santiago","TBD","House","usada","363","3","2","1","5690","https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/condominio-las-brisas-norte-chicureo/2906797"
