Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"icasas","Santiago","TBD","Aparment","TBD","120m2","3 Dormitorios","2 Baños","TBD","UF 5.850,26","https://www.icasas.cl/propiedad/428906"
"icasas","Santiago","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 5.049,34","https://www.icasas.cl/propiedad/325797"
"icasas","Santiago","TBD","Aparment","TBD","107m2","3 Dormitorios","3 Baños","TBD","UF 6.163,67","https://www.icasas.cl/propiedad/339402"
"icasas","Santiago","TBD","Aparment","TBD","100m2","3 Dormitorios","2 Baños","TBD","UF 4.875,22","https://www.icasas.cl/propiedad/314517"
"icasas","Santiago","TBD","Aparment","TBD","133m2","5 Dormitorios","3 Baños","TBD","UF 6.570","https://www.icasas.cl/propiedad/427862"
"icasas","Santiago","TBD","Aparment","TBD","140m2","3 Dormitorios","2 Baños","TBD","UF 6.268,14","https://www.icasas.cl/propiedad/413567"
"icasas","Santiago","TBD","Aparment","TBD","104m2","4 Dormitorios","2 Baños","TBD","UF 5.495,21","https://www.icasas.cl/propiedad/338283"
"icasas","Santiago","TBD","Aparment","TBD","150m2","3 Dormitorios","2 Baños","TBD","UF 6.616,37","https://www.icasas.cl/propiedad/402204"
"icasas","Santiago","TBD","Aparment","TBD","111m2","4 Dormitorios","3 Baños","TBD","UF 6.929,78","https://www.icasas.cl/propiedad/411851"
"icasas","Santiago","TBD","Aparment","TBD","124m2","3 Dormitorios","2 Baños","TBD","UF 4.352,88","https://www.icasas.cl/propiedad/429926"
"icasas","Santiago","TBD","Aparment","TBD","115m2","3 Dormitorios","3 Baños","TBD","UF 6.390","https://www.icasas.cl/propiedad/321450"
"icasas","Santiago","TBD","House","TBD","104m2","4 Dormitorios","1 Baño","TBD","UF 4.979,69","https://www.icasas.cl/propiedad/468773"
"icasas","Santiago","TBD","House","TBD","147m2","4 Dormitorios","2 Baños","TBD","UF 4.370","https://www.icasas.cl/propiedad/421443"
"icasas","Santiago","TBD","House","TBD","110m2","4 Dormitorios","1 Baño","TBD","UF 5.919,91","https://www.icasas.cl/propiedad/156432"
"icasas","Santiago","TBD","House","TBD","140m2","4 Dormitorios","1 Baño","TBD","UF 5.919,91","https://www.icasas.cl/propiedad/156670"
"icasas","Santiago","TBD","House","TBD","129m2","3 Dormitorios","1 Baño","TBD","UF 6.964,6","https://www.icasas.cl/propiedad/406693"
"icasas","Santiago","TBD","House","TBD","161m2","4 Dormitorios","3 Baños","TBD","UF 6.233,32","https://www.icasas.cl/propiedad/411796"
"icasas","Santiago","TBD","House","TBD","100m2","3 Dormitorios","3 Baños","TBD","UF 4.109,11","https://www.icasas.cl/propiedad/410927"
"icasas","Santiago","TBD","House","TBD","137m2","5 Dormitorios","3 Baños","TBD","UF 6.750","https://www.icasas.cl/propiedad/410295"
"icasas","Santiago","TBD","House","TBD","250m2","4 Dormitorios","3 Baños","TBD","UF 5.200","https://www.icasas.cl/propiedad/428858"
"icasas","Santiago","TBD","House","TBD","180m2","5 Dormitorios","2 Baños","TBD","UF 5.583","https://www.icasas.cl/propiedad/346762"
"icasas","Santiago","TBD","House","TBD","100m2","5 Dormitorios","2 Baños","TBD","UF 4.819","https://www.icasas.cl/propiedad/406209"
"icasas","Santiago","TBD","House","TBD","166m2","5 Dormitorios","2 Baños","TBD","UF 6.616,37","https://www.icasas.cl/propiedad/386755"
"icasas","Santiago","TBD","House","TBD","163m2","4 Dormitorios","2 Baños","TBD","UF 4.178,76","https://www.icasas.cl/propiedad/444032"
"icasas","Santiago","TBD","House","TBD","140m2","5 Dormitorios","2 Baños","TBD","UF 4.422,52","https://www.icasas.cl/propiedad/437336"
"icasas","Huechuraba","TBD","Aparment","TBD","123m2","3 Dormitorios","3 Baños","TBD","UF 6.200","https://www.icasas.cl/propiedad/307983"
"icasas","Huechuraba","TBD","Aparment","TBD","105m2","3 Dormitorios","2 Baños","TBD","UF 4.600","https://www.icasas.cl/propiedad/436931"
