Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"propiedades emol","Santiago","07/07/2020","Aparment","usada","110","3","2","0","4861","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76458549-6L0-1435.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","110","4","3","0","5555","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76888194-4L0-102028679.html"
"propiedades emol","Santiago","07/07/2020","Aparment","nueva","146","4","2","0","4826","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76490091-kL0-72.html"
"propiedades emol","Santiago","07/02/2020","Aparment","usada","118","3","2","0","6597","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76917568-7L0-30.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","118","4","3","0","5555","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76458549-6L0-1505.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","100","3","2","0","4861","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR99524100-5L0-102003224.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","110","3","2","0","4585","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR89036300-8L0-45482.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","150","6","3","0","6500","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-6-dormitorios-3-banos-codR76105406-6L0-45427.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","104","4","2","1","5500","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR76545471-9L0-40259.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","100","3","2","0","5240","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76063424-7L0-102035059.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","120","4","3","0","4850","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-3-banos-codR76354394-3L0-9489.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","124","4","2","0","5200","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-codR76063424-7L0-102033208.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","122","4","2","0","6076","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-4-dormitorios-2-banos-codR99524100-5L0-102004203.html"
"propiedades emol","Santiago","07/07/2020","Aparment","usada","110","3","2","0","4861","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-santiago-3-dormitorios-2-banos-codR76487228-2L0-102168526.html"
"propiedades emol","Santiago","07/07/2020","House","usada","125","3","2","1","5902","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-3-dormitorios-2-banos-codR76269273-2L0-46154.html"
"propiedades emol","Santiago","07/07/2020","House","usada","133","4","2","0","4166","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-4-dormitorios-2-banos-codR12262647-4L0-57363.html"
"propiedades emol","Santiago","07/07/2020","House","usada","132","3","1","0","5555","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-3-dormitorios-1-bano-codR76888194-4L0-101027316.html"
"propiedades emol","Santiago","07/07/2020","House","usada","200","9","4","0","6250","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-9-dormitorios-4-banos-codR76088255-0L0-121.html"
"propiedades emol","Santiago","07/07/2020","House","usada","112","5","1","0","4861","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-5-dormitorios-1-bano-codR24095969-0L0-101009702.html"
"propiedades emol","Santiago","07/07/2020","House","usada","255","13","2","0","5902","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-13-dormitorios-2-banos-codR76671290-8L0-FSC4604.html"
"propiedades emol","Santiago","07/07/2020","House","usada","130","6","1","0","4629","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-6-dormitorios-1-bano-codR96912310-kL0-101028245.html"
"propiedades emol","Santiago","07/07/2020","House","usada","200","3","2","0","6460","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-3-dormitorios-2-banos-codR76079463-5L0-101069706.html"
"propiedades emol","Santiago","07/07/2020","House","usada","120","6","3","0","6450","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-6-dormitorios-3-banos-codR7970479-2L0-5548923.html"
"propiedades emol","Santiago","07/07/2020","House","usada","175","5","1","0","4513","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-5-dormitorios-1-bano-codR99524100-5L0-101002972.html"
"propiedades emol","Santiago","07/07/2020","House","usada","159","4","4","0","6180","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-4-dormitorios-4-banos-codR76435978-kL0-4962227.html"
"propiedades emol","Santiago","07/07/2020","House","usada","166","5","2","0","6597","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-5-dormitorios-2-banos-codR76671290-8L0-FSC4336.html"
"propiedades emol","Santiago","07/07/2020","House","usada","161","4","3","0","6215","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-santiago-4-dormitorios-3-banos-codR24095969-0L0-101009429.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","nueva","123","3","3","1","6200","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-3-dormitorios-3-banos-codR96677950-0L2-102011827.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","usada","126","3","3","0","6250","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-3-dormitorios-3-banos-codR96912310-kL0-102026524.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","usada","102","3","2","0","5900","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-3-dormitorios-2-banos-codR76394820-kL0-46810.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","usada","130","4","3","1","6850","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-4-dormitorios-3-banos-codR76105406-6L0-43975.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","usada","130","3","2","1","6700","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-3-dormitorios-2-banos-codR24095969-0L0-102010163.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","usada","130","3","2","1","6700","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-3-dormitorios-2-banos-codR24095969-0L0-102010214.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","usada","101","3","3","0","6150","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-3-dormitorios-3-banos-codR76545471-9L0-46113.html"
"propiedades emol","Huechuraba","07/07/2020","Aparment","usada","102","3","3","2","6350","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-huechuraba-3-dormitorios-3-banos-codR76039513-7L0-102707292.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","124","4","3","0","6289","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR24095969-0L0-101010079.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","110","3","3","1","5500","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR76888194-4L0-101032808.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","128","4","3","2","6000","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR96677950-0L2-101012555.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","122","4","3","2","5600","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR76039513-7L0-101658984.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","128","4","3","1","6000","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR76671290-8L0-FSC3656.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","130","3","3","1","6000","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR78115880-1L5-FPV3803.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","108","5","2","0","4500","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-5-dormitorios-2-banos-codR76877714-4L0-8814.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","180","6","4","1","5500","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-6-dormitorios-4-banos-codR96677950-0L2-101015097.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","128","3","3","1","5400","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR76987575-1L0-101005309.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","130","4","3","2","5590","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR76888194-4L0-101032784.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","140","4","3","1","6000","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR96677950-0L2-101015133.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","128","4","3","0","5833","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR96912310-kL0-101028484.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","122","3","3","1","5600","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR96912310-kL0-101026532.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","140","4","3","0","5700","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR96677950-0L2-101015046.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","170","4","4","2","5800","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-4-banos-codR96677950-0L2-101014186.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","120","5","3","1","5500","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-5-dormitorios-3-banos-codR76545471-9L0-46869.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","140","5","3","2","5600","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-5-dormitorios-3-banos-codR96677950-0L2-101014164.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","139","4","3","1","6400","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR24095969-0L0-101009916.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","137","4","3","2","6100","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR96677950-0L2-101014489.html"
"propiedades emol","Huechuraba","07/07/2020","House","usada","121","3","3","0","5520","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-3-dormitorios-3-banos-codR76269273-2L0-43456.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","115","3","2","1","6458","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR77732750-kL0-FLR1829.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","","3","2","2","6200","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76888194-4L0-102036388.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","100","4","3","1","5800","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-4-dormitorios-3-banos-codR76888194-4L0-102030835.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","100","3","2","2","5700","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76063424-7L0-102034930.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","106","3","2","2","6200","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76888194-4L0-102033238.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","104","4","2","2","4166","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-4-dormitorios-2-banos-codR76754600-9L0-5612338.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","100","3","2","1","6250","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76269273-2L0-40528.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","","3","2","2","6600","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR79797170-7L0-927654.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","100","3","2","2","5750","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76430403-9L0-5645132.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","101","3","2","1","6985","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76458549-6L0-1436.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","101","3","2","1","6985","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76458549-6L0-1346.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","115","4","2","2","6700","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-4-dormitorios-2-banos-codR88193000-5L0-5534098.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","100","4","2","1","3993","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-4-dormitorios-2-banos-codR76888194-4L0-102032631.html"
"propiedades emol","Nunoa","07/02/2020","Aparment","usada","110","3","2","2","6443","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76917568-7L0-94.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","110","3","2","2","6423","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76888194-4L0-102033622.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","110","3","2","2","6150","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR76458549-6L0-1426.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","nueva","","3","2","2","6700","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR77060557-1L0-937660.html"
"propiedades emol","Nunoa","07/07/2020","Aparment","usada","109","3","2","2","6398","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-3-dormitorios-2-banos-codR24095969-0L0-102009115.html"
"propiedades emol","Nunoa","07/02/2020","Aparment","usada","100","4","3","1","6400","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-nunoa-4-dormitorios-3-banos-codR76917568-7L0-55.html"
"propiedades emol","Nunoa","07/07/2020","House","usada","100","5","4","1","6500","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-nunoa-5-dormitorios-4-banos-codR76088255-0L0-49.html"
"propiedades emol","Nunoa","07/07/2020","House","usada","112","3","2","2","6769","https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-nunoa-3-dormitorios-2-banos-codR76269273-2L0-42027.html"
"propiedades emol","Providencia","07/07/2020","Aparment","usada","117","3","2","0","6950","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-providencia-3-dormitorios-2-banos-codR96677950-0L0-102015112.html"
"propiedades emol","Providencia","07/07/2020","Aparment","usada","105","3","3","2","6770","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-providencia-3-dormitorios-3-banos-codR86280100-8L0-4588606.html"
"propiedades emol","Providencia","07/07/2020","Aparment","usada","100","3","2","1","6100","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-providencia-3-dormitorios-2-banos-codR76565409-2L0-102001684.html"
"propiedades emol","Providencia","07/07/2020","Aparment","usada","100","3","2","0","6714","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-providencia-3-dormitorios-codR76063424-7L0-102035488.html"
"propiedades emol","Providencia","07/07/2020","Aparment","usada","","3","2","1","5902","https://www.propiedades.emol.com/propiedad/ficha/departamento-en-venta-en-providencia-3-dormitorios-codR76349891-3L0-921547.html"
