Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
"toctoc","Santiago","11/2/2020","Aparment","TBD","105 m²","4.0","2.0","TBD","$  148.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/alameda-libertador-bernardo-o-higgins/1419998?o=resultado_lista_seo_info"
"toctoc","Santiago","11/6/2020","Aparment","TBD","0 m²","3.0","2.0","TBD","UF  6.580","https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/tucapel-jimenez-56-dp-508-santiago/1495141?o=resultado_lista_seo_info"
"toctoc","Santiago","1/7/2020","Aparment","TBD","122 m²","4.0","2.0","TBD","$  175.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/av-alameda/1507693?o=resultado_lista_seo_info"
"toctoc","Santiago","13-02-2020","Aparment","TBD","144 m²","3.0","2.0","TBD","$  180.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/tucapel-jimenez-antiguo/1421760?o=resultado_lista_seo_info"
"toctoc","Santiago","6/7/2020","Aparment","TBD","120 m²","4.0","3.0","TBD","UF  4.850","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/departamento-en-nataniel-cox/1511181?o=resultado_lista_seo_info"
"toctoc","Santiago","27-06-2020","Aparment","TBD","100 m²","3.0","2.0","TBD","UF  6.271","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/lastarria-acogedor-parque-forestal/1505970?o=resultado_lista_seo_info"
"toctoc","Santiago","13-05-2020","Aparment","TBD","110 m²","3.0","2.0","TBD","$  140.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/san-antonio-merced/1478650?o=resultado_lista_seo_info"
"toctoc","Santiago","27-03-2020","Aparment","TBD","133 m²","5.0","3.0","TBD","UF  6.570","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/vicuna-mackenna-con-irarrazaval/1451596?o=resultado_lista_seo_info"
"toctoc","Santiago","1/7/2020","Aparment","TBD","165 m²","4.0","3.0","TBD","$  160.000.000","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/vergara-y-blanco-encalada/1331987?o=resultado_lista_seo_info"
"toctoc","Santiago","27-04-2020","Aparment","TBD","0 m²","4.0","3.0","TBD","$  140.000.000","https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/vicuna-mackenna-265-31-santiago/1466616?o=resultado_lista_seo_info"
"toctoc","Santiago","2/7/2020","Aparment","TBD","107 m²","3.0","3.0","TBD","UF  6.390","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/teatinos-amunategui/1003371?o=resultado_lista_seo_info"
"toctoc","Santiago","7/7/2020","Aparment","TBD","100 m²","3.0","1.0","TBD","UF  6.200","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/parque-forestal/1511649?o=resultado_lista_seo_info"
"toctoc","Santiago","5/6/2020","Aparment","TBD","124,3 m²","3.0","2.0","TBD","UF  6.600","https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/catedral-esquina-teatinos/1405570?o=resultado_lista_seo_info"
