SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,MtTot,PriceUF,UFxMt2,ValueScore,Score,Link
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,2.0,0,120.0,5850,48,2400,410,https://www.icasas.cl/propiedad/428906
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,2.0,0,100.0,5049,50,2000,396,https://www.icasas.cl/propiedad/325797
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,3.0,1,107.0,6163,57,2782,451,https://www.icasas.cl/propiedad/339402
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,2.0,0,100.0,4875,48,2000,410,https://www.icasas.cl/propiedad/314517
20200707,icasas,Santiago,06/26/2020,Aparment,usada,5,3.0,0,133.0,6570,49,4256,647,https://www.icasas.cl/propiedad/427862
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,2.0,1,140.0,6268,44,3080,491,https://www.icasas.cl/propiedad/413567
20200707,icasas,Santiago,06/26/2020,Aparment,usada,4,2.0,1,104.0,5495,52,2704,492,https://www.icasas.cl/propiedad/338283
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,2.0,0,150.0,6616,44,3000,453,https://www.icasas.cl/propiedad/402204
20200707,icasas,Santiago,06/26/2020,Aparment,usada,4,3.0,1,111.0,6929,62,3330,480,https://www.icasas.cl/propiedad/411851
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,2.0,0,124.0,4352,35,2480,569,https://www.icasas.cl/propiedad/429926
20200707,icasas,Santiago,06/26/2020,Aparment,usada,3,3.0,1,115.0,6390,55,2990,467,https://www.icasas.cl/propiedad/321450
20200707,icasas,Santiago,06/26/2020,House,usada,4,2.0,0,147.0,4370,29,3528,807,https://www.icasas.cl/propiedad/421443
20200707,icasas,Santiago,06/26/2020,House,usada,4,1.0,0,110.0,5919,53,2200,371,https://www.icasas.cl/propiedad/156432
20200707,icasas,Santiago,06/26/2020,House,usada,4,1.0,0,140.0,5919,42,2800,473,https://www.icasas.cl/propiedad/156670
20200707,icasas,Santiago,06/26/2020,House,usada,3,1.0,0,129.0,6964,53,2064,296,https://www.icasas.cl/propiedad/406693
20200707,icasas,Santiago,06/26/2020,House,usada,4,3.0,0,161.0,6233,38,4508,723,https://www.icasas.cl/propiedad/411796
20200707,icasas,Santiago,06/26/2020,House,usada,5,3.0,1,137.0,6750,49,4658,690,https://www.icasas.cl/propiedad/410295
20200707,icasas,Santiago,06/26/2020,House,usada,5,2.0,0,180.0,5583,31,5040,902,https://www.icasas.cl/propiedad/346762
20200707,icasas,Santiago,06/26/2020,House,usada,5,2.0,0,100.0,4819,48,2800,581,https://www.icasas.cl/propiedad/406209
20200707,icasas,Santiago,06/26/2020,House,usada,5,2.0,0,166.0,6616,39,4648,702,https://www.icasas.cl/propiedad/386755
20200707,icasas,Santiago,06/26/2020,House,usada,4,2.0,0,163.0,4178,25,3912,936,https://www.icasas.cl/propiedad/444032
20200707,icasas,Santiago,06/26/2020,House,usada,5,2.0,0,140.0,4422,31,3920,886,https://www.icasas.cl/propiedad/437336
20200707,icasas,Huechuraba,06/26/2020,Aparment,nueva,3,3.0,1,123.0,6200,50,3198,515,https://www.icasas.cl/propiedad/307983
20200707,icasas,Huechuraba,06/26/2020,Aparment,nueva,3,2.0,2,105.0,4600,43,2520,547,https://www.icasas.cl/propiedad/436931
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,2.0,2,114.0,5630,49,2736,485,https://www.icasas.cl/propiedad/354784
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,2.0,2,130.0,6000,46,3120,520,https://www.icasas.cl/propiedad/396716
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,3.0,0,108.0,6700,62,2592,386,https://www.icasas.cl/propiedad/437128
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,3.0,0,101.0,6144,60,2424,394,https://www.icasas.cl/propiedad/434375
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,2.0,1,110.0,6900,62,2420,350,https://www.icasas.cl/propiedad/311404
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,3.0,0,126.0,6250,49,3024,483,https://www.icasas.cl/propiedad/302157
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,2.0,1,100.0,5300,53,2200,415,https://www.icasas.cl/propiedad/445273
20200707,icasas,Huechuraba,06/26/2020,Aparment,usada,3,2.0,0,108.0,4250,39,2160,508,https://www.icasas.cl/propiedad/413747
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,4.0,0,140.0,6490,46,4480,690,https://www.icasas.cl/propiedad/450013
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,4.0,1,129.0,6500,50,4386,674,https://www.icasas.cl/propiedad/379447
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,3.0,2,137.0,6100,44,4384,718,https://www.icasas.cl/propiedad/365146
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,3.0,1,139.0,6400,46,4170,651,https://www.icasas.cl/propiedad/431892
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,3.0,0,140.0,5700,40,3920,687,https://www.icasas.cl/propiedad/418881
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,3.0,1,128.0,6000,46,3840,640,https://www.icasas.cl/propiedad/315099
20200707,icasas,Huechuraba,06/26/2020,House,usada,3,3.0,1,139.0,6900,49,3614,523,https://www.icasas.cl/propiedad/399616
20200707,icasas,Huechuraba,06/26/2020,House,usada,5,4.0,0,158.0,6450,40,5688,881,https://www.icasas.cl/propiedad/427590
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,3.0,1,140.0,6000,42,4200,700,https://www.icasas.cl/propiedad/433421
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,4.0,0,140.0,6500,46,4480,689,https://www.icasas.cl/propiedad/469505
20200707,icasas,Huechuraba,06/26/2020,House,usada,5,3.0,0,120.0,5495,45,3840,698,https://www.icasas.cl/propiedad/467807
20200707,icasas,Huechuraba,06/26/2020,House,usada,3,3.0,1,130.0,6000,46,3380,563,https://www.icasas.cl/propiedad/416682
20200707,icasas,Huechuraba,06/26/2020,House,usada,4,4.0,2,170.0,5800,34,6120,1055,https://www.icasas.cl/propiedad/335756
20200707,icasas,Huechuraba,06/26/2020,House,usada,5,3.0,2,138.0,6950,50,4968,714,https://www.icasas.cl/propiedad/468911
20200707,icasas,Huechuraba,06/26/2020,House,usada,3,3.0,1,139.0,6500,46,3614,556,https://www.icasas.cl/propiedad/439458
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,3.0,1,100.0,5800,58,3000,517,https://www.icasas.cl/propiedad/376353
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,3.0,2,110.0,5885,53,3080,523,https://www.icasas.cl/propiedad/405349
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,3.0,1,104.0,7000,67,3120,445,https://www.icasas.cl/propiedad/423741
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,1,115.0,6477,56,2530,390,https://www.icasas.cl/propiedad/409154
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,3.0,1,126.0,6300,50,3780,600,https://www.icasas.cl/propiedad/329601
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,1,105.0,6000,57,2310,385,https://www.icasas.cl/propiedad/413252
20200707,icasas,Nunoa,06/26/2020,Aparment,nueva,3,2.0,2,100.0,6900,69,2400,347,https://www.icasas.cl/propiedad/386124
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,4,2.0,1,103.0,6300,61,2678,425,https://www.icasas.cl/propiedad/467486
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,1,100.0,6755,67,2200,325,https://www.icasas.cl/propiedad/357388
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,100.0,6616,66,2400,362,https://www.icasas.cl/propiedad/304943
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,125.0,6200,49,3000,483,https://www.icasas.cl/propiedad/454891
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,160.0,6900,43,3840,556,https://www.icasas.cl/propiedad/467071
20200707,icasas,Nunoa,06/26/2020,Aparment,usada,3,2.0,2,130.0,6253,48,3120,498,https://www.icasas.cl/propiedad/413242
