SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,PriceUF,MtTot,UFxMt2,ValueScore,Score,Link
20200707,toctoc,Santiago,11/06/2020,Aparment,usada,3,2,1,6580,115.5,56,2541,386,https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/tucapel-jimenez-56-dp-508-santiago/1495141?o=resultado_lista_seo_info
20200707,toctoc,Santiago,01/07/2020,Aparment,usada,4,2,0,6076,122.0,49,2928,481,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/av-alameda/1507693?o=resultado_lista_seo_info
20200707,toctoc,Santiago,02/13/2020,Aparment,usada,3,2,1,6250,144.0,43,3168,506,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/tucapel-jimenez-antiguo/1421760?o=resultado_lista_seo_info
20200707,toctoc,Santiago,06/07/2020,Aparment,usada,4,3,0,4850,120.0,40,3360,692,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/departamento-en-nataniel-cox/1511181?o=resultado_lista_seo_info
20200707,toctoc,Santiago,06/27/2020,Aparment,usada,3,2,0,6271,100.0,62,2000,318,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/lastarria-acogedor-parque-forestal/1505970?o=resultado_lista_seo_info
20200707,toctoc,Santiago,05/13/2020,Aparment,usada,3,2,0,4861,110.0,44,2200,452,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/san-antonio-merced/1478650?o=resultado_lista_seo_info
20200707,toctoc,Santiago,03/27/2020,Aparment,usada,5,3,0,6570,133.0,49,4256,647,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/vicuna-mackenna-con-irarrazaval/1451596?o=resultado_lista_seo_info
20200707,toctoc,Santiago,01/07/2020,Aparment,usada,4,3,0,5555,165.0,33,4620,831,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/vergara-y-blanco-encalada/1331987?o=resultado_lista_seo_info
20200707,toctoc,Santiago,04/27/2020,Aparment,usada,4,3,0,4861,115.5,42,3234,665,https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/vicuna-mackenna-265-31-santiago/1466616?o=resultado_lista_seo_info
20200707,toctoc,Santiago,02/07/2020,Aparment,usada,3,3,0,6390,107.0,59,2568,401,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/teatinos-amunategui/1003371?o=resultado_lista_seo_info
20200707,toctoc,Santiago,07/07/2020,Aparment,usada,3,1,0,6200,100.0,62,1600,258,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/parque-forestal/1511649?o=resultado_lista_seo_info
20200707,toctoc,Santiago,05/06/2020,Aparment,usada,3,2,0,6600,124.0,53,2480,375,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/catedral-esquina-teatinos/1405570?o=resultado_lista_seo_info
20200707,toctoc,Santiago,05/27/2020,Aparment,usada,4,3,0,5555,118.0,47,3304,594,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/grajales-ejercito-barrio-universitario/1457071?o=resultado_lista_seo_info
20200707,toctoc,Santiago,06/19/2020,Aparment,usada,4,2,1,5500,115.5,47,3003,546,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/san-ignacio-calle-victoria-av-viel/1249046?o=resultado_lista_seo_info
20200707,toctoc,Santiago,06/18/2020,Aparment,usada,3,2,0,5450,115.5,47,2310,423,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/san-antonio-plaza-de-armas/1182387?o=resultado_lista_seo_info
20200707,toctoc,Santiago,01/06/2020,Aparment,usada,4,2,1,6700,115.5,58,3003,448,https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/4-dormitorios-2-banos-100-mt2-impecable-frente-a-estacion-de-metro/1489530?o=resultado_lista_seo_info
20200707,toctoc,Santiago,06/03/2020,Aparment,usada,6,3,0,6500,115.5,56,4158,639,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/padre-miguel-olivares-nataniel-cox/1437431?o=resultado_lista_seo_info
20200707,toctoc,Santiago,02/06/2020,Aparment,usada,4,3,1,6250,115.5,54,3465,554,https://www.toctoc.com/propiedades/compraparticularsr/departamento/santiago/tucapel-jimenez-56-santiago/1410064?o=resultado_lista_seo_info
20200707,toctoc,Santiago,04/28/2020,Aparment,usada,5,3,0,6710,153.0,43,4896,729,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/departamento-paseo-bulnes-200/1467829?o=resultado_lista_seo_info
20200707,toctoc,Santiago,03/19/2020,Aparment,usada,4,3,0,4861,100.0,48,2800,576,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/morande-piso-parquet/1447397?o=resultado_lista_seo_info
20200707,toctoc,Santiago,03/20/2020,Aparment,usada,3,2,0,4585,115.5,39,2310,503,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/santo-domingo-monjitas/1447897?o=resultado_lista_seo_info
20200707,toctoc,Santiago,05/30/2020,Aparment,usada,3,2,0,6076,115.5,52,2310,380,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/santa-isabel-marin/1229723?o=resultado_lista_seo_info
20200707,toctoc,Santiago,03/25/2020,Aparment,usada,3,2,2,6600,127.0,51,3048,461,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/santiago-centro-catedral-amplitud-y-calidad/1450659?o=resultado_lista_seo_info
20200707,toctoc,Santiago,01/04/2020,Aparment,usada,3,2,0,5833,120.0,48,2400,411,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/calle-san-antonio-418/1453384?o=resultado_lista_seo_info
20200707,toctoc,Santiago,06/07/2020,Aparment,usada,3,2,0,5833,120.0,48,2400,411,https://www.toctoc.com/propiedades/compracorredorasr/departamento/santiago/dpto-oficina-120-mts-santiago/1510790?o=resultado_lista_seo_info
