SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,MtTot,PriceUF,UFxMt2,ValueScore,Score,Link
20200707,portal inmobiliario,Santiago,06/26/2020,Aparment,usada,3,2,1,150,4900,32,3300,673,https://www.portalinmobiliario.com/MLC-534098918-amplio-departamento-santa-lucia-_JM#position=5&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,114,4340,38,2508,577,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5675878-avenida-republica-uda#position=6&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,07/07/2020,Aparment,usada,3,2,1,222,4900,22,4884,996,https://www.portalinmobiliario.com/MLC-535767248-venta-departamento-santiago-39-_JM#position=1&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,130,6076,46,2860,470,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5694744-vicuna-mackenna-sta-victoria-uda#position=3&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,127,6600,51,2794,423,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5527822-santiago-centro-catedral-amplitud-y-calidad-uda#position=20&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,04/23/2020,Aparment,usada,3,3,2,102,6498,63,2856,439,https://www.portalinmobiliario.com/MLC-524431690-departamento-en-venta-metro-principe-de-gales-_JM#position=17&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,06/15/2020,Aparment,usada,3,3,3,115,6390,55,3450,539,https://www.portalinmobiliario.com/MLC-532283592-departamento-en-venta-metro-santa-ana-_JM#position=8&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,3,2,140,5381,38,3920,728,https://www.portalinmobiliario.com/MLC-522359397-propiedad-en-sta-isabelportugal-gran-terraza-y-est-_JM#position=23&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,148,4900,33,3256,664,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5626794-carmen-602-uda#position=12&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,3,1,115,6200,53,2990,482,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5545062-santo-domingo-amunategui-uda#position=22&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,148,4900,33,3256,664,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5615645-carmen-argomedo-uda#position=11&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,124,6200,50,2728,440,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5554080-catedral-1310-uda#position=21&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,3,1,113,6350,56,2938,462,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5692448-santo-domingo-1457-departamento-209-uda#position=24&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,04/23/2020,Aparment,usada,3,3,2,100,4880,48,2800,573,https://www.portalinmobiliario.com/MLC-524430254-departamento-en-venta-plaza-de-armas-_JM#position=18&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,04/24/2020,Aparment,usada,3,3,2,100,4861,48,2800,576,https://www.portalinmobiliario.com/MLC-524505231-departamento-en-venta-plaza-de-armas-_JM#position=14&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,100,4950,49,2200,444,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5685766-universidad-andres-bello-gorbea-uda#position=4&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,135,5277,39,2970,562,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5632184-a-3-cuadras-del-metro-santa-isabel-uda#position=10&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,08/05/2020,Aparment,usada,4,2,1,131,5902,45,3406,577,https://www.portalinmobiliario.com/MLC-525871585-departamento-en-vicuna-mackena-metro-santa-isabel-_JM#position=13&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,4,2,1,110,6700,60,2860,426,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5641861-san-diego-516-departamento-1018-uda#position=25&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,100,4530,45,2200,485,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5707359-av-espana-gorbea-uda#position=2&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,12/05/2020,Aparment,usada,3,2,1,150,4900,32,3300,673,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5588595-carmen-602-uda#position=9&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Santiago,04/24/2020,Aparment,usada,3,3,2,102,6498,63,2856,439,https://www.portalinmobiliario.com/MLC-524477196-departamento-en-venta-metro-principe-de-gales-_JM#position=16&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
20200707,portal inmobiliario,Las Condes,05/06/2020,House,usada,3,2,1,120,4900,40,2640,538,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5607677-yolanda-9438-uda#position=5&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
20200707,portal inmobiliario,Las Condes,06/17/2020,House,usada,3,3,1,110,6875,62,2860,416,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5668126-la-goleta-las-condes-uda#position=7&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
20200707,portal inmobiliario,Las Condes,06/24/2020,House,usada,3,2,1,120,4900,40,2640,538,https://www.portalinmobiliario.com/venta/casa/las-condes-metropolitana/5681590-yolanda-vital-apoquindo-uda#position=2&type=item&tracking_id=9c2cfbc2-f149-4fd5-9f7e-c363780a4e74
