Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/MLC-534098918-amplio-departamento-santa-lucia-_JM#position=5&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5675878-avenida-republica-uda#position=6&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/MLC-535767248-venta-departamento-santiago-39-_JM#position=1&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5694744-vicuna-mackenna-sta-victoria-uda#position=3&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5527822-santiago-centro-catedral-amplitud-y-calidad-uda#position=20&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/MLC-524431690-departamento-en-venta-metro-principe-de-gales-_JM#position=17&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/MLC-532283592-departamento-en-venta-metro-santa-ana-_JM#position=8&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/MLC-522359397-propiedad-en-sta-isabelportugal-gran-terraza-y-est-_JM#position=23&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5626794-carmen-602-uda#position=12&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
portal inmobiliario,Santiago,26-06-2020,Aparment,Propiedades usadas,150 m²,3,2,1,get1(Price, PriceUnit),https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5545062-santo-domingo-amunategui-uda#position=22&type=item&tracking_id=1192ceb3-9d37-4d7d-9b70-27954d945045
