SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
20200718,portal inmobiliario,rm,santiago,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,4.0,80TO90,50,50,0.0,2,1,0.0,1,1,0,4861,97,575.0,118,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724967-merced-lastarria-metro-lastarria-uda#position=24&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf
20200718,portal inmobiliario,rm,penalolen,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,2.0,80TO90,75,72,4.0,2,2,1.0,1,1,1,5890,78,951.0,161,https://www.portalinmobiliario.com/venta/departamento/penalolen-metropolitana/5724667-metro-quilin-frente-colegio-pedro-de-valdivia-uda#position=48&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af
20200718,portal inmobiliario,rm,santiago,2020-07-15,aparment,usada,-16,Done,-16,-16,-16,N,4.0,90TO100,105,93,13.0,4,3,1.0,1,1,1,6000,57,2004.0,334,https://www.portalinmobiliario.com/mlc-536823999-departamento-en-venta-de-4-dorm-en-santiago-_jm#position=23&type=item&tracking_id=3ad4c99d-ea38-4e9a-a85c-80b7d26ff723
20200718,portal inmobiliario,rm,providencia,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,110TO130,144,114,26.0,3,3,1.0,2,1,1,12500,86,2614.0,209,https://www.portalinmobiliario.com/venta/departamento/providencia-metropolitana/5723180-el-vergel-holanda-uda#position=40&type=item&tracking_id=20a67303-b373-4dc5-b360-08cc4839f986
20200718,portal inmobiliario,rm,nunoa,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,4.0,80TO90,41,41,0.0,1,1,0.0,1,1,1,3600,87,410.0,113,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5724682-emilio-vaisse-av-irarrazaval-uda#position=37&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af
20200718,portal inmobiliario,rm,las condes,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,130TO150,134,134,0.0,3,3,0.0,0,0,1,11406,85,2177.0,190,https://www.portalinmobiliario.com/mlc-537044871-departamento-en-venta-de-3-dorm-en-las-condes-_jm#position=32&type=item&tracking_id=da7c6b4e-09c8-49f5-8adc-2dfe094dae2b
20200718,portal inmobiliario,rm,santiago,2020-07-15,aparment,usada,-16,Done,-16,-16,-16,Y,4.0,80TO90,43,41,5.0,2,1,1.0,1,1,1,2409,56,522.0,216,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5720182-metro-almagro-uda#position=13&type=item&tracking_id=3c7cdc27-6fb8-461a-beba-cdea3cfc12ad
20200718,portal inmobiliario,rm,nunoa,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,4.0,130TO150,280,140,100.0,3,4,1.0,2,1,1,13400,47,4312.0,321,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/5725024-exclusivounico-2-departamentos-unidos-140-metros-de-terraza-uda#position=16&type=item&tracking_id=f2b208bf-6a82-4746-91a5-62a916018adf
20200718,portal inmobiliario,rm,providencia,2020-07-14,aparment,usada,-16,Done,-16,-16,-16,N,5.0,80TO90,78,70,11.0,2,2,1.0,1,1,1,6470,82,1116.0,172,https://www.portalinmobiliario.com/mlc-536680461-departamento-en-venta-de-2-dormitorios-en-providencia-_jm#position=4&type=item&tracking_id=6d0f6ccc-ec2e-4767-874d-f21ee53f43cc
20200718,portal inmobiliario,rm,santiago,2020-07-18,aparment,usada,-16,Done,-16,-16,-16,N,4.0,80TO90,57,55,4.0,2,2,1.0,1,1,1,4100,71,809.0,197,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5724702-frente-plaza-san-isidroimpecable-uda#position=33&type=item&tracking_id=b4643808-5b79-423b-b71e-66c0eda8f4af
20200718,portal inmobiliario,rm,lo barnechea,2020-07-16,aparment,usada,-16,Done,-16,-16,-16,N,3.0,130TO150,160,140,14.0,3,3,1.0,0,1,0,13620,85,2331.0,171,https://www.portalinmobiliario.com/venta/departamento/lo-barnechea-metropolitana/5722288-16357-el-candil-dehesa-central-uda#position=40&type=item&tracking_id=c8b3a3f4-b6d8-4f34-a3ca-b46b4cebba29
20200718,portal inmobiliario,rm,santiago,2020-07-15,aparment,usada,-16,Done,-16,-16,-16,N,4.0,80TO90,53,50,6.0,2,2,1.0,1,1,1,3087,58,742.0,240,https://www.portalinmobiliario.com/venta/departamento/santiago-metropolitana/5720507-dieciocho-10-de-julio-uda#position=20&type=item&tracking_id=caeef881-25ea-4a1f-9476-4b991f45af80
20200718,portal inmobiliario,rm,vitacura,2020-07-17,aparment,usada,-16,Done,-16,-16,-16,N,5.0,130TO150,170,140,21.0,4,4,1.0,1,1,1,13000,76,3534.0,271,https://www.portalinmobiliario.com/mlc-537043430-departamento-en-venta-de-4-dorm-en-vitacura-_jm#position=17&type=item&tracking_id=5b927d6b-2d3c-4a64-82e9-6c5b7b759150
