,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
count,101,101,0.0,101,0.0,101,101,100,0.0,101,101,99
unique,1,5,,2,,45,4,5,,65,97,94
top,icasas,Huechuraba,,House,,100m2,3 Dormitorios,2 Baños,,UF 6.900,https://www.icasas.cl/propiedad/456152,General rondizzoni / club hipico hermosa casa patrimonial 163/144 m2 barrio residencial patrimonio cultural. @¬1er piso living comedor separados baño de visita cocina cerrada patio techado remodelado lavadero bodega piso cerámica. @¬cuenta con amplio departamento interior independiente living comedor 1 dormitorio baño cocina cerrada. @¬2do piso 2 amplios dormitorios 1 baño. . Yohara macarena stewart tel.
freq,101,28,,55,,17,53,40,,7,2,2
mean,,,,,,,,,,,,
std,,,,,,,,,,,,
min,,,,,,,,,,,,
25%,,,,,,,,,,,,
50%,,,,,,,,,,,,
75%,,,,,,,,,,,,
max,,,,,,,,,,,,
