,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
count,314,314,314,314,314,314,314.0,314.0,314.0,314,314,314
unique,1,6,139,2,2,91,,,,135,314,298
top,portal inmobiliario,Huechuraba,12/5/2020,Aparment,Propiedades usadas,100 m²,,,,5.5 UF,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5610874-lombardia-berta-correa-uda#position=39&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12,descripción -amplio departamento -muy luminoso -con ascensor -hall de entrada -recibos con salida a terraza( cerrada) ahora se utiliza como sala de estar y escritorio -2 dormitorios -1 en suite -2 baños -más servicios completos (dormitorio y baño) -cocina equipada loggia -2 estacionamientos (tandem) -amplia bodega -edificio solo cuenta con estacionamientos de visitas -consultas llamar al + 56 9 54003843 características propiedad despensa hall loggia cocina amoblada cocina equipada características comunidad accesos controlados estacionamiento de visitas gastos gastos comunes: $ 180.000 estacionamientos y bodegas estacionamientos: 2 bodegas: 1
freq,314,135,14,191,255,29,,,,17,1,3
mean,,,,,,,3.4554140127388533,2.6751592356687897,1.6656050955414012,,,
std,,,,,,,0.6779875223350306,0.7517099613127354,0.7102367310687726,,,
min,,,,,,,3.0,1.0,1.0,,,
25%,,,,,,,3.0,2.0,1.0,,,
50%,,,,,,,3.0,3.0,2.0,,,
75%,,,,,,,4.0,3.0,2.0,,,
max,,,,,,,6.0,5.0,4.0,,,
