,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
count,96,96,96,96,0.0,96,96,96,0.0,96,96,96
unique,1,5,2,2,,46,5,6,,61,96,96
top,propiedades emol,Huechuraba,Fecha publicación: 2020-07-07,Aparment,,M2 construidos: 100,Dormitorios: 3,Baños: 2,,6.500 UF,https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR96677950-0L2-101014489.html,se vende... oferta unica espectacular execlenet ubicacion a 2 cuadras del metro supermercados comercio en el corazon de ñuñoa muy buena conectividad. dpto. en 2do piso orientacion sur oriente recibos juntos iluminados 2 terrazas 4 dormitios piso alfombra 2 baños con cerámica de muro a muro cocina americana amoblada y equipada con logia para incorporar lavadora y secadora año 2009. el edificio cuenta con 12 pisos acceso controlado 24/7 cámaras estacionamientos de visitas lavanderia gimnasio piscina quincho salon de eventos excelente  area de juegos infantiles gastos comunes $140.000 aprox.- terminaciones piso baños: cerámica piso dormitorios: alfombra características propiedad cocina americana comedor de diario loggia cocina amoblada cocina equipada características comunidad accesos controlados áreas verdes circuito cerrado de tv citófono estacionamiento de visitas gimnasio juegos infantiles piscina portón eléctrico quincho sala de eventos gastos gastos comunes: $ 140.000 estacionamientos y bodegas estacionamientos: 1 bodegas: 1
freq,96,24,93,59,,14,48,48,,4,1,1
mean,,,,,,,,,,,,
std,,,,,,,,,,,,
min,,,,,,,,,,,,
25%,,,,,,,,,,,,
50%,,,,,,,,,,,,
75%,,,,,,,,,,,,
max,,,,,,,,,,,,
