,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link,Description
count,201,201,201,201,0.0,201,201.0,201.0,0.0,201,201,201
unique,1,6,118,2,,43,,,,94,201,199
top,toctoc,Huechuraba,11-05-2020,Aparment,,0 m²,,,,UF  6.500,https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/av-condell-vaticano-chico-remodelado/1468986?o=resultado_lista_seo_info,casa en avda colon 3 dormitorios mas living comedor cocina.
freq,201,51,9,124,,82,,,,10,1,2
mean,,,,,,,3.671641791044776,2.442786069651741,,,,
std,,,,,,,0.9228444024020389,0.7402433376971217,,,,
min,,,,,,,3.0,0.0,,,,
25%,,,,,,,3.0,2.0,,,,
50%,,,,,,,3.0,2.0,,,,
75%,,,,,,,4.0,3.0,,,,
max,,,,,,,8.0,4.0,,,,
