,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
count,101,101,0.0,101,101,100.0,101.0,100.0,101.0,101.0,101
unique,1,5,,2,2,,,,,,97
top,icasas,Huechuraba,,House,usada,,,,,,https://www.icasas.cl/propiedad/456152
freq,101,28,,55,98,,,,,,2
mean,,,,,,131.95,3.5742574257425743,2.4,0.7425742574257426,5950.980198019802,
std,,,,,,39.429613800346104,0.6833232712774437,0.8287754140107481,0.7701099317179938,782.3164446718223,
min,,,,,,93.0,3.0,1.0,0.0,4109.0,
25%,,,,,,104.0,3.0,2.0,0.0,5571.0,
50%,,,,,,123.5,3.0,2.0,1.0,6100.0,
75%,,,,,,140.0,4.0,3.0,1.0,6500.0,
max,,,,,,333.0,5.0,4.0,2.0,7000.0,
