,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
count,107,107,107,107,107,102.0,107.0,107.0,107.0,107.0,107
unique,1,6,2,2,2,,,,,,107
top,propiedades emol,Huechuraba,07/07/2020,Aparment,usada,,,,,,https://www.propiedades.emol.com/propiedad/ficha/casa-en-venta-en-huechuraba-4-dormitorios-3-banos-codR24095969-0L0-101009916.html
freq,107,28,104,67,104,,,,,,1
mean,,,,,,122.3921568627451,3.7850467289719627,2.4205607476635516,0.7850467289719626,5940.5046728971965,
std,,,,,,25.230877226107555,1.3319586753687755,0.6592932633691656,0.8012730128938761,740.6076976175788,
min,,,,,,100.0,3.0,1.0,0.0,3993.0,
25%,,,,,,104.25,3.0,2.0,0.0,5555.0,
50%,,,,,,116.0,3.0,2.0,1.0,6076.0,
75%,,,,,,130.0,4.0,3.0,1.0,6500.0,
max,,,,,,255.0,13.0,4.0,2.0,6990.0,
