,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
count,201,201,201,201,201,118.0,201.0,201.0,201.0,201.0,201
unique,1,6,111,2,2,,,,,,201
top,toctoc,Huechuraba,11/05/2020,Aparment,usada,,,,,,https://www.toctoc.com/propiedades/compracorredorasr/departamento/providencia/av-condell-vaticano-chico-remodelado/1468986?o=resultado_lista_seo_info
freq,201,51,9,124,199,,,,,,1
mean,,,,,,119.77966101694915,3.671641791044776,2.442786069651741,0.7213930348258707,6074.393034825871,
std,,,,,,17.44252373001518,0.9228444024020389,0.7402433376971217,0.7361997349573306,770.4394977876224,
min,,,,,,100.0,3.0,0.0,0.0,3993.0,
25%,,,,,,108.0,3.0,2.0,0.0,5600.0,
50%,,,,,,115.5,3.0,2.0,1.0,6250.0,
75%,,,,,,128.75,4.0,3.0,1.0,6700.0,
max,,,,,,190.0,8.0,4.0,2.0,7000.0,
