,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
count,92,92,92,92,92,92.0,92.0,92.0,92.0,92.0,92
unique,1,5,1,2,2,,,,,,88
top,icasas,Huechuraba,06/26/2020,House,usada,,,,,,https://www.icasas.cl/propiedad/411796
freq,92,25,92,50,89,,,,,,2
mean,,,,,,132.41304347826087,3.597826086956522,2.4239130434782608,0.75,5985.271739130435,
std,,,,,,38.539305517307014,0.6962976281765577,0.8285257084112283,0.7649606755675975,761.7624893505571,
min,,,,,,93.0,3.0,1.0,0.0,4178.0,
25%,,,,,,106.5,3.0,2.0,0.0,5664.5,
50%,,,,,,125.0,3.0,2.0,1.0,6122.0,
75%,,,,,,140.0,4.0,3.0,1.0,6517.5,
max,,,,,,333.0,5.0,4.0,2.0,7000.0,
