,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
count,316,316,316,316,316,316.0,316.0,316.0,316.0,316.0,316
unique,1,6,105,2,1,,,,,,316
top,portal inmobiliario,Huechuraba,12/05/2020,Aparment,usada,,,,,,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5641860-pedro-fontova-guanaco-norte-uda#position=25&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
freq,316,135,34,193,316,,,,,,1
mean,,,,,,158.77848101265823,3.4556962025316458,2.6740506329113924,1.6645569620253164,6050.810126582279,
std,,,,,,276.762877669853,0.6770143297244159,0.7505071622594769,0.7092205378781707,781.8825645747677,
min,,,,,,100.0,3.0,1.0,1.0,3993.0,
25%,,,,,,107.75,3.0,2.0,1.0,5500.0,
50%,,,,,,126.0,3.0,3.0,2.0,6250.0,
75%,,,,,,176.25,4.0,3.0,2.0,6700.0,
max,,,,,,5000.0,6.0,5.0,4.0,7000.0,
