,Srce,Province,PublishedDate,PropertyType,PropertyState,MtTot,Bdroom,Bath,Parking,PriceUF,Link
count,201,201,201,201,201,201.0,201.0,201.0,201.0,201.0,201
unique,1,6,111,2,2,,,,,,201
top,toctoc,Huechuraba,11/05/2020,Aparment,usada,,,,,,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/departamento-las-condes/1100407?o=resultado_lista_seo_info
freq,201,51,9,124,199,,,,,,1
mean,,,,,,118.01243781094527,3.671641791044776,2.442786069651741,0.7213930348258707,6074.393034825871,
std,,,,,,13.50716826456838,0.9228444024020389,0.7402433376971217,0.7361997349573306,770.4394977876224,
min,,,,,,100.0,3.0,0.0,0.0,3993.0,
25%,,,,,,112.0,3.0,2.0,0.0,5600.0,
50%,,,,,,115.5,3.0,2.0,1.0,6250.0,
75%,,,,,,120.0,4.0,3.0,1.0,6700.0,
max,,,,,,190.0,8.0,4.0,2.0,7000.0,
