,SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,MtTot,PriceUF,UFxMt2,ValueScore,Score,Link
count,313.0,313,313,313,313,313,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313.0,313
unique,,1,6,104,2,1,,,,,,,,,313
top,,portal inmobiliario,Huechuraba,12/05/2020,Aparment,usada,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/huechuraba-metropolitana/5610874-lombardia-berta-correa-uda#position=39&type=item&tracking_id=a0a59148-8980-47aa-ac54-2b9fe2217d12
freq,,313,135,34,191,313,,,,,,,,,1
mean,20200707.0,,,,,,3.4568690095846644,2.6741214057507987,1.6645367412140575,143.59105431309905,6054.878594249201,45.3035143769968,4129.035143769968,691.6038338658147,
std,0.0,,,,,,0.6785819764863763,0.7526883088912749,0.7111212657312701,44.37694217317448,782.8887692111772,14.01008864223972,1908.089238067136,318.0762632074635,
min,20200707.0,,,,,,3.0,1.0,1.0,100.0,3993.0,17.0,1800.0,315.0,
25%,20200707.0,,,,,,3.0,2.0,1.0,108.0,5500.0,32.0,2640.0,432.0,
50%,20200707.0,,,,,,3.0,3.0,2.0,126.0,6250.0,45.0,3300.0,573.0,
75%,20200707.0,,,,,,4.0,3.0,2.0,175.0,6700.0,59.0,5320.0,928.0,
max,20200707.0,,,,,,6.0,5.0,4.0,350.0,7000.0,69.0,10902.0,1568.0,
