,SnapDate,Srce,Province,PublishedDate,PropertyType,PropertyState,Bdroom,Bath,Parking,MtTot,PriceUF,UFxMt2,ValueScore,Score,Link
count,201.0,201,201,201,201,201,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201.0,201
unique,,1,6,111,2,2,,,,,,,,,201
top,,toctoc,Huechuraba,11/05/2020,Aparment,usada,,,,,,,,,https://www.toctoc.com/propiedades/compracorredorasr/departamento/las-condes/departamento-las-condes/1100407?o=resultado_lista_seo_info
freq,,201,51,9,124,199,,,,,,,,,1
mean,20200707.0,,,,,,3.671641791044776,2.442786069651741,0.7213930348258707,118.01243781094527,6074.393034825871,51.517412935323385,3073.0,513.8557213930349,
std,0.0,,,,,,0.9228444024020389,0.7402433376971217,0.7361997349573306,13.50716826456838,770.4394977876224,8.099441046987861,781.5233073939638,149.98724638982472,
min,20200707.0,,,,,,3.0,0.0,0.0,100.0,3993.0,27.0,1600.0,235.0,
25%,20200707.0,,,,,,3.0,2.0,0.0,112.0,5600.0,47.0,2541.0,414.0,
50%,20200707.0,,,,,,3.0,2.0,1.0,115.5,6250.0,52.0,3003.0,504.0,
75%,20200707.0,,,,,,4.0,3.0,1.0,120.0,6700.0,58.0,3465.0,577.0,
max,20200707.0,,,,,,8.0,4.0,2.0,190.0,7000.0,69.0,7600.0,1459.0,
