,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3933,3933,3933,3933,3933,3933,3933.0,3933,3933,3933.0,3933.0,3933,3933.0,3933.0,3933.0,3933.0,3933.0,3933.0,3933.0,3933.0,3933
unique,1,1,49,13,2,2,,6,4,,,2,,,,,,,,,3905
top,portal inmobiliario,rm,las condes,2020-07-17,house,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/casa/la-reina-metropolitana/7653-townhouse-garden-nva
freq,3933,3933,817,827,1990,3905,,3873,3921,,,3546,,,,,,,,,6
mean,,,,,,,-15.76608187134503,,,3326.1164505466563,-15.914569031273837,,522.7864225781846,215.6547165013984,3.249936435291126,2.5296211543351133,0.9557589626239512,0.5278413424866514,0.4836003051106026,9256.289092295958,
std,,,,,,,3.080011168812463,,,21433.625453823195,1.6222084712321465,,4671.327728913299,4111.418705866677,1.3313376506383834,1.1210778964589299,0.9329372090808854,0.5018281362995908,0.49979452026018073,5937.596501122995,
min,,,,,,,-16.0,,,-16.0,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,1041.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,82.0,70.0,2.0,2.0,0.0,0.0,0.0,4166.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,160.0,117.0,3.0,2.0,1.0,1.0,0.0,8490.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,325.0,170.0,4.0,3.0,1.0,1.0,1.0,13000.0,
max,,,,,,,85.0,,,350000.0,33.0,,220810.0,250201.0,14.0,8.0,10.0,2.0,1.0,25000.0,
