,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,MtTotInUtilPerc,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3906.0,3906,3906,3906,3906,3906,3906,3906.0,3906,3906,3906.0,3906.0,3906,3906.0,3906,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906.0,3906
unique,,1,1,48,15,2,2,,6,20,,,2,,21,,,,,,,,,,,,,,3805
top,,portal inmobiliario,rm,las condes,2020-07-20,aparment,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/nunoa-metropolitana/9124-parque-jardin-nva
freq,,3906,3906,689,819,2023,3752,,3753,3775,,,3449,,1434,,,,,,,,,,,,,,5
mean,20200723.0,,,,,,,-15.718381976446492,,,2911.6612903225805,-15.867127496159755,,3.1722990271377367,,450.55273937532,208.13082437275986,331.94086021505376,3.1705069124423964,2.480542754736303,0.3509984639016897,0.9825908858166923,0.5360983102918587,0.49795186891961085,8754.393241167434,120.91935483870968,5161.228622631848,533.9603174603175,
std,0.0,,,,,,,3.8517408862851825,,,18260.79243464884,2.877349362215595,,1.623376190935061,,3076.5808480570468,4122.184037617301,3345.6758454498868,1.345209396978467,1.1415806874265346,0.47734356320619603,0.9238365947707013,0.5033587923294138,0.5000598209928591,5818.917478602577,751.9909041997608,36816.54821855281,4788.260272167782,
min,20200723.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,15.0,-16.0,-100.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,0.0,91.0,27.0,
25%,20200723.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,76.0,62.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,3763.0,55.0,887.0,183.0,
50%,20200723.0,,,,,,,-16.0,,,-16.0,-16.0,,3.0,,146.0,108.0,23.0,3.0,2.0,0.0,1.0,1.0,0.0,7600.0,71.0,1933.0,259.0,
75%,20200723.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,308.0,160.0,121.0,4.0,3.0,1.0,1.0,1.0,1.0,12500.0,90.0,3761.5,385.0,
max,20200723.0,,,,,,,100.0,,,300000.0,135.0,,5.0,,170000.0,250201.0,130669.0,13.0,8.0,1.0,10.0,3.0,1.0,24990.0,24600.0,1763299.0,190409.0,
