,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,MtTot,MtUtil,Bdroom,Bath,Parking,Storage,Pool,PriceUF,Link
count,3939,3939,3939,3939,3939,3939,3939.0,3939,3939,3939.0,3939.0,3939,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939.0,3939
unique,1,1,48,5,2,2,,5,4,,,2,,,,,,,,,3884
top,portal inmobiliario,rm,las condes,2020-07-30,aparment,usada,,disponible,-16,,,N,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/vitacura-metropolitana/7462-isa-mar-jonico-nva
freq,3939,3939,665,1969,1975,3917,,3903,3924,,,3473,,,,,,,,,6
mean,,,,,,,-15.824320893627824,,,1015.9695354150799,-15.983752221375983,,10300.15993907083,138.31937039857831,3.2513328255902514,2.5181518151815183,0.8433612592028433,0.5115511551155115,0.49047981721249045,9032.263010916477,
std,,,,,,,3.0848188238246457,,,9833.390904754811,0.7380261621998458,,615503.3989365326,227.98335446176782,1.4063973134997854,1.1448487034926966,0.8783777432630374,0.5049839018202198,0.4999728263681119,5998.334606046468,
min,,,,,,,-16.0,,,-16.0,-16.0,,19.0,-16.0,1.0,1.0,0.0,0.0,0.0,1072.0,
25%,,,,,,,-16.0,,,-16.0,-16.0,,76.0,65.5,2.0,2.0,0.0,0.0,0.0,3690.0,
50%,,,,,,,-16.0,,,-16.0,-16.0,,155.0,115.0,3.0,2.0,1.0,1.0,0.0,7800.0,
75%,,,,,,,-16.0,,,-16.0,-16.0,,346.5,170.0,4.0,3.0,1.0,1.0,1.0,12847.0,
max,,,,,,,68.0,,,200000.0,23.0,,38630000.0,10015.0,14.0,8.0,10.0,3.0,1.0,24950.0,
