,SnapDate,Srce,Region,Province,PublishedDate,PropertyType,PropertyState,Age,Stage,Delivery,CommonExpnsCLP,Floor,ForInvestment,Sector,SizeGroup,MtTot,MtUtil,Bdroom,Bath,Balcony,Parking,Storage,Pool,PriceUF,UFxMt2,Value,Score,Link
count,3825.0,3825,3825,3825,3825,3825,3825,3825.0,3825,3825,3825.0,3825.0,3825,3825.0,3825,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825.0,3825
unique,,1,1,49,8,2,2,,6,7,,,2,,21,,,,,,,,,,,,,3786
top,,portal inmobiliario,rm,las condes,2020-08-26,house,usada,,disponible,-16,,,N,,80TO90,,,,,,,,,,,,,https://www.portalinmobiliario.com/venta/departamento/la-cisterna-metropolitana/9193-edificio-locarno-085-nva
freq,,3825,3825,579,971,1956,3768,,3724,3805,,,3316,,1558,,,,,,,,,,,,,4
mean,20200828.0,,,,,,,-15.584052287581699,,,3502.262222222222,-15.96078431372549,,2.9362091503267975,,13664.74274509804,13320.15111111111,3.230849673202614,2.419869281045752,0.3150326797385621,0.9406535947712419,0.4938562091503268,0.4538562091503268,8273.09385620915,84.85490196078432,256219.5474509804,17719.807581699348,
std,0.0,,,,,,,4.292923387466216,,,19907.292662255408,1.0031485015050705,,1.922697709844518,,808494.8812423504,808485.0220848274,1.399450704643997,1.1640637607000022,0.4645896254908882,0.9563606112378675,0.5015941169801312,0.4979312907650701,5918.097874240186,381.19178630622355,15413769.629801242,1062984.470918605,
min,20200828.0,,,,,,,-16.0,,,-16.0,-16.0,,-16.0,,15.0,-16.0,1.0,1.0,0.0,0.0,0.0,0.0,1003.0,0.0,-268.0,-110.0,
25%,20200828.0,,,,,,,-16.0,,,-16.0,-16.0,,1.0,,70.0,57.0,2.0,2.0,0.0,0.0,0.0,0.0,3131.0,49.0,726.0,185.0,
50%,20200828.0,,,,,,,-16.0,,,-16.0,-16.0,,3.0,,135.0,99.0,3.0,2.0,0.0,1.0,0.0,0.0,6670.0,66.0,1705.0,262.0,
75%,20200828.0,,,,,,,-16.0,,,-16.0,-16.0,,5.0,,300.0,155.0,4.0,3.0,1.0,1.0,1.0,1.0,12000.0,86.0,3734.0,379.0,
max,20200828.0,,,,,,,68.0,,,300000.0,16.0,,5.0,,50000000.0,50000000.0,18.0,9.0,1.0,10.0,2.0,1.0,25000.0,13888.0,953250000.0,65741379.0,
