SNAP_DT	SRCE	REGION	PROVINCE	PROPERTY_TYPE	PROPERTY_STATE	SIZE_GROUP	COUNT	MT_TOT_AVG	MT_UTIL_AVG	PRICE_AVG	ETL_UF_X_MT2_AVG	ETL_VALUE_AVG	ETL_SCORE_AVG
20200718	portal inmobiliario	rm	la florida	aparment	usada	GT10K	1	66930	61050	4200	0	729123	173600
20200718	portal inmobiliario	rm	colina	house	usada	GT10K	1	468	250201	12250	26	1763299	143942
20200718	portal inmobiliario	rm	providencia	aparment	usada	GT10K	1	220810	13148	13990	0	1803990	128948
20200718	portal inmobiliario	rm	tiltil	house	usada	2HTO250	1	14000	250	3472	0	124083	35738
20200718	portal inmobiliario	rm	san bernardo	house	usada	5KTO10K	1	6072	6125	1319	0	41260	31281
20200718	portal inmobiliario	rm	penalolen	house	usada	110TO130	17	10241	124	7169	27	70521	11539
20200718	portal inmobiliario	rm	paine	house	usada	4HTO5H	1	12000	470	18900	1	178657	9452
20200718	portal inmobiliario	rm	melipilla	house	usada	2HTO250	1	5500	210	4861	0	45191	9296
20200718	portal inmobiliario	rm	pirque	house	usada	5HTO1K	1	15000	700	18000	1	143188	7954
20200718	portal inmobiliario	rm	maria pinto	house	usada	130TO150	1	5000	150	5381	1	36618	6805
20200718	portal inmobiliario	rm	pirque	house	usada	3HTO4H	1	10000	400	12000	1	71898	5991
20200718	portal inmobiliario	rm	paine	house	usada	150TO2H	2	5100	185	8250	1	43528	5526
20200718	portal inmobiliario	rm	curacavi	house	usada	150TO2H	1	5140	159	6380	1	33433	5240
20200718	portal inmobiliario	rm	calera de tango	house	usada	5HTO1K	2	5110	602	16445	3	84247	5179
20200718	portal inmobiliario	rm	paine	house	usada	110TO130	1	5040	120	5000	0	25313	5062
20200718	portal inmobiliario	rm	penaflor	house	usada	150TO2H	1	5000	180	7291	1	35804	4910
20200718	portal inmobiliario	rm	la florida	house	usada	3HTO4H	1	6000	350	13506	2	57307	4243
20200718	portal inmobiliario	rm	paine	house	usada	3HTO4H	1	5000	385	10000	2	41612	4161
20200718	portal inmobiliario	rm	lampa	house	usada	150TO2H	2	5010	191	9995	2	40122	3982
20200718	portal inmobiliario	rm	colina	house	usada	1KTO5K	1	5000	3400	15000	3	57419	3827
20200718	portal inmobiliario	rm	lampa	house	usada	2HTO250	3	5000	221	9217	1	33674	3676
20200718	portal inmobiliario	rm	calera de tango	house	usada	4HTO5H	3	5139	448	16410	3	58835	3603
20200718	portal inmobiliario	rm	pirque	house	usada	250TO3H	2	5100	290	13225	2	47217	3592
20200718	portal inmobiliario	rm	talagante	house	usada	250TO3H	2	5050	285	9972	2	33766	3536
20200718	portal inmobiliario	rm	padre hurtado	house	usada	150TO2H	2	2639	171	5149	10	21881	3285
20200718	portal inmobiliario	rm	paine	house	usada	130TO150	1	2046	150	4791	2	15644	3265
20200718	portal inmobiliario	rm	san ramon	house	usada	1KTO5K	1	1111	1111	2479	2	7971	3215
20200718	portal inmobiliario	rm	calera de tango	house	usada	3HTO4H	1	7725	320	17400	2	54008	3103
20200718	portal inmobiliario	rm	pirque	house	usada	150TO2H	1	5000	180	10500	2	29577	2816
20200718	portal inmobiliario	rm	la pintana	house	usada	110TO130	1	800	120	3819	4	10649	2788
20200718	portal inmobiliario	rm	talagante	house	usada	3HTO4H	2	5001	351	16750	3	43550	2668
20200718	portal inmobiliario	rm	calera de tango	house	usada	250TO3H	1	5000	300	12200	2	32421	2657
20200718	portal inmobiliario	rm	lampa	house	usada	3HTO4H	1	5200	350	13500	2	33961	2515
20200718	portal inmobiliario	rm	melipilla	house	usada	250TO3H	1	2200	255	5734	2	13572	2366
20200718	portal inmobiliario	rm	san bernardo	house	usada	250TO3H	2	2610	285	9979	16	29477	2324
20200718	portal inmobiliario	rm	san jose de maipo	house	usada	4HTO5H	1	600	500	3000	5	6412	2137
20200718	portal inmobiliario	rm	colina	house	usada	4HTO5H	10	4786	469	20555	6	42697	2128
20200718	portal inmobiliario	rm	las condes	aparment	usada	1KTO5K	1	1444	1425	14800	10	31159	2105
20200718	portal inmobiliario	rm	colina	house	usada	3HTO4H	40	3967	342	18805	7	37539	2080
20200718	portal inmobiliario	rm	talagante	house	usada	150TO2H	2	1903	183	9209	904	19156	2042
20200718	portal inmobiliario	rm	padre hurtado	house	usada	3HTO4H	2	2645	323	9889	10	25951	2022
20200718	portal inmobiliario	rm	melipilla	house	usada	130TO150	1	1540	150	6597	4	12731	1929
20200718	portal inmobiliario	rm	san jose de maipo	house	usada	110TO130	2	1474	127	5017	3	9729	1917
20200718	portal inmobiliario	rm	colina	house	usada	5HTO1K	3	3410	591	21400	26	43557	1869
20200718	portal inmobiliario	rm	talagante	house	usada	2HTO250	1	3800	241	15000	3	26344	1756
20200718	portal inmobiliario	rm	colina	house	usada	250TO3H	37	2780	281	15841	12	25068	1697
20200718	portal inmobiliario	rm	paine	house	usada	90TO100	2	1091	96	4544	13	7777	1666
20200718	portal inmobiliario	rm	san bernardo	house	usada	1KTO5K	1	221	1108	5208	23	8167	1568
20200718	portal inmobiliario	rm	lo barnechea	house	usada	4HTO5H	1	4412	428	24000	5	37432	1559
20200718	portal inmobiliario	rm	buin	house	usada	250TO3H	1	2000	270	10000	5	13929	1392
20200718	portal inmobiliario	rm	talagante	house	usada	4HTO5H	1	3500	470	21850	6	29951	1370
20200718	portal inmobiliario	rm	huechuraba	house	usada	250TO3H	2	550	283	11974	18	8625	1362
20200718	portal inmobiliario	rm	colina	house	usada	2HTO250	60	2077	233	14466	15	19606	1361
20200718	portal inmobiliario	rm	huechuraba	house	usada	2HTO250	1	2321	232	15500	6	20773	1340
20200718	portal inmobiliario	rm	santiago	house	usada	250TO3H	4	1645	275	15079	27	20840	1310
20200718	portal inmobiliario	rm	san bernardo	house	usada	2HTO250	2	486	223	5249	10	5863	1275
20200718	portal inmobiliario	rm	san jose de maipo	house	usada	150TO2H	1	1830	194	12650	6	15659	1237
20200718	portal inmobiliario	rm	penalolen	house	usada	5HTO1K	1	138	900	5902	42	6931	1174
20200718	portal inmobiliario	rm	santiago	house	usada	3HTO4H	3	1924	333	13600	21	17749	1131
20200718	portal inmobiliario	rm	tiltil	house	usada	110TO130	1	378	129	3900	10	4158	1066
20200718	portal inmobiliario	rm	san ramon	house	usada	110TO130	1	144	129	2534	17	2654	1047
20200718	portal inmobiliario	rm	la florida	house	usada	250TO3H	4	434	292	8458	27	7122	1041
20200718	portal inmobiliario	rm	puente alto	house	usada	2HTO250	1	246	240	4243	17	3635	856
20200718	portal inmobiliario	rm	pudahuel	house	usada	2HTO250	2	842	250	8925	11	7252	848
20200718	portal inmobiliario	rm	la pintana	house	usada	130TO150	1	140	138	2430	17	2022	832
20200718	portal inmobiliario	rm	maipu	house	usada	2HTO250	1	430	250	8100	18	6440	795
20200718	portal inmobiliario	rm	pudahuel	house	usada	3HTO4H	1	800	335	13500		10711	793
20200718	portal inmobiliario	rm	penaflor	house	usada	100TO110	1	90	103	1493		1169	782
20200718	portal inmobiliario	rm	independencia	house	usada	150TO2H	1	210	159	3784	18	2864	756
20200718	portal inmobiliario	rm	san joaquin	house	usada	80TO90	1	100	90	1745	17	1303	746
20200718	portal inmobiliario	rm	penaflor	house	usada	2HTO250	1	500	240	6190	12	4587	741
20200718	portal inmobiliario	rm	penaflor	house	usada	110TO130	2	1296	122	10677	9	7813	735
20200718	portal inmobiliario	rm	san miguel	house	usada	LT30	1	345	1	4520	13	3252	719
20200718	portal inmobiliario	rm	san miguel	house	usada	100TO110	1	400	110	6179	15	4330	700
20200718	portal inmobiliario	rm	providencia	aparment	usada	3HTO4H	1	350	350	12200	34	8487	695
20200718	portal inmobiliario	rm	la reina	house	usada	LT30	1	1000	1	17780	17	12312	692
20200718	portal inmobiliario	rm	santiago	house	usada	4HTO5H	2	340	460	15828	48	10709	690
20200718	portal inmobiliario	rm	penalolen	house	usada	2HTO250	13	745	229	12860	21	9272	687
20200718	portal inmobiliario	rm	renca	house	usada	90TO100	1	98	98	1510	15	1024	678
20200718	portal inmobiliario	rm	colina	house	usada	150TO2H	67	970	176	11190	21	7895	677
20200718	portal inmobiliario	rm	macul	house	usada	2HTO250	1	264	205	9375	35	6326	674
20200718	portal inmobiliario	rm	puente alto	house	usada	130TO150	5	304	136	4935	20	3267	671
20200718	portal inmobiliario	rm	san bernardo	house	usada	150TO2H	3	353	174	6102	21	4177	667
20200718	portal inmobiliario	rm	penalolen	house	usada	250TO3H	2	520	275	11996	23	7469	658
20200718	portal inmobiliario	rm	las condes	house	usada	4HTO5H	2	818	460	22000	27	13991	651
20200718	portal inmobiliario	rm	pedro aguirre cerda	house	usada	150TO2H	2	180	164	3488	19	2302	647
20200718	portal inmobiliario	rm	san bernardo	house	usada	130TO150	2	334	144	5890	16	2892	629
